ITEM;PICTURE;NAME1;NAME2;H_INDEX;PERCENTAGE_MODAL_NAME;PERCENTAGE_VALID_RESPONSES;NUMBER_DIFFERENT_RESPONSES;PERCENTAGE_UNKNOWN_RESPONSES;PERCENTAGE_IDIOSYNCRATIC_RESPONSES;VISUAL_COMPLEXITY
1;PICTURE_1;mouse;;0,587930373;85,85858586;99;2;0;1;3,15
2;PICTURE_2;tyre;;0,996390619;53,53535354;99;2;0;1;2,73
3;PICTURE_3;steps;;1,122296192;49,49494949;99;3;0;1;1,98
4;PICTURE_4;church;;0,858981037;71,73913043;92;2;3;5;3,14
5;PICTURE_5;shoulder;;1,18976766;69,56521739;92;3;5;3;2,17
6;PICTURE_6;chin;;0,579262605;88,88888889;99;3;0;1;1,878787879
7;PICTURE_7;fairy;;0,474132766;91,83673469;98;3;0;2;3,01
8;PICTURE_8;leg;;0,288538514;94,94949495;99;2;0;1;2,33
9;PICTURE_9;shower;;0;100;99;1;0;1;2,79
10;PICTURE_10;steak;;1,53272599;68,65671642;67;6;25;8;3,25
11;PICTURE_11;burger;;0,337576423;94,94949495;99;3;0;1;3,1
12;PICTURE_12;mermaid;;0;100;97;1;1;2;2,72
13;PICTURE_13;leg;;1,53003215;46,39175258;97;3;1;2;2,2
14;PICTURE_14;dressing gown;;1,257981686;69,6969697;99;4;0;1;2,57
15;PICTURE_15;lion;;0;100;99;1;0;1;3,26
16;PICTURE_16;hunter;;1,619014173;50;92;6;4;4;3,36
17;PICTURE_17;devil;;0,477747375;91,75257732;97;3;1;2;3,18
18;PICTURE_18;planet;;1,304459122;48,42105263;95;3;4;1;2,52
19;PICTURE_19;turkey;;1,426294852;73,11827957;93;6;6;1;3,78
20;PICTURE_20;skeleton;;0;100;100;1;0;0;3,1
21;PICTURE_21;boxer;;0;100;100;1;0;0;2,82
22;PICTURE_22;campsite;;0,964799549;61;100;2;0;0;2,87
23;PICTURE_23;bike;;0;100;99;1;0;1;3
24;PICTURE_24;bone;;0;100;100;1;0;0;1,4
25;PICTURE_25;leopard;;1,459799773;60,60606061;99;4;1;0;3,78
26;PICTURE_26;onion;;0;100;91;1;4;5;2,8
27;PICTURE_27;prisoner;;1,49647394;67,34693878;98;6;0;2;2,77
28;PICTURE_28;microscope;;0,793631231;82,55813953;86;3;13;1;3,49
29;PICTURE_29;cowboy;;0;100;98;1;0;2;3,07
30;PICTURE_30;farm;;0,14372617;97,95918367;98;2;0;2;3,767676768
31;PICTURE_31;miner;;0,622973442;89,77272727;88;4;8;4;3,3
32;PICTURE_32;crown;;0;100;98;1;0;2;3,35
33;PICTURE_33;frame;;1,628092615;50;94;4;3;3;2,23
34;PICTURE_34;cupcake;;2,04088419;38,04347826;92;6;4;4;2,53
35;PICTURE_35;ear;;0,141440543;98;100;2;0;0;2,38
36;PICTURE_36;beetle;;2,102461773;39,56043956;91;5;5;4;2,98
37;PICTURE_37;doughnut;;0;100;99;1;0;1;2,31
38;PICTURE_38;spider;;0;100;99;1;0;1;2,39
39;PICTURE_39;pocket;;0,298940797;95,69892473;93;3;6;1;2,34
40;PICTURE_40;clover;;0,716618381;87,5;96;4;2;2;2,212121212
41;PICTURE_41;market;;2,120125805;38,1443299;97;7;1;2;3,52
42;PICTURE_42;pear;;0;100;99;1;0;1;2,23
43;PICTURE_43;hairbrush;;1,162872082;51,51515152;99;3;0;1;2,25
44;PICTURE_44;claw;;0,543564443;87,5;96;2;4;0;2,66
45;PICTURE_45;tambourine;;0,513249544;90,90909091;88;3;11;1;2,8
46;PICTURE_46;screwdriver;;0,286838905;95,91836735;98;3;2;0;2,34
47;PICTURE_47;desert;;0,342978951;94,84536082;97;3;3;0;3,28
48;PICTURE_48;fireman;;0,688047624;81,63265306;98;2;1;1;2,86
49;PICTURE_49;mansion;;2,219608118;42,10526316;95;8;3;2;3,07
50;PICTURE_50;bald;;1,668986033;56,12244898;98;4;1;1;2,53
51;PICTURE_51;hanging;;1,885316092;41,02564103;78;6;18;4;2,8
52;PICTURE_52;saw;;0;100;95;1;2;3;1,98
53;PICTURE_53;bag;;0,970859493;77,55102041;98;3;0;2;1,91
54;PICTURE_54;necklace;;1,410146458;62,62626263;99;4;0;1;2,34
55;PICTURE_55;shadow;;0;100;98;1;2;0;2,33
56;PICTURE_56;elbow;;0,195909271;96,96969697;99;2;1;0;2,13
57;PICTURE_57;stamp;;0,679449644;88,7755102;98;4;0;2;2,63
58;PICTURE_58;gardener;;1,126893587;60,63829787;94;3;2;4;3,26
59;PICTURE_59;shirt;;1,51930837;46,875;96;5;2;2;2,44
60;PICTURE_60;lumberjack;;2,523212705;45,07042254;71;9;22;7;3,29
61;PICTURE_61;newspaper;;0,832420581;79,76190476;84;3;5;11;2,5
62;PICTURE_62;wasp;;0,866841192;81,91489362;94;4;4;2;3,25
63;PICTURE_63;balcony;;0,908243133;77,08333333;96;3;1;3;2,84
64;PICTURE_64;button;;0;100;98;1;1;1;1,808080808
65;PICTURE_65;bum;;1,242663666;72,16494845;97;4;0;3;1,909090909
66;PICTURE_66;roof;;0;100;95;1;3;2;2,73
67;PICTURE_67;sofa;;0,671601271;85,85858586;99;3;0;1;2,08
68;PICTURE_68;candle;;0;100;99;1;0;1;2,48
69;PICTURE_69;banana;;0;100;100;1;0;0;2,36
70;PICTURE_70;orchestra;;1,171832247;76,34408602;93;5;5;2;3,69
71;PICTURE_71;trophy;;0,830828165;79,3814433;97;3;1;2;2,37
72;PICTURE_72;cheese;;0,79434669;76,04166667;96;2;3;1;2,474747475
73;PICTURE_73;wave;;0;100;95;1;1;4;3,11
74;PICTURE_74;tractor;;0,371232327;92,85714286;98;2;2;0;3,34
75;PICTURE_75;balloon;;0;100;100;1;0;0;1,81
76;PICTURE_76;broccoli;;0,298940797;95,69892473;93;3;3;4;2,81
77;PICTURE_77;camel;;0;100;98;1;2;0;3,717171717
78;PICTURE_78;key;;0;100;100;1;0;0;2,08
