Spelling;LogFreq(Zipf)
labour;5,35
programme;5,20
favourite;5,13
colour;5,05
realise;4,89
honourable;4,84
metres;4,80
flavour;4,73
colours;4,69
recognise;4,69
favour;4,69
realised;4,69
behaviour;4,64
honour;4,54
organisation;4,53
marvellous;4,50
neighbours;4,48
flavours;4,40
organised;4,38
programmes;4,37
apologise;4,36
jewellery;4,35
maths;4,35
organisations;4,32
coloured;4,30
centres;4,29
recognised;4,29
chilli;4,27
metre;4,25
practise;4,25
neighbour;4,24
favourites;4,19
humour;4,19
kilometres;4,14
tonnes;4,13
practising;4,13
harbour;4,12
colourful;4,12
cheque;4,11
neighbourhood;4,11
arse;4,04
criticised;4,03
travellers;4,02
organise;4,01
councillors;3,99
tyres;3,96
rumours;3,94
armour;3,89
honoured;3,89
apologised;3,89
aeroplane;3,86
councillor;3,86
judgement;3,86
neighbouring;3,85
organising;3,85
centimetres;3,84
tyre;3,83
organisers;3,81
realising;3,81
crikey;3,81
carers;3,80
litre;3,80
tonne;3,80
fulfil;3,79
defences;3,78
modelling;3,77
medallist;3,76
rumour;3,75
favours;3,75
litres;3,73
criticise;3,73
realises;3,72
sceptical;3,71
flavoured;3,70
honours;3,70
tumour;3,70
manoeuvre;3,70
pyjamas;3,69
savoury;3,69
fibre;3,69
analyse;3,68
aluminium;3,67
practised;3,67
anaesthetic;3,67
equaliser;3,66
kilometre;3,64
maximise;3,63
saviour;3,63
recognises;3,63
recognising;3,62
specialised;3,62
colouring;3,61
cheques;3,61
annexe;3,60
counselling;3,59
civilised;3,59
favoured;3,58
watercolour;3,56
chillies;3,56
privatisation;3,56
labelled;3,55
endeavour;3,55
parlour;3,54
centred;3,54
emphasise;3,54
modelled;3,53
gruelling;3,53
paralysed;3,52
centrepiece;3,52
recognisable;3,52
authorised;3,52
artefacts;3,52
penalised;3,52
minimise;3,51
criticising;3,51
aeroplanes;3,49
organiser;3,48
reorganisation;3,48
apologising;3,47
caramelised;3,46
cuppa;3,46
specialises;3,46
licences;3,46
stabilise;3,46
patronising;3,46
modernisation;3,45
levelled;3,44
moulded;3,44
fibres;3,43
analysed;3,43
capitalise;3,43
realisation;3,42
lasagne;3,42
armoured;3,39
prioritise;3,38
favourable;3,38
specialise;3,38
calibre;3,38
paedophile;3,37
diarrhoea;3,37
neighbourhoods;3,37
fertiliser;3,36
liquorice;3,36
splendour;3,36
sceptic;3,34
traumatised;3,34
jobcentre;3,34
kerb;3,34
analysing;3,33
counsellor;3,33
tantalising;3,32
modernise;3,31
synchronised;3,31
gobsmacked;3,30
sceptics;3,30
characterised;3,29
courgettes;3,29
modernised;3,29
scrutinise;3,29
millimetres;3,28
centimetre;3,28
ploughing;3,28
visualise;3,28
agonising;3,28
scrutinised;3,28
sympathise;3,28
scepticism;3,27
revolutionised;3,27
stylised;3,27
watercolours;3,27
jeweller;3,26
sabre;3,26
labelling;3,25
panelling;3,25
gelatine;3,25
signalled;3,25
millimetre;3,24
vapour;3,23
mouldy;3,23
personalised;3,22
spiralling;3,22
enamelled;3,22
equalised;3,22
faeces;3,22
matey;3,21
utilise;3,21
jammy;3,21
panellists;3,21
socialising;3,21
subsidised;3,21
stabilised;3,21
lustre;3,20
socialise;3,20
revolutionise;3,19
jeopardise;3,19
frith;3,18
leukaemia;3,18
instalment;3,18
storeys;3,18
pressurised;3,18
signalling;3,18
unauthorised;3,18
centralised;3,17
googly;3,17
duelling;3,17
behavioural;3,16
flavouring;3,16
appetising;3,15
medallists;3,15
localised;3,15
modernising;3,15
nought;3,15
subsidise;3,15
vaporiser;3,15
rota;3,15
aubergines;3,15
baptised;3,14
globalisation;3,14
vigour;3,14
specialising;3,14
sombre;3,13
epicentre;3,13
symbolise;3,13
behaviours;3,12
savour;3,12
odour;3,12
plonk;3,12
pedalling;3,12
paedophiles;3,12
manoeuvres;3,11
labourers;3,11
nationalised;3,11
caramelise;3,11
labourer;3,10
defenceless;3,10
lollies;3,10
chequered;3,10
emphasised;3,10
symbolises;3,10
jewellers;3,09
loos;3,08
moulding;3,08
pongy;3,08
marginalised;3,08
harbours;3,08
rumoured;3,07
honouring;3,07
privatised;3,07
unravelling;3,07
immortalised;3,06
focussed;3,06
utilised;3,06
woollen;3,06
emphasising;3,06
maisonette;3,06
mobilise;3,06
orthopaedic;3,05
flatmate;3,05
stabilising;3,04
greys;3,04
whiffy;3,03
penalise;3,03
unspoilt;3,03
hypnotised;3,03
practises;3,03
finalised;3,02
shovelling;3,02
authorisation;3,02
demeanour;3,02
foetus;3,02
industrialised;3,01
privatise;3,01
scrutinising;3,01
armoury;3,01
corrie;3,01
meagre;3,01
sussed;3,01
characterise;3,00
totalling;3,00
maximising;3,00
mobilised;3,00
clamour;2,99
favourably;2,99
publicised;2,99
revellers;2,99
subsidising;2,99
encyclopaedia;2,99
unrecognisable;2,99
paediatric;2,99
prise;2,99
industrialisation;2,99
omelettes;2,99
labouring;2,98
fossilised;2,98
fulfilment;2,98
levelling;2,97
conkers;2,97
memorise;2,97
authorise;2,97
symbolised;2,97
mesmerising;2,96
anaesthetist;2,96
suss;2,96
dialled;2,96
polarised;2,96
vandalised;2,96
goer;2,95
artefact;2,95
endeavours;2,95
patronise;2,95
arsed;2,95
energised;2,95
manoeuvring;2,94
materialise;2,94
flavoursome;2,94
channelled;2,94
equalled;2,94
channelling;2,94
lacklustre;2,94
laboured;2,94
capitalised;2,93
labours;2,93
finalise;2,93
spectre;2,93
hogmanay;2,93
gonorrhoea;2,92
favouring;2,92
galvanised;2,92
smouldering;2,92
chequebook;2,92
candyfloss;2,91
fertilised;2,91
chequers;2,91
equalise;2,91
lino;2,91
tumours;2,91
materialised;2,90
summarise;2,90
gloop;2,90
despatch;2,90
dialling;2,90
popularised;2,89
prioritising;2,89
apologises;2,89
arses;2,89
mesmerised;2,89
organisational;2,89
