Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5c4f5,5c4f5_session1_lista_naming_trial001_rose.wav,1,a,naming,1,rose,1063,correct,NA,Feb  2 2023 14:36:08,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial002_squirrel.wav,1,a,naming,2,squirrel,977,correct,NA,Feb  2 2023 14:36:28,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial003_plumber.wav,1,a,naming,3,plumber,920,correct,NA,Feb  2 2023 14:36:37,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial004_rocket.wav,1,a,naming,4,rocket,1157,correct,NA,Feb  2 2023 14:36:56,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial005_donkey.wav,1,a,naming,5,donkey,1027,correct,NA,Feb  2 2023 14:37:12,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial006_heel.wav,1,a,naming,6,heel,775,correct,NA,Feb  2 2023 14:37:45,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial007_net.wav,1,a,naming,7,net,865,correct,NA,Feb  2 2023 14:38:08,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial008_suit.wav,1,a,naming,8,suit,923,correct,NA,Feb  2 2023 14:38:15,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial009_castle.wav,1,a,naming,9,castle,948,correct,NA,Feb  2 2023 14:38:23,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial010_tomato.wav,1,a,naming,10,tomato,851,correct,NA,Feb  2 2023 14:38:33,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial011_avocado.wav,1,a,naming,11,avocado,1036,correct,NA,Feb  2 2023 14:39:08,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial012_tattoo.wav,1,a,naming,12,tattoo,1123,correct,NA,Feb  2 2023 14:39:29,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial013_hat.wav,1,a,naming,13,hat,996,correct,NA,Feb  2 2023 14:39:40,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial014_fence.wav,1,a,naming,14,fence,1258,correct,NA,Feb  2 2023 14:39:49,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial015_orange.wav,1,a,naming,15,orange,1124,correct,NA,Feb  2 2023 14:40:09,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial016_puppet.wav,1,a,naming,16,puppet,1100,correct,NA,Feb  2 2023 14:40:18,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial017_clown.wav,1,a,naming,17,clown,1180,correct,NA,Feb  2 2023 14:40:26,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial018_hippo.wav,1,a,naming,18,hippo,1627,correct,NA,Feb  2 2023 14:40:36,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial019_wheelbarrow.wav,1,a,naming,19,wheelbarrow,1034,correct,NA,Feb  2 2023 14:40:45,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial020_map.wav,1,a,naming,20,map,961,correct,NA,Feb  2 2023 14:40:54,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial021_pencil.wav,1,a,naming,21,pencil,882,correct,NA,Feb  2 2023 14:41:14,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial022_robot.wav,1,a,naming,22,robot,904,correct,NA,Feb  2 2023 14:41:25,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial023_tongue.wav,1,a,naming,23,tongue,-1,wrong_word,NA,Feb  2 2023 14:41:33,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial024_goat.wav,1,a,naming,24,goat,1393,correct,NA,Feb  2 2023 14:41:46,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial025_soap.wav,1,a,naming,25,soap,1432,correct,NA,Feb  2 2023 14:41:53,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial026_caterpillar.wav,1,a,naming,26,caterpillar,1134,correct,NA,Feb  2 2023 14:42:11,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial027_flower.wav,1,a,naming,27,flower,1106,correct,NA,Feb  2 2023 14:42:20,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial028_kite.wav,1,a,naming,28,kite,967,correct,NA,Feb  2 2023 14:42:29,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial029_tap.wav,1,a,naming,29,tap,1018,correct,NA,Feb  2 2023 14:42:41,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial030_bracelet.wav,1,a,naming,30,bracelet,1231,correct,NA,Feb  2 2023 14:43:02,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial031_flag.wav,1,a,naming,31,flag,977,correct,NA,Feb  2 2023 14:43:10,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial032_fork.wav,1,a,naming,32,fork,945,correct,NA,Feb  2 2023 14:43:18,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial033_snake.wav,1,a,naming,33,snake,1034,correct,NA,Feb  2 2023 14:43:27,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial034_crab.wav,1,a,naming,34,crab,948,correct,NA,Feb  2 2023 14:43:42,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial035_rabbit.wav,1,a,naming,35,rabbit,1217,correct,NA,Feb  2 2023 14:43:56,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial036_compass.wav,1,a,naming,36,compass,986,correct,NA,Feb  2 2023 14:44:14,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial037_medal.wav,1,a,naming,37,medal,977,correct,NA,Feb  2 2023 14:44:26,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial038_skirt.wav,1,a,naming,38,skirt,1015,correct,NA,Feb  2 2023 14:44:44,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial039_whale.wav,1,a,naming,39,whale,1204,correct,NA,Feb  2 2023 14:44:58,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial040_potato.wav,1,a,naming,40,potato,1015,correct,NA,Feb  2 2023 14:45:10,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial041_tray.wav,1,a,naming,41,tray,895,correct,NA,Feb  2 2023 14:45:21,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial042_kangaroo.wav,1,a,naming,42,kangaroo,922,correct,NA,Feb  2 2023 14:45:40,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial043_saw.wav,1,a,naming,43,saw,933,correct,NA,Feb  2 2023 14:48:47,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial044_pipe.wav,1,a,naming,44,pipe,1040,correct,NA,Feb  2 2023 14:48:59,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial045_tree.wav,1,a,naming,45,tree,920,correct,NA,Feb  2 2023 14:49:08,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial046_olive.wav,1,a,naming,46,olive,1574,correct,NA,Feb  2 2023 14:49:16,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial047_bib.wav,1,a,naming,47,bib,1217,correct,NA,Feb  2 2023 14:49:24,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial048_mouth.wav,1,a,naming,48,mouth,1084,correct,NA,Feb  2 2023 14:49:34,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial049_doughnut.wav,1,a,naming,49,doughnut,1324,correct,NA,Feb  2 2023 14:49:45,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial050_kiwi.wav,1,a,naming,50,kiwi,1301,correct,NA,Feb  2 2023 14:49:59,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial051_bell.wav,1,a,naming,51,bell,1084,correct,NA,Feb  2 2023 14:50:13,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial052_kitchen.wav,1,a,naming,52,kitchen,1060,correct,NA,Feb  2 2023 14:50:28,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial053_bull.wav,1,a,naming,53,bull,1068,correct,NA,Feb  2 2023 14:50:42,Agnieszka,1
5c4f5,5c4f5_session1_lista_naming_trial054_shield.wav,1,a,naming,54,shield,1012,correct,NA,Feb  2 2023 14:50:50,Agnieszka,1
