Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5c5ef,5c5ef_session1_lista_naming_trial001_zip.wav,1,a,naming,1,zip,874,correct,NA,Feb 24 2023 17:14:40,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial002_rose.wav,1,a,naming,2,rose,724,correct,NA,Feb 24 2023 17:14:48,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial003_pear.wav,1,a,naming,3,pear,670,correct,NA,Feb 24 2023 17:14:58,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial004_sun.wav,1,a,naming,4,sun,734,correct,NA,Feb 24 2023 17:15:07,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial005_gym.wav,1,a,naming,5,gym,1078,correct,NA,Feb 24 2023 17:15:19,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial006_kitchen.wav,1,a,naming,6,kitchen,750,correct,NA,Feb 24 2023 17:15:38,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial007_plumber.wav,1,a,naming,7,plumber,848,correct,NA,Feb 24 2023 17:15:55,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial008_bullet.wav,1,a,naming,8,bullet,696,correct,NA,Feb 24 2023 17:16:09,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial009_submarine.wav,1,a,naming,9,submarine,1027,correct,NA,Feb 24 2023 17:16:21,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial010_elbow.wav,1,a,naming,10,elbow,845,correct,NA,Feb 24 2023 17:16:33,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial011_book.wav,1,a,naming,11,book,772,correct,NA,Feb 24 2023 17:16:41,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial012_wheelbarrow.wav,1,a,naming,12,wheelbarrow,864,correct,NA,Feb 24 2023 17:16:48,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial013_bracelet.wav,1,a,naming,13,bracelet,839,correct,NA,Feb 24 2023 17:17:02,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial014_fox.wav,1,a,naming,14,fox,766,correct,NA,Feb 24 2023 17:17:11,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial015_tambourine.wav,1,a,naming,15,tambourine,734,correct,NA,Feb 24 2023 17:17:20,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial016_bus.wav,1,a,naming,16,bus,747,correct,NA,Feb 24 2023 17:17:28,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial017_fridge.wav,1,a,naming,17,fridge,887,correct,NA,Feb 24 2023 17:17:38,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial018_zebra.wav,1,a,naming,18,zebra,688,correct,NA,Feb 24 2023 17:17:49,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial019_pepper.wav,1,a,naming,19,pepper,842,correct,NA,Feb 24 2023 17:17:56,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial020_bike.wav,1,a,naming,20,bike,-1,wrong_word,NA,Feb 24 2023 17:18:01,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial021_limo.wav,1,a,naming,21,limo,-1,wrong_word,NA,Feb 24 2023 17:18:08,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial022_beak.wav,1,a,naming,22,beak,934,correct,NA,Feb 24 2023 17:18:19,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial023_mouth.wav,1,a,naming,23,mouth,836,correct,NA,Feb 24 2023 17:18:27,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial024_rhino.wav,1,a,naming,24,rhino,885,correct,NA,Feb 24 2023 17:18:41,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial025_suitcase.wav,1,a,naming,25,suitcase,753,correct,NA,Feb 24 2023 17:19:10,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial026_map.wav,1,a,naming,26,map,832,correct,NA,Feb 24 2023 17:19:19,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial027_bone.wav,1,a,naming,27,bone,718,correct,NA,Feb 24 2023 17:19:28,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial028_apple.wav,1,a,naming,28,apple,794,correct,NA,Feb 24 2023 17:19:37,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial029_tractor.wav,1,a,naming,29,tractor,791,correct,NA,Feb 24 2023 17:19:45,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial030_wave.wav,1,a,naming,30,wave,909,correct,NA,Feb 24 2023 17:19:57,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial031_arrow.wav,1,a,naming,31,arrow,995,correct,NA,Feb 24 2023 17:20:09,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial032_ghost.wav,1,a,naming,32,ghost,807,correct,NA,Feb 24 2023 17:20:17,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial033_butterfly.wav,1,a,naming,33,butterfly,791,correct,NA,Feb 24 2023 17:20:27,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial034_wing.wav,1,a,naming,34,wing,928,correct,NA,Feb 24 2023 17:20:35,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial035_camel.wav,1,a,naming,35,camel,747,correct,NA,Feb 24 2023 17:20:52,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial036_thumb.wav,1,a,naming,36,thumb,829,correct,NA,Feb 24 2023 17:20:59,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial037_fork.wav,1,a,naming,37,fork,791,correct,NA,Feb 24 2023 17:21:13,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial038_fireplace.wav,1,a,naming,38,fireplace,-1,wrong_word,NA,Feb 24 2023 17:21:22,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial039_bench.wav,1,a,naming,39,bench,855,correct,NA,Feb 24 2023 17:21:32,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial040_train.wav,1,a,naming,40,train,775,correct,NA,Feb 24 2023 17:21:49,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial041_cherry.wav,1,a,naming,41,cherry,934,correct,NA,Feb 24 2023 17:22:03,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial042_curtain.wav,1,a,naming,42,curtain,794,correct,NA,Feb 24 2023 17:22:52,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial043_bull.wav,1,a,naming,43,bull,1192,correct,NA,Feb 24 2023 17:22:59,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial044_basket.wav,1,a,naming,44,basket,782,correct,NA,Feb 24 2023 17:23:07,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial045_kiwi.wav,1,a,naming,45,kiwi,732,correct,NA,Feb 24 2023 17:23:18,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial046_shower.wav,1,a,naming,46,shower,775,correct,NA,Feb 24 2023 17:23:32,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial047_lung.wav,1,a,naming,47,lung,896,correct,NA,Feb 24 2023 17:23:45,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial048_flag.wav,1,a,naming,48,flag,750,correct,NA,Feb 24 2023 17:23:55,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial049_lighter.wav,1,a,naming,49,lighter,813,correct,NA,Feb 24 2023 17:24:38,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial050_jellyfish.wav,1,a,naming,50,jellyfish,737,correct,NA,Feb 24 2023 17:24:47,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial051_flipper.wav,1,a,naming,51,flipper,724,correct,NA,Feb 24 2023 17:25:11,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial052_caterpillar.wav,1,a,naming,52,caterpillar,778,correct,NA,Feb 24 2023 17:25:24,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial053_mountain.wav,1,a,naming,53,mountain,887,correct,NA,Feb 24 2023 17:25:31,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial054_heel.wav,1,a,naming,54,heel,855,correct,NA,Feb 24 2023 17:25:41,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial055_soap.wav,1,a,naming,55,soap,769,correct,NA,Feb 24 2023 17:26:00,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial056_pocket.wav,1,a,naming,56,pocket,836,correct,NA,Feb 24 2023 17:26:15,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial057_ear.wav,1,a,naming,57,ear,769,correct,NA,Feb 24 2023 17:26:23,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial058_tie.wav,1,a,naming,58,tie,708,correct,NA,Feb 24 2023 17:26:30,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial059_nest.wav,1,a,naming,59,nest,861,correct,NA,Feb 24 2023 17:26:40,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial060_doctor.wav,1,a,naming,60,doctor,823,correct,NA,Feb 24 2023 17:26:48,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial061_doughnut.wav,1,a,naming,61,doughnut,762,correct,NA,Feb 24 2023 17:26:57,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial062_clown.wav,1,a,naming,62,clown,820,correct,NA,Feb 24 2023 17:27:15,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial063_lawnmower.wav,1,a,naming,63,lawnmower,928,correct,NA,Feb 24 2023 17:27:26,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial064_orange.wav,1,a,naming,64,orange,794,correct,NA,Feb 24 2023 17:27:35,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial065_compass.wav,1,a,naming,65,compass,791,correct,NA,Feb 24 2023 17:27:54,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial066_sausage.wav,1,a,naming,66,sausage,708,correct,NA,Feb 24 2023 17:28:06,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial067_judge.wav,1,a,naming,67,judge,1075,correct,NA,Feb 24 2023 17:28:17,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial068_shield.wav,1,a,naming,68,shield,1014,correct,NA,Feb 24 2023 17:28:24,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial069_kite.wav,1,a,naming,69,kite,877,correct,NA,Feb 24 2023 17:28:32,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial070_puppet.wav,1,a,naming,70,puppet,1221,correct,NA,Feb 24 2023 17:28:42,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial071_dummy.wav,1,a,naming,71,dummy,823,correct,NA,Feb 24 2023 17:28:50,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial072_star.wav,1,a,naming,72,star,734,correct,NA,Feb 24 2023 17:28:56,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial073_bell.wav,1,a,naming,73,bell,1020,correct,NA,Feb 24 2023 17:29:09,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial074_bear.wav,1,a,naming,74,bear,829,correct,NA,Feb 24 2023 17:29:17,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial075_key.wav,1,a,naming,75,key,957,correct,NA,Feb 24 2023 17:29:31,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial076_net.wav,1,a,naming,76,net,912,correct,NA,Feb 24 2023 17:35:57,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial077_lighthouse.wav,1,a,naming,77,lighthouse,1027,correct,NA,Feb 24 2023 17:36:04,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial078_lamp.wav,1,a,naming,78,lamp,995,correct,NA,Feb 24 2023 17:36:16,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial079_queen.wav,1,a,naming,79,queen,1081,correct,NA,Feb 24 2023 17:36:23,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial080_sweet.wav,1,a,naming,80,sweet,1001,correct,NA,Feb 24 2023 17:36:38,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial081_coat.wav,1,a,naming,81,coat,890,correct,NA,Feb 24 2023 17:36:54,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial082_medal.wav,1,a,naming,82,medal,1084,correct,NA,Feb 24 2023 17:37:07,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial083_skirt.wav,1,a,naming,83,skirt,931,correct,NA,Feb 24 2023 17:37:18,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial084_battery.wav,1,a,naming,84,battery,817,correct,NA,Feb 24 2023 17:37:30,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial085_koala.wav,1,a,naming,85,koala,801,correct,NA,Feb 24 2023 17:39:40,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial086_sword.wav,1,a,naming,86,sword,982,correct,NA,Feb 24 2023 17:39:40,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial087_knife.wav,1,a,naming,87,knife,858,correct,NA,Feb 24 2023 17:39:41,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial088_magnet.wav,1,a,naming,88,magnet,915,correct,NA,Feb 24 2023 17:39:42,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial089_tap.wav,1,a,naming,89,tap,920,uncertain,this recording is only 1.62s long for some reason,Feb 24 2023 17:39:57,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial090_tongue.wav,1,a,naming,90,tongue,829,correct,NA,Feb 24 2023 17:40:01,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial091_shoe.wav,1,a,naming,91,shoe,692,correct,NA,Feb 24 2023 17:40:05,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial092_mermaid.wav,1,a,naming,92,mermaid,874,correct,NA,Feb 24 2023 17:40:08,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial093_wall.wav,1,a,naming,93,wall,918,correct,NA,Feb 24 2023 17:40:19,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial094_helicopter.wav,1,a,naming,94,helicopter,699,correct,NA,Feb 24 2023 17:40:34,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial095_owl.wav,1,a,naming,95,owl,797,correct,NA,Feb 24 2023 17:40:42,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial096_dice.wav,1,a,naming,96,dice,737,correct,NA,Feb 24 2023 17:40:51,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial097_donkey.wav,1,a,naming,97,donkey,686,correct,NA,Feb 24 2023 17:41:06,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial098_hippo.wav,1,a,naming,98,hippo,832,correct,NA,Feb 24 2023 17:41:19,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial099_dress.wav,1,a,naming,99,dress,711,correct,NA,Feb 24 2023 17:41:29,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial100_comb.wav,1,a,naming,100,comb,750,correct,NA,Feb 24 2023 17:41:36,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial101_tunnel.wav,1,a,naming,101,tunnel,848,correct,NA,Feb 24 2023 17:41:45,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial102_triangle.wav,1,a,naming,102,triangle,861,correct,NA,Feb 24 2023 17:42:01,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial103_squirrel.wav,1,a,naming,103,squirrel,667,correct,NA,Feb 24 2023 17:42:13,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial104_butter.wav,1,a,naming,104,butter,883,correct,NA,Feb 24 2023 17:42:22,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial105_olive.wav,1,a,naming,105,olive,817,correct,NA,Feb 24 2023 17:42:35,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial106_bib.wav,1,a,naming,106,bib,753,correct,NA,Feb 24 2023 17:42:42,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial107_avocado.wav,1,a,naming,107,avocado,766,correct,NA,Feb 24 2023 17:43:02,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial108_ruler.wav,1,a,naming,108,ruler,922,correct,NA,Feb 24 2023 17:43:13,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial109_snake.wav,1,a,naming,109,snake,813,correct,NA,Feb 24 2023 17:43:29,Agnieszka,1
5c5ef,5c5ef_session1_lista_naming_trial110_circle.wav,1,a,naming,110,circle,734,correct,NA,Feb 24 2023 17:43:37,Agnieszka,1
