Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5cd49,5cd49_session1_lista_naming_trial001_wave.wav,1,a,naming,1,wave,1670,correct,NA,Mar  1 2023 15:03:18,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial002_elbow.wav,1,a,naming,2,elbow,785,correct,NA,Mar  1 2023 15:03:29,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial003_rabbit.wav,1,a,naming,3,rabbit,715,correct,NA,Mar  1 2023 15:03:38,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial004_arrow.wav,1,a,naming,4,arrow,826,correct,NA,Mar  1 2023 15:03:48,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial005_owl.wav,1,a,naming,5,owl,829,correct,NA,Mar  1 2023 15:03:57,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial006_goat.wav,1,a,naming,6,goat,759,correct,NA,Mar  1 2023 15:04:08,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial007_kitchen.wav,1,a,naming,7,kitchen,762,correct,NA,Mar  1 2023 15:04:39,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial008_shield.wav,1,a,naming,8,shield,673,correct,NA,Mar  1 2023 15:06:36,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial009_wheelbarrow.wav,1,a,naming,9,wheelbarrow,982,correct,NA,Mar  1 2023 15:06:46,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial010_tongue.wav,1,a,naming,10,tongue,858,correct,NA,Mar  1 2023 15:06:53,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial011_kiwi.wav,1,a,naming,11,kiwi,766,correct,NA,Mar  1 2023 15:07:02,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial012_ruler.wav,1,a,naming,12,ruler,645,correct,NA,Mar  1 2023 15:07:14,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial013_butterfly.wav,1,a,naming,13,butterfly,750,correct,NA,Mar  1 2023 15:07:31,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial014_judge.wav,1,a,naming,14,judge,1025,correct,NA,Mar  1 2023 15:07:39,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial015_ear.wav,1,a,naming,15,ear,782,correct,NA,Mar  1 2023 15:07:49,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial016_swan.wav,1,a,naming,16,swan,670,correct,NA,Mar  1 2023 15:07:59,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial017_thumb.wav,1,a,naming,17,thumb,820,correct,NA,Mar  1 2023 15:08:26,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial018_snake.wav,1,a,naming,18,snake,657,correct,NA,Mar  1 2023 15:08:34,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial019_skirt.wav,1,a,naming,19,skirt,724,correct,NA,Mar  1 2023 15:08:48,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial020_lawnmower.wav,1,a,naming,20,lawnmower,995,correct,NA,Mar  1 2023 15:08:59,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial021_coat.wav,1,a,naming,21,coat,1169,correct,NA,Mar  1 2023 15:09:07,Agnieszka,1
5cd49,5cd49_session1_lista_naming_trial022_bone.wav,1,a,naming,22,bone,775,correct,NA,Mar  1 2023 15:09:14,Agnieszka,1
