Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5e3af,5e3af_session1_lista_naming_trial001_ghost.wav,1,a,naming,1,ghost,874,correct,NA,Nov 23 2022 16:25:36,Shereen,1
5e3af,5e3af_session1_lista_naming_trial002_doctor.wav,1,a,naming,2,doctor,1291,correct,NA,Nov 23 2022 16:25:43,Shereen,1
5e3af,5e3af_session1_lista_naming_trial003_fairy.wav,1,a,naming,3,fairy,933,correct,NA,Nov 23 2022 16:25:48,Shereen,1
5e3af,5e3af_session1_lista_naming_trial004_fox.wav,1,a,naming,4,fox,844,correct,NA,Nov 23 2022 16:25:52,Shereen,1
5e3af,5e3af_session1_lista_naming_trial005_bench.wav,1,a,naming,5,bench,1315,correct,NA,Nov 23 2022 16:26:02,Shereen,1
5e3af,5e3af_session1_lista_naming_trial006_pencil.wav,1,a,naming,6,pencil,1055,correct,NA,Nov 23 2022 16:26:12,Shereen,1
5e3af,5e3af_session1_lista_naming_trial007_donkey.wav,1,a,naming,7,donkey,1281,correct,NA,Nov 23 2022 16:26:18,Shereen,1
5e3af,5e3af_session1_lista_naming_trial008_elbow.wav,1,a,naming,8,elbow,972,correct,NA,Nov 23 2022 16:26:30,Shereen,1
5e3af,5e3af_session1_lista_naming_trial009_butter.wav,1,a,naming,9,butter,1320,correct,NA,Nov 23 2022 16:26:39,Shereen,1
5e3af,5e3af_session1_lista_naming_trial010_camel.wav,1,a,naming,10,camel,1173,correct,NA,Nov 23 2022 16:26:43,Shereen,1
5e3af,5e3af_session1_lista_naming_trial011_candle.wav,1,a,naming,11,candle,972,correct,NA,Nov 23 2022 16:26:47,Shereen,1
5e3af,5e3af_session1_lista_naming_trial012_fork.wav,1,a,naming,12,fork,908,correct,NA,Nov 23 2022 16:26:52,Shereen,1
5e3af,5e3af_session1_lista_naming_trial013_judge.wav,1,a,naming,13,judge,2124,correct,NA,Nov 23 2022 16:26:58,Shereen,1
5e3af,5e3af_session1_lista_naming_trial014_kitchen.wav,1,a,naming,14,kitchen,1805,correct,NA,Nov 23 2022 16:27:03,Shereen,1
5e3af,5e3af_session1_lista_naming_trial015_lung.wav,1,a,naming,15,lung,1139,correct,NA,Nov 23 2022 16:27:07,Shereen,1
5e3af,5e3af_session1_lista_naming_trial016_pear.wav,1,a,naming,16,pear,991,correct,NA,Nov 23 2022 16:27:11,Shereen,1
5e3af,5e3af_session1_lista_naming_trial017_tray.wav,1,a,naming,17,tray,1050,correct,NA,Nov 23 2022 16:27:15,Shereen,1
5e3af,5e3af_session1_lista_naming_trial018_windmill.wav,1,a,naming,18,windmill,918,correct,NA,Nov 23 2022 16:27:20,Shereen,1
5e3af,5e3af_session1_lista_naming_trial019_suitcase.wav,1,a,naming,19,suitcase,1492,correct,NA,Nov 23 2022 16:27:26,Shereen,1
5e3af,5e3af_session1_lista_naming_trial020_limo.wav,1,a,naming,20,limo,1021,correct,NA,Nov 23 2022 16:27:34,Shereen,1
5e3af,5e3af_session1_lista_naming_trial021_map.wav,1,a,naming,21,map,840,correct,NA,Nov 23 2022 16:27:38,Shereen,1
5e3af,5e3af_session1_lista_naming_trial022_wall.wav,1,a,naming,22,wall,1364,correct,NA,Nov 23 2022 16:27:42,Shereen,1
5e3af,5e3af_session1_lista_naming_trial023_carrot.wav,1,a,naming,23,carrot,962,correct,NA,Nov 23 2022 16:27:47,Shereen,1
5e3af,5e3af_session1_lista_naming_trial024_pocket.wav,1,a,naming,24,pocket,972,correct,NA,Nov 23 2022 16:27:52,Shereen,1
5e3af,5e3af_session1_lista_naming_trial025_train.wav,1,a,naming,25,train,1059,correct,NA,Nov 23 2022 16:27:57,Shereen,1
5e3af,5e3af_session1_lista_naming_trial026_zebra.wav,1,a,naming,26,zebra,1570,correct,NA,Nov 23 2022 16:28:02,Shereen,1
5e3af,5e3af_session1_lista_naming_trial027_koala.wav,1,a,naming,27,koala,1075,correct,NA,Nov 23 2022 16:28:08,Shereen,1
5e3af,5e3af_session1_lista_naming_trial028_medal.wav,1,a,naming,28,medal,820,correct,NA,Nov 23 2022 16:28:16,Shereen,1
5e3af,5e3af_session1_lista_naming_trial029_bib.wav,1,a,naming,29,bib,866,correct,NA,Nov 23 2022 16:28:20,Shereen,1
5e3af,5e3af_session1_lista_naming_trial030_bike.wav,1,a,naming,30,bike,933,correct,NA,Nov 23 2022 16:28:24,Shereen,1
5e3af,5e3af_session1_lista_naming_trial031_caterpillar.wav,1,a,naming,31,caterpillar,992,correct,NA,Nov 23 2022 16:28:30,Shereen,1
5e3af,5e3af_session1_lista_naming_trial032_fence.wav,1,a,naming,32,fence,702,correct,NA,Nov 23 2022 16:28:36,Shereen,1
5e3af,5e3af_session1_lista_naming_trial033_dummy.wav,1,a,naming,33,dummy,1045,correct,NA,Nov 23 2022 16:28:40,Shereen,1
5e3af,5e3af_session1_lista_naming_trial034_mountain.wav,1,a,naming,34,mountain,928,correct,NA,Nov 23 2022 16:28:44,Shereen,1
5e3af,5e3af_session1_lista_naming_trial035_mermaid.wav,1,a,naming,35,mermaid,923,correct,NA,Nov 23 2022 16:28:50,Shereen,1
5e3af,5e3af_session1_lista_naming_trial036_soap.wav,1,a,naming,36,soap,1305,correct,NA,Nov 23 2022 16:29:03,Shereen,1
5e3af,5e3af_session1_lista_naming_trial037_coat.wav,1,a,naming,37,coat,918,correct,NA,Nov 23 2022 16:29:08,Shereen,1
5e3af,5e3af_session1_lista_naming_trial038_key.wav,1,a,naming,38,key,864,correct,NA,Nov 23 2022 16:29:13,Shereen,1
5e3af,5e3af_session1_lista_naming_trial039_battery.wav,1,a,naming,39,battery,889,correct,NA,Nov 23 2022 16:29:18,Shereen,1
5e3af,5e3af_session1_lista_naming_trial040_shield.wav,1,a,naming,40,shield,879,correct,NA,Nov 23 2022 16:29:23,Shereen,1
5e3af,5e3af_session1_lista_naming_trial041_computer.wav,1,a,naming,41,computer,1173,correct,NA,Nov 23 2022 16:29:33,Shereen,1
5e3af,5e3af_session1_lista_naming_trial042_lamp.wav,1,a,naming,42,lamp,908,correct,NA,Nov 23 2022 16:29:38,Shereen,1
5e3af,5e3af_session1_lista_naming_trial043_basket.wav,1,a,naming,43,basket,952,correct,NA,Nov 23 2022 16:29:43,Shereen,1
5e3af,5e3af_session1_lista_naming_trial044_pineapple.wav,1,a,naming,44,pineapple,869,correct,NA,Nov 23 2022 16:29:48,Shereen,1
5e3af,5e3af_session1_lista_naming_trial045_rose.wav,1,a,naming,45,rose,830,correct,NA,Nov 23 2022 16:29:55,Shereen,1
5e3af,5e3af_session1_lista_naming_trial046_bull.wav,1,a,naming,46,bull,-1,wrong_word,NA,Nov 23 2022 16:30:01,Shereen,1
5e3af,5e3af_session1_lista_naming_trial047_glove.wav,1,a,naming,47,glove,1175,correct,NA,Nov 23 2022 16:30:23,Shereen,1
5e3af,5e3af_session1_lista_naming_trial048_mouth.wav,1,a,naming,48,mouth,933,correct,NA,Nov 23 2022 16:30:29,Shereen,1
5e3af,5e3af_session1_lista_naming_trial049_fireplace.wav,1,a,naming,49,fireplace,947,correct,NA,Nov 23 2022 16:30:33,Shereen,1
5e3af,5e3af_session1_lista_naming_trial050_wing.wav,1,a,naming,50,wing,889,correct,NA,Nov 23 2022 16:30:38,Shereen,1
5e3af,5e3af_session1_lista_naming_trial051_sword.wav,1,a,naming,51,sword,844,correct,NA,Nov 23 2022 16:30:44,Shereen,1
5e3af,5e3af_session1_lista_naming_trial052_arrow.wav,1,a,naming,52,arrow,1472,correct,NA,Nov 23 2022 16:30:59,Shereen,1
5e3af,5e3af_session1_lista_naming_trial053_rocket.wav,1,a,naming,53,rocket,957,correct,NA,Nov 23 2022 16:31:03,Shereen,1
5e3af,5e3af_session1_lista_naming_trial054_star.wav,1,a,naming,54,star,727,correct,NA,Nov 23 2022 16:31:09,Shereen,1
5e3af,5e3af_session1_lista_naming_trial055_flag.wav,1,a,naming,55,flag,781,correct,NA,Nov 23 2022 16:31:14,Shereen,1
5e3af,5e3af_session1_lista_naming_trial056_lighter.wav,1,a,naming,56,lighter,1300,correct,NA,Nov 23 2022 16:31:18,Shereen,1
5e3af,5e3af_session1_lista_naming_trial057_zip.wav,1,a,naming,57,zip,1487,correct,NA,Nov 23 2022 16:31:30,Shereen,1
5e3af,5e3af_session1_lista_naming_trial058_shoe.wav,1,a,naming,58,shoe,1364,correct,NA,Nov 23 2022 16:31:46,Shereen,1
5e3af,5e3af_session1_lista_naming_trial059_onion.wav,1,a,naming,59,onion,1521,correct,NA,Nov 23 2022 16:31:50,Shereen,1
5e3af,5e3af_session1_lista_naming_trial060_ruler.wav,1,a,naming,60,ruler,977,correct,NA,Nov 23 2022 16:31:53,Shereen,1
5e3af,5e3af_session1_lista_naming_trial061_pipe.wav,1,a,naming,61,pipe,913,correct,NA,Nov 23 2022 16:32:00,Shereen,1
5e3af,5e3af_session1_lista_naming_trial062_flower.wav,1,a,naming,62,flower,1015,correct,NA,Nov 23 2022 16:32:10,Shereen,1
5e3af,5e3af_session1_lista_naming_trial063_kangaroo.wav,1,a,naming,63,kangaroo,1560,correct,NA,Nov 23 2022 16:32:15,Shereen,1
5e3af,5e3af_session1_lista_naming_trial064_helicopter.wav,1,a,naming,64,helicopter,913,correct,NA,Nov 23 2022 16:32:19,Shereen,1
5e3af,5e3af_session1_lista_naming_trial065_goat.wav,1,a,naming,65,goat,1501,correct,NA,Nov 23 2022 16:32:26,Shereen,1
5e3af,5e3af_session1_lista_naming_trial066_saw.wav,1,a,naming,66,saw,884,correct,NA,Nov 23 2022 16:32:31,Shereen,1
5e3af,5e3af_session1_lista_naming_trial067_plumber.wav,1,a,naming,67,plumber,1085,correct,NA,Nov 23 2022 16:32:35,Shereen,1
5e3af,5e3af_session1_lista_naming_trial068_dress.wav,1,a,naming,68,dress,923,correct,NA,Nov 23 2022 16:32:42,Shereen,1
