Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5f0f7,5f0f7_session1_lista_naming_trial001_train.wav,1,a,naming,1,train,1165,correct,NA,Feb  3 2023 14:03:34,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial002_cork.wav,1,a,naming,2,cork,950,correct,NA,Feb  3 2023 14:04:15,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial003_lighter.wav,1,a,naming,3,lighter,821,correct,NA,Feb  3 2023 14:04:44,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial004_island.wav,1,a,naming,4,island,996,correct,NA,Feb  3 2023 14:05:15,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial005_compass.wav,1,a,naming,5,compass,1547,correct,NA,Feb  3 2023 14:05:47,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial006_kangaroo.wav,1,a,naming,6,kangaroo,769,correct,NA,Feb  3 2023 14:06:15,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial007_heel.wav,1,a,naming,7,heel,-1,wrong_word,"sh... heel",Feb  3 2023 14:18:28,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial008_bottle.wav,1,a,naming,8,bottle,791,correct,NA,Feb  3 2023 14:18:51,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial009_suitcase.wav,1,a,naming,9,suitcase,839,correct,NA,Feb  3 2023 14:19:20,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial010_arrow.wav,1,a,naming,10,arrow,881,correct,NA,Feb  3 2023 14:19:48,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial011_mouth.wav,1,a,naming,11,mouth,783,correct,NA,Feb  3 2023 14:20:29,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial012_net.wav,1,a,naming,12,net,888,correct,NA,Feb  3 2023 14:20:54,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial013_butter.wav,1,a,naming,13,butter,831,correct,NA,Feb  3 2023 14:21:48,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial014_computer.wav,1,a,naming,14,computer,797,correct,NA,Feb  3 2023 14:22:12,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial015_whale.wav,1,a,naming,15,whale,880,correct,NA,Feb  3 2023 14:22:53,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial016_bench.wav,1,a,naming,16,bench,962,correct,NA,Feb  3 2023 14:23:38,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial017_orange.wav,1,a,naming,17,orange,872,correct,NA,Feb  3 2023 14:24:18,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial018_scissors.wav,1,a,naming,18,scissors,780,correct,NA,Feb  3 2023 14:27:33,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial019_sausage.wav,1,a,naming,19,sausage,820,correct,NA,Feb  3 2023 14:29:12,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial020_tattoo.wav,1,a,naming,20,tattoo,1039,correct,NA,Feb  3 2023 14:29:33,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial021_pineapple.wav,1,a,naming,21,pineapple,780,correct,NA,Feb  3 2023 14:29:50,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial022_onion.wav,1,a,naming,22,onion,1099,correct,NA,Feb  3 2023 14:31:54,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial023_squirrel.wav,1,a,naming,23,squirrel,1000,correct,NA,Feb  3 2023 14:32:51,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial024_glove.wav,1,a,naming,24,glove,910,correct,NA,Feb  3 2023 14:33:07,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial025_lamp.wav,1,a,naming,25,lamp,1006,correct,NA,Feb  3 2023 14:34:49,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial026_tunnel.wav,1,a,naming,26,tunnel,926,correct,NA,Feb  3 2023 14:35:47,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial027_comb.wav,1,a,naming,27,comb,974,correct,NA,Feb  3 2023 14:36:30,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial028_kitchen.wav,1,a,naming,28,kitchen,952,correct,NA,Feb  3 2023 14:38:05,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial029_arm.wav,1,a,naming,29,arm,1129,correct,NA,Feb  3 2023 14:43:46,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial030_tiger.wav,1,a,naming,30,tiger,986,correct,NA,Feb  3 2023 14:44:27,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial031_magnet.wav,1,a,naming,31,magnet,1620,correct,NA,Feb  3 2023 14:44:45,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial032_robot.wav,1,a,naming,32,robot,1082,correct,NA,Feb  3 2023 14:46:14,Laura,1
5f0f7,5f0f7_session1_lista_naming_trial033_judge.wav,1,a,naming,33,judge,976,correct,NA,Feb  3 2023 14:49:19,Laura,1
