Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
611cf,611cf_session1_lista_naming_trial001_sun.wav,1,a,naming,1,sun,746,correct,NA,Oct 31 2022 20:23:28,Shereen,1
611cf,611cf_session1_lista_naming_trial002_basket.wav,1,a,naming,2,basket,693,correct,NA,Oct 31 2022 20:23:34,Shereen,1
611cf,611cf_session1_lista_naming_trial003_caterpillar.wav,1,a,naming,3,caterpillar,795,correct,NA,Oct 31 2022 20:23:42,Shereen,1
611cf,611cf_session1_lista_naming_trial004_puppet.wav,1,a,naming,4,puppet,977,correct,NA,Oct 31 2022 20:23:55,Shereen,1
611cf,611cf_session1_lista_naming_trial005_tomato.wav,1,a,naming,5,tomato,732,correct,NA,Oct 31 2022 20:24:12,Shereen,1
611cf,611cf_session1_lista_naming_trial006_apple.wav,1,a,naming,6,apple,825,correct,NA,Oct 31 2022 20:24:26,Shereen,1
611cf,611cf_session1_lista_naming_trial007_lighter.wav,1,a,naming,7,lighter,717,correct,NA,Oct 31 2022 20:24:43,Shereen,1
611cf,611cf_session1_lista_naming_trial008_zebra.wav,1,a,naming,8,zebra,-1,disfluency,NA,Oct 31 2022 20:24:54,Shereen,1
611cf,611cf_session1_lista_naming_trial009_battery.wav,1,a,naming,9,battery,1340,correct,NA,Oct 31 2022 20:25:03,Shereen,1
611cf,611cf_session1_lista_naming_trial010_bus.wav,1,a,naming,10,bus,874,correct,NA,Oct 31 2022 20:25:13,Shereen,1
611cf,611cf_session1_lista_naming_trial011_tap.wav,1,a,naming,11,tap,928,correct,NA,Oct 31 2022 20:25:19,Shereen,1
611cf,611cf_session1_lista_naming_trial012_helicopter.wav,1,a,naming,12,helicopter,766,correct,NA,Oct 31 2022 20:25:24,Shereen,1
611cf,611cf_session1_lista_naming_trial013_pipe.wav,1,a,naming,13,pipe,894,correct,NA,Oct 31 2022 20:25:32,Shereen,1
611cf,611cf_session1_lista_naming_trial014_medal.wav,1,a,naming,14,medal,766,correct,NA,Oct 31 2022 20:25:39,Shereen,1
611cf,611cf_session1_lista_naming_trial015_mountain.wav,1,a,naming,15,mountain,835,correct,NA,Oct 31 2022 20:25:47,Shereen,1
611cf,611cf_session1_lista_naming_trial016_teacher.wav,1,a,naming,16,teacher,599,correct,NA,Oct 31 2022 20:26:00,Shereen,1
611cf,611cf_session1_lista_naming_trial017_soap.wav,1,a,naming,17,soap,727,correct,NA,Oct 31 2022 20:26:06,Shereen,1
611cf,611cf_session1_lista_naming_trial018_skirt.wav,1,a,naming,18,skirt,1153,correct,NA,Oct 31 2022 20:26:13,Shereen,1
611cf,611cf_session1_lista_naming_trial019_butter.wav,1,a,naming,19,butter,1065,correct,NA,Oct 31 2022 20:26:20,Shereen,1
611cf,611cf_session1_lista_naming_trial020_flower.wav,1,a,naming,20,flower,1099,correct,NA,Oct 31 2022 20:26:28,Shereen,1
611cf,611cf_session1_lista_naming_trial021_pencil.wav,1,a,naming,21,pencil,697,correct,NA,Oct 31 2022 20:26:36,Shereen,1
611cf,611cf_session1_lista_naming_trial022_tiger.wav,1,a,naming,22,tiger,898,correct,NA,Oct 31 2022 20:26:44,Shereen,1
611cf,611cf_session1_lista_naming_trial023_sword.wav,1,a,naming,23,sword,879,correct,NA,Oct 31 2022 20:26:49,Shereen,1
611cf,611cf_session1_lista_naming_trial024_potato.wav,1,a,naming,24,potato,742,correct,NA,Oct 31 2022 20:27:00,Shereen,1
611cf,611cf_session1_lista_naming_trial025_wall.wav,1,a,naming,25,wall,879,correct,NA,Oct 31 2022 20:27:06,Shereen,1
611cf,611cf_session1_lista_naming_trial026_cork.wav,1,a,naming,26,cork,1016,correct,NA,Oct 31 2022 20:27:15,Shereen,1
611cf,611cf_session1_lista_naming_trial027_sweet.wav,1,a,naming,27,sweet,825,correct,NA,Oct 31 2022 20:27:30,Shereen,1
611cf,611cf_session1_lista_naming_trial028_carrot.wav,1,a,naming,28,carrot,693,correct,NA,Oct 31 2022 20:27:37,Shereen,1
611cf,611cf_session1_lista_naming_trial029_triangle.wav,1,a,naming,29,triangle,751,correct,NA,Oct 31 2022 20:27:44,Shereen,1
611cf,611cf_session1_lista_naming_trial030_drawer.wav,1,a,naming,30,drawer,928,correct,NA,Oct 31 2022 20:27:50,Shereen,1
611cf,611cf_session1_lista_naming_trial031_ruler.wav,1,a,naming,31,ruler,712,correct,NA,Oct 31 2022 20:27:57,Shereen,1
611cf,611cf_session1_lista_naming_trial032_fork.wav,1,a,naming,32,fork,624,correct,NA,Oct 31 2022 20:28:08,Shereen,1
611cf,611cf_session1_lista_naming_trial033_bell.wav,1,a,naming,33,bell,1109,correct,NA,Oct 31 2022 20:28:19,Shereen,1
611cf,611cf_session1_lista_naming_trial034_arrow.wav,1,a,naming,34,arrow,775,correct,NA,Oct 31 2022 20:28:28,Shereen,1
