Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
62a1e,62a1e_session1_lista_naming_trial001_map.wav,1,a,naming,1,map,832,correct,NA,Mar  6 2023 06:02:08,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial002_battery.wav,1,a,naming,2,battery,832,correct,NA,Mar  6 2023 06:02:22,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial003_flipper.wav,1,a,naming,3,flipper,1282,correct,NA,Mar  6 2023 06:02:29,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial004_dummy.wav,1,a,naming,4,dummy,832,correct,NA,Mar  6 2023 06:02:39,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial005_helicopter.wav,1,a,naming,5,helicopter,756,correct,NA,Mar  6 2023 06:02:49,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial006_hat.wav,1,a,naming,6,hat,651,correct,NA,Mar  6 2023 06:03:00,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial007_fairy.wav,1,a,naming,7,fairy,715,correct,NA,Mar  6 2023 06:03:08,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial008_lawnmower.wav,1,a,naming,8,lawnmower,762,correct,NA,Mar  6 2023 06:03:18,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial009_rose.wav,1,a,naming,9,rose,686,correct,NA,Mar  6 2023 06:03:28,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial010_crab.wav,1,a,naming,10,crab,676,correct,NA,Mar  6 2023 06:03:38,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial011_computer.wav,1,a,naming,11,computer,705,correct,NA,Mar  6 2023 06:03:49,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial012_kiwi.wav,1,a,naming,12,kiwi,817,correct,NA,Mar  6 2023 06:03:58,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial013_tambourine.wav,1,a,naming,13,tambourine,753,correct,NA,Mar  6 2023 06:04:06,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial014_pencil.wav,1,a,naming,14,pencil,721,correct,NA,Mar  6 2023 06:04:14,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial015_bell.wav,1,a,naming,15,bell,759,correct,NA,Mar  6 2023 06:04:21,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial016_potato.wav,1,a,naming,16,potato,743,correct,NA,Mar  6 2023 06:04:32,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial017_lighter.wav,1,a,naming,17,lighter,791,correct,NA,Mar  6 2023 06:04:41,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial018_teacher.wav,1,a,naming,18,teacher,1877,correct,NA,Mar  6 2023 06:04:56,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial019_cork.wav,1,a,naming,19,cork,842,correct,NA,Mar  6 2023 06:05:08,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial020_coat.wav,1,a,naming,20,coat,1071,correct,NA,Mar  6 2023 06:05:17,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial021_pipe.wav,1,a,naming,21,pipe,868,correct,NA,Mar  6 2023 06:05:32,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial022_arm.wav,1,a,naming,22,arm,756,correct,NA,Mar  6 2023 06:05:45,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial023_squirrel.wav,1,a,naming,23,squirrel,692,correct,NA,Mar  6 2023 06:05:53,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial024_butter.wav,1,a,naming,24,butter,861,correct,NA,Mar  6 2023 06:06:08,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial025_doctor.wav,1,a,naming,25,doctor,820,correct,NA,Mar  6 2023 06:06:36,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial026_triangle.wav,1,a,naming,26,triangle,747,correct,NA,Mar  6 2023 06:06:47,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial027_rocket.wav,1,a,naming,27,rocket,813,correct,NA,Mar  6 2023 06:06:56,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial028_onion.wav,1,a,naming,28,onion,785,correct,NA,Mar  6 2023 06:09:20,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial029_zip.wav,1,a,naming,29,zip,-1,wrong_word,NA,Mar  6 2023 06:09:27,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial030_mermaid.wav,1,a,naming,30,mermaid,778,correct,NA,Mar  6 2023 06:09:34,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial031_shield.wav,1,a,naming,31,shield,864,correct,NA,Mar  6 2023 06:09:45,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial032_drawer.wav,1,a,naming,32,drawer,1075,correct,NA,Mar  6 2023 06:09:54,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial033_tongue.wav,1,a,naming,33,tongue,1313,correct,NA,Mar  6 2023 06:10:04,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial034_olive.wav,1,a,naming,34,olive,807,correct,NA,Mar  6 2023 06:10:15,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial035_tiger.wav,1,a,naming,35,tiger,868,correct,NA,Mar  6 2023 06:10:22,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial036_wave.wav,1,a,naming,36,wave,775,correct,NA,Mar  6 2023 06:10:30,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial037_queen.wav,1,a,naming,37,queen,772,correct,NA,Mar  6 2023 06:10:38,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial038_thumb.wav,1,a,naming,38,thumb,692,correct,NA,Mar  6 2023 06:10:45,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial039_bullet.wav,1,a,naming,39,bullet,810,correct,NA,Mar  6 2023 06:10:56,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial040_bracelet.wav,1,a,naming,40,bracelet,848,correct,NA,Mar  6 2023 06:11:14,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial041_whale.wav,1,a,naming,41,whale,785,correct,NA,Mar  6 2023 06:11:22,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial042_gym.wav,1,a,naming,42,gym,947,correct,NA,Mar  6 2023 06:11:30,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial043_bone.wav,1,a,naming,43,bone,848,correct,NA,Mar  6 2023 06:11:45,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial044_heel.wav,1,a,naming,44,heel,896,correct,NA,Mar  6 2023 06:11:53,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial045_carrot.wav,1,a,naming,45,carrot,785,correct,NA,Mar  6 2023 06:12:01,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial046_wing.wav,1,a,naming,46,wing,832,correct,NA,Mar  6 2023 06:12:11,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial047_fireplace.wav,1,a,naming,47,fireplace,1301,correct,NA,Mar  6 2023 06:12:21,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial048_koala.wav,1,a,naming,48,koala,782,correct,NA,Mar  6 2023 06:12:30,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial049_apple.wav,1,a,naming,49,apple,686,correct,NA,Mar  6 2023 06:12:40,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial050_fox.wav,1,a,naming,50,fox,731,correct,NA,Mar  6 2023 06:12:49,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial051_fence.wav,1,a,naming,51,fence,845,correct,NA,Mar  6 2023 06:13:02,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial052_island.wav,1,a,naming,52,island,858,correct,NA,Mar  6 2023 06:13:10,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial053_star.wav,1,a,naming,53,star,705,correct,NA,Mar  6 2023 06:13:20,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial054_lighthouse.wav,1,a,naming,54,lighthouse,877,correct,NA,Mar  6 2023 06:13:30,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial055_drum.wav,1,a,naming,55,drum,801,correct,NA,Mar  6 2023 06:13:40,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial056_zebra.wav,1,a,naming,56,zebra,702,correct,NA,Mar  6 2023 06:14:27,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial057_medal.wav,1,a,naming,57,medal,871,correct,NA,Mar  6 2023 06:14:34,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial058_avocado.wav,1,a,naming,58,avocado,887,correct,NA,Mar  6 2023 06:14:45,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial059_kite.wav,1,a,naming,59,kite,807,correct,NA,Mar  6 2023 06:14:54,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial060_camel.wav,1,a,naming,60,camel,686,correct,NA,Mar  6 2023 06:15:03,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial061_compass.wav,1,a,naming,61,compass,1212,correct,NA,Mar  6 2023 06:15:11,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial062_bike.wav,1,a,naming,62,bike,925,correct,NA,Mar  6 2023 06:15:20,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial063_knife.wav,1,a,naming,63,knife,813,correct,NA,Mar  6 2023 06:15:28,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial064_swan.wav,1,a,naming,64,swan,696,correct,NA,Mar  6 2023 06:15:36,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial065_pear.wav,1,a,naming,65,pear,1065,correct,NA,Mar  6 2023 06:15:47,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial066_glove.wav,1,a,naming,66,glove,804,correct,NA,Mar  6 2023 06:16:33,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial067_bus.wav,1,a,naming,67,bus,963,correct,NA,Mar  6 2023 06:16:42,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial068_arrow.wav,1,a,naming,68,arrow,852,correct,NA,Mar  6 2023 06:16:50,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial069_submarine.wav,1,a,naming,69,submarine,976,correct,NA,Mar  6 2023 06:16:58,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial070_ghost.wav,1,a,naming,70,ghost,934,correct,NA,Mar  6 2023 06:17:14,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial071_bottle.wav,1,a,naming,71,bottle,782,correct,NA,Mar  6 2023 06:17:22,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial072_rhino.wav,1,a,naming,72,rhino,702,correct,NA,Mar  6 2023 06:17:30,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial073_fork.wav,1,a,naming,73,fork,702,correct,NA,Mar  6 2023 06:17:41,Agnieszka,1
62a1e,62a1e_session1_lista_naming_trial074_soap.wav,1,a,naming,74,soap,912,correct,NA,Mar  6 2023 06:17:49,Agnieszka,1
