Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
6346b,6346b_session1_lista_naming_trial001_doctor.wav,1,a,naming,1,doctor,1220,correct,NA,Dec 04 2022 12:25:25,Shereen,1
6346b,6346b_session1_lista_naming_trial002_scissors.wav,1,a,naming,2,scissors,778,correct,NA,Dec 04 2022 12:25:34,Shereen,1
6346b,6346b_session1_lista_naming_trial003_suit.wav,1,a,naming,3,suit,842,correct,NA,Dec 04 2022 12:25:45,Shereen,1
6346b,6346b_session1_lista_naming_trial004_candle.wav,1,a,naming,4,candle,893,correct,NA,Dec 04 2022 12:25:52,Shereen,1
6346b,6346b_session1_lista_naming_trial005_kiwi.wav,1,a,naming,5,kiwi,836,correct,NA,Dec 04 2022 12:25:56,Shereen,1
6346b,6346b_session1_lista_naming_trial006_net.wav,1,a,naming,6,net,817,correct,NA,Dec 04 2022 12:26:01,Shereen,1
6346b,6346b_session1_lista_naming_trial007_heel.wav,1,a,naming,7,heel,925,correct,NA,Dec 04 2022 12:26:04,Shereen,1
6346b,6346b_session1_lista_naming_trial008_mermaid.wav,1,a,naming,8,mermaid,919,correct,NA,Dec 04 2022 12:26:07,Shereen,1
6346b,6346b_session1_lista_naming_trial009_tattoo.wav,1,a,naming,9,tattoo,1009,correct,NA,Dec 04 2022 12:26:15,Shereen,1
6346b,6346b_session1_lista_naming_trial010_fence.wav,1,a,naming,10,fence,881,correct,NA,Dec 04 2022 12:26:22,Shereen,1
6346b,6346b_session1_lista_naming_trial011_submarine.wav,1,a,naming,11,submarine,-1,wrong_word,NA,Dec 04 2022 12:26:31,Shereen,1
6346b,6346b_session1_lista_naming_trial012_magnet.wav,1,a,naming,12,magnet,829,correct,NA,Dec 04 2022 12:26:37,Shereen,1
6346b,6346b_session1_lista_naming_trial013_wave.wav,1,a,naming,13,wave,1597,correct,NA,Dec 04 2022 12:26:43,Shereen,1
6346b,6346b_session1_lista_naming_trial014_circle.wav,1,a,naming,14,circle,996,correct,NA,Dec 04 2022 12:26:49,Shereen,1
6346b,6346b_session1_lista_naming_trial015_tongue.wav,1,a,naming,15,tongue,1020,correct,NA,Dec 04 2022 12:26:56,Shereen,1
6346b,6346b_session1_lista_naming_trial016_map.wav,1,a,naming,16,map,887,correct,NA,Dec 04 2022 12:26:59,Shereen,1
6346b,6346b_session1_lista_naming_trial017_lawnmower.wav,1,a,naming,17,lawnmower,1412,correct,NA,Dec 04 2022 12:27:04,Shereen,1
6346b,6346b_session1_lista_naming_trial018_cherry.wav,1,a,naming,18,cherry,964,correct,NA,Dec 04 2022 12:27:08,Shereen,1
6346b,6346b_session1_lista_naming_trial019_basket.wav,1,a,naming,19,basket,797,correct,NA,Dec 04 2022 12:27:12,Shereen,1
6346b,6346b_session1_lista_naming_trial020_teacher.wav,1,a,naming,20,teacher,1232,correct,NA,Dec 04 2022 12:27:17,Shereen,1
6346b,6346b_session1_lista_naming_trial021_potato.wav,1,a,naming,21,potato,970,correct,NA,Dec 04 2022 12:27:22,Shereen,1
6346b,6346b_session1_lista_naming_trial022_tie.wav,1,a,naming,22,tie,836,correct,NA,Dec 04 2022 12:27:25,Shereen,1
6346b,6346b_session1_lista_naming_trial023_lamp.wav,1,a,naming,23,lamp,977,correct,NA,Dec 04 2022 12:27:31,Shereen,1
6346b,6346b_session1_lista_naming_trial024_cork.wav,1,a,naming,24,cork,849,correct,NA,Dec 04 2022 12:27:38,Shereen,1
6346b,6346b_session1_lista_naming_trial025_sun.wav,1,a,naming,25,sun,714,correct,NA,Dec 04 2022 12:27:46,Shereen,1
6346b,6346b_session1_lista_naming_trial026_flower.wav,1,a,naming,26,flower,810,correct,NA,Dec 04 2022 12:27:55,Shereen,1
6346b,6346b_session1_lista_naming_trial027_tree.wav,1,a,naming,27,tree,925,correct,NA,Dec 04 2022 12:28:05,Shereen,1
6346b,6346b_session1_lista_naming_trial028_kangaroo.wav,1,a,naming,28,kangaroo,881,correct,NA,Dec 04 2022 12:28:12,Shereen,1
6346b,6346b_session1_lista_naming_trial029_snake.wav,1,a,naming,29,snake,797,correct,NA,Dec 04 2022 12:28:20,Shereen,1
6346b,6346b_session1_lista_naming_trial030_nest.wav,1,a,naming,30,nest,970,correct,NA,Dec 04 2022 12:28:30,Shereen,1
6346b,6346b_session1_lista_naming_trial031_pipe.wav,1,a,naming,31,pipe,1476,correct,NA,Dec 04 2022 12:28:45,Shereen,1
6346b,6346b_session1_lista_naming_trial032_wall.wav,1,a,naming,32,wall,881,correct,NA,Dec 04 2022 12:28:59,Shereen,1
6346b,6346b_session1_lista_naming_trial033_hat.wav,1,a,naming,33,hat,657,correct,NA,Dec 04 2022 12:29:06,Shereen,1
6346b,6346b_session1_lista_naming_trial034_fridge.wav,1,a,naming,34,fridge,714,correct,NA,Dec 04 2022 12:29:12,Shereen,1
6346b,6346b_session1_lista_naming_trial035_avocado.wav,1,a,naming,35,avocado,1431,correct,NA,Dec 04 2022 12:29:16,Shereen,1
6346b,6346b_session1_lista_naming_trial036_donkey.wav,1,a,naming,36,donkey,1092,correct,NA,Dec 04 2022 12:29:20,Shereen,1
6346b,6346b_session1_lista_naming_trial037_limo.wav,1,a,naming,37,limo,708,correct,NA,Dec 04 2022 12:29:25,Shereen,1
6346b,6346b_session1_lista_naming_trial038_arm.wav,1,a,naming,38,arm,823,correct,NA,Dec 04 2022 12:29:29,Shereen,1
6346b,6346b_session1_lista_naming_trial039_rocket.wav,1,a,naming,39,rocket,970,correct,NA,Dec 04 2022 12:29:37,Shereen,1
6346b,6346b_session1_lista_naming_trial040_computer.wav,1,a,naming,40,computer,1092,correct,NA,Dec 04 2022 12:29:42,Shereen,1
6346b,6346b_session1_lista_naming_trial041_tiger.wav,1,a,naming,41,tiger,1041,correct,NA,Dec 04 2022 12:29:45,Shereen,1
6346b,6346b_session1_lista_naming_trial042_orange.wav,1,a,naming,42,orange,1162,correct,NA,Dec 04 2022 12:29:52,Shereen,1
6346b,6346b_session1_lista_naming_trial043_ruler.wav,1,a,naming,43,ruler,906,correct,NA,Dec 04 2022 12:29:57,Shereen,1
6346b,6346b_session1_lista_naming_trial044_bell.wav,1,a,naming,44,bell,887,correct,NA,Dec 04 2022 12:30:01,Shereen,1
6346b,6346b_session1_lista_naming_trial045_bear.wav,1,a,naming,45,bear,964,correct,NA,Dec 04 2022 12:30:05,Shereen,1
6346b,6346b_session1_lista_naming_trial046_kitchen.wav,1,a,naming,46,kitchen,983,correct,NA,Dec 04 2022 12:30:09,Shereen,1
6346b,6346b_session1_lista_naming_trial047_shield.wav,1,a,naming,47,shield,913,correct,NA,Dec 04 2022 12:30:13,Shereen,1
6346b,6346b_session1_lista_naming_trial048_butter.wav,1,a,naming,48,butter,945,correct,NA,Dec 04 2022 12:30:17,Shereen,1
6346b,6346b_session1_lista_naming_trial049_ear.wav,1,a,naming,49,ear,989,correct,NA,Dec 04 2022 12:30:25,Shereen,1
