Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5cbcc,5cbcc_session1_listb_naming_trial001_jar.wav,1,b,naming,1,jar,1170,correct,NA,Feb 21 2023 15:00:04,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial002_king.wav,1,b,naming,2,king,1291,correct,NA,Feb 21 2023 15:00:15,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial003_parachute.wav,1,b,naming,3,parachute,1632,correct,NA,Feb 21 2023 15:00:26,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial004_foot.wav,1,b,naming,4,foot,657,correct,NA,Feb 21 2023 15:00:46,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial005_dolphin.wav,1,b,naming,5,dolphin,864,correct,NA,Feb 21 2023 15:01:31,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial006_stapler.wav,1,b,naming,6,stapler,667,correct,NA,Feb 21 2023 15:01:42,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial007_house.wav,1,b,naming,7,house,877,correct,NA,Feb 21 2023 15:01:55,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial008_lemon.wav,1,b,naming,8,lemon,950,correct,NA,Feb 21 2023 15:02:16,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial009_cloud.wav,1,b,naming,9,cloud,772,correct,NA,Feb 21 2023 15:03:06,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial010_door.wav,1,b,naming,10,door,692,correct,NA,Feb 21 2023 15:03:17,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial011_moustache.wav,1,b,naming,11,moustache,692,correct,NA,Feb 21 2023 15:03:29,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial012_desert.wav,1,b,naming,12,desert,807,correct,NA,Feb 21 2023 15:03:39,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial013_shark.wav,1,b,naming,13,shark,-1,wrong_word,NA,Feb 21 2023 15:03:56,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial014_tank.wav,1,b,naming,14,tank,-1,wrong_word,NA,Feb 21 2023 15:04:09,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial015_brain.wav,1,b,naming,15,brain,868,correct,NA,Feb 21 2023 15:04:17,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial016_mirror.wav,1,b,naming,16,mirror,686,correct,NA,Feb 21 2023 15:04:25,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial017_mask.wav,1,b,naming,17,mask,805,correct,NA,Feb 21 2023 15:04:56,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial018_swimming.wav,1,b,naming,18,swimming,-1,wrong_word,NA,Feb 21 2023 15:05:07,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial019_spider.wav,1,b,naming,19,spider,1167,correct,NA,Feb 21 2023 15:05:14,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial020_knee.wav,1,b,naming,20,knee,1148,correct,NA,Feb 21 2023 15:05:21,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial021_microphone.wav,1,b,naming,21,microphone,756,correct,NA,Feb 21 2023 15:05:33,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial022_condom.wav,1,b,naming,22,condom,944,correct,NA,Feb 21 2023 15:05:46,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial023_well.wav,1,b,naming,23,well,928,correct,NA,Feb 21 2023 15:05:53,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial024_broccoli.wav,1,b,naming,24,broccoli,922,correct,NA,Feb 21 2023 15:06:53,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial025_cigarette.wav,1,b,naming,25,cigarette,638,correct,NA,Feb 21 2023 15:07:04,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial026_bedroom.wav,1,b,naming,26,bedroom,-1,wrong_word,NA,Feb 21 2023 15:07:09,Agnieszka,1
5cbcc,5cbcc_session1_listb_naming_trial027_coffin.wav,1,b,naming,27,coffin,842,correct,NA,Feb 21 2023 15:07:19,Agnieszka,1
