Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5dcfa,5dcfa_session1_listb_naming_trial001_pool.wav,1,b,naming,1,pool,1294,correct,NA,Jan  3 2023 10:50:15,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial002_finger.wav,1,b,naming,2,finger,785,correct,NA,Jan  3 2023 10:50:25,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial003_frog.wav,1,b,naming,3,frog,696,correct,NA,Jan  3 2023 10:50:36,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial004_witch.wav,1,b,naming,4,witch,791,correct,NA,Jan  3 2023 10:50:44,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial005_thermometer.wav,1,b,naming,5,thermometer,680,correct,NA,Jan  3 2023 10:52:54,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial006_scarecrow.wav,1,b,naming,6,scarecrow,794,correct,NA,Jan  3 2023 10:53:01,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial007_cage.wav,1,b,naming,7,cage,989,correct,NA,Jan  3 2023 10:53:12,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial008_torch.wav,1,b,naming,8,torch,963,correct,NA,Jan  3 2023 10:53:25,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial009_crown.wav,1,b,naming,9,crown,938,correct,NA,Jan  3 2023 10:53:33,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial010_skateboard.wav,1,b,naming,10,skateboard,705,correct,NA,Jan  3 2023 10:53:45,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial011_watch.wav,1,b,naming,11,watch,797,correct,NA,Jan  3 2023 10:54:01,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial012_dolphin.wav,1,b,naming,12,dolphin,763,correct,NA,Jan  3 2023 10:54:21,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial013_penguin.wav,1,b,naming,13,penguin,747,correct,NA,Jan  3 2023 11:00:06,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial014_bin.wav,1,b,naming,14,bin,1030,correct,NA,Jan  3 2023 11:00:23,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial015_parrot.wav,1,b,naming,15,parrot,871,correct,NA,Jan  3 2023 11:00:44,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial016_desert.wav,1,b,naming,16,desert,893,correct,NA,Jan  3 2023 11:00:57,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial017_ambulance.wav,1,b,naming,17,ambulance,753,correct,NA,Jan  3 2023 11:01:06,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial018_shirt.wav,1,b,naming,18,shirt,-1,wrong_word,NA,Jan  3 2023 11:01:20,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial019_dragon.wav,1,b,naming,19,dragon,818,correct,NA,Jan  3 2023 11:02:37,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial020_parachute.wav,1,b,naming,20,parachute,823,correct,NA,Jan  3 2023 11:02:45,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial021_mask.wav,1,b,naming,21,mask,762,correct,NA,Jan  3 2023 11:02:53,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial022_moustache.wav,1,b,naming,22,moustache,708,correct,NA,Jan  3 2023 11:03:06,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial023_spider.wav,1,b,naming,23,spider,695,correct,NA,Jan  3 2023 11:03:40,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial024_coffin.wav,1,b,naming,24,coffin,766,correct,NA,Jan  3 2023 11:03:54,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial025_scorpion.wav,1,b,naming,25,scorpion,829,correct,NA,Jan  3 2023 11:04:04,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial026_elephant.wav,1,b,naming,26,elephant,985,correct,NA,Jan  3 2023 11:04:20,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial027_hand.wav,1,b,naming,27,hand,848,correct,NA,Jan  3 2023 11:04:31,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial028_lemon.wav,1,b,naming,28,lemon,829,correct,NA,Jan  3 2023 11:04:45,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial029_devil.wav,1,b,naming,29,devil,903,correct,NA,Jan  3 2023 11:04:54,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial030_girl.wav,1,b,naming,30,girl,836,correct,NA,Jan  3 2023 11:05:06,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial031_trumpet.wav,1,b,naming,31,trumpet,836,correct,NA,Jan  3 2023 11:05:20,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial032_honey.wav,1,b,naming,32,honey,807,correct,NA,Jan  3 2023 11:05:30,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial033_cannon.wav,1,b,naming,33,cannon,938,correct,NA,Jan  3 2023 11:05:43,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial034_gun.wav,1,b,naming,34,gun,1017,correct,NA,Jan  3 2023 11:05:56,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial035_pirate.wav,1,b,naming,35,pirate,874,correct,NA,Jan  3 2023 11:06:06,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial036_leaf.wav,1,b,naming,36,leaf,1011,correct,NA,Jan  3 2023 11:06:20,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial037_roof.wav,1,b,naming,37,roof,864,correct,NA,Jan  3 2023 11:07:07,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial038_printer.wav,1,b,naming,38,printer,874,correct,NA,Jan  3 2023 11:07:14,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial039_calculator.wav,1,b,naming,39,calculator,762,correct,NA,Jan  3 2023 11:07:22,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial040_camera.wav,1,b,naming,40,camera,832,correct,NA,Jan  3 2023 11:07:30,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial041_shadow.wav,1,b,naming,41,shadow,820,correct,NA,Jan  3 2023 11:07:38,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial042_ankle.wav,1,b,naming,42,ankle,1192,correct,NA,Jan  3 2023 11:07:46,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial043_skull.wav,1,b,naming,43,skull,810,correct,NA,Jan  3 2023 11:07:56,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial044_bedroom.wav,1,b,naming,44,bedroom,-1,wrong_word,NA,Jan  3 2023 11:08:07,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial045_swimming.wav,1,b,naming,45,swimming,785,correct,NA,Jan  3 2023 11:08:55,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial046_feather.wav,1,b,naming,46,feather,1218,correct,NA,Jan  3 2023 11:09:06,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial047_giraffe.wav,1,b,naming,47,giraffe,879,correct,NA,Jan  3 2023 11:09:18,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial048_airport.wav,1,b,naming,48,airport,1097,correct,NA,Jan  3 2023 11:09:26,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial049_handle.wav,1,b,naming,49,handle,864,correct,NA,Jan  3 2023 11:09:41,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial050_man.wav,1,b,naming,50,man,836,correct,NA,Jan  3 2023 11:09:49,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial051_coffee.wav,1,b,naming,51,coffee,832,correct,NA,Jan  3 2023 11:13:24,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial052_stapler.wav,1,b,naming,52,stapler,692,correct,NA,Jan  3 2023 11:13:36,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial053_dog.wav,1,b,naming,53,dog,794,correct,NA,Jan  3 2023 11:13:45,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial054_lab.wav,1,b,naming,54,lab,-1,wrong_word,NA,Jan  3 2023 11:13:54,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial055_strawberry.wav,1,b,naming,55,strawberry,648,correct,NA,Jan  3 2023 11:14:12,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial056_balloon.wav,1,b,naming,56,balloon,775,correct,NA,Jan  3 2023 11:14:21,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial057_sheep.wav,1,b,naming,57,sheep,686,correct,NA,Jan  3 2023 11:14:32,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial058_fist.wav,1,b,naming,58,fist,864,correct,NA,Jan  3 2023 11:14:47,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial059_maze.wav,1,b,naming,59,maze,1008,correct,NA,Jan  3 2023 11:14:56,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial060_iron.wav,1,b,naming,60,iron,817,correct,NA,Jan  3 2023 11:15:04,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial061_needle.wav,1,b,naming,61,needle,1562,correct,NA,Jan  3 2023 11:15:11,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial062_bat.wav,1,b,naming,62,bat,969,correct,NA,Jan  3 2023 11:15:20,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial063_broom.wav,1,b,naming,63,broom,680,correct,NA,Jan  3 2023 11:15:32,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial064_belt.wav,1,b,naming,64,belt,887,correct,NA,Jan  3 2023 11:15:44,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial065_telephone.wav,1,b,naming,65,telephone,868,correct,NA,Jan  3 2023 11:15:55,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial066_cowboy.wav,1,b,naming,66,cowboy,823,correct,NA,Jan  3 2023 11:16:07,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial067_shark.wav,1,b,naming,67,shark,724,correct,NA,Jan  3 2023 11:16:15,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial068_nun.wav,1,b,naming,68,nun,-1,wrong_word,NA,Jan  3 2023 11:16:24,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial069_well.wav,1,b,naming,69,well,1084,correct,NA,Jan  3 2023 11:16:53,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial070_earring.wav,1,b,naming,70,earring,1011,correct,NA,Jan  3 2023 11:17:05,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial071_hedgehog.wav,1,b,naming,71,hedgehog,673,correct,NA,Jan  3 2023 11:17:46,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial072_spoon.wav,1,b,naming,72,spoon,619,correct,NA,Jan  3 2023 11:18:18,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial073_bible.wav,1,b,naming,73,bible,829,correct,NA,Jan  3 2023 11:18:26,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial074_cactus.wav,1,b,naming,74,cactus,645,correct,NA,Jan  3 2023 11:18:40,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial075_house.wav,1,b,naming,75,house,692,correct,NA,Jan  3 2023 11:19:21,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial076_fruit.wav,1,b,naming,76,fruit,807,correct,NA,Jan  3 2023 11:19:35,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial077_cigarette.wav,1,b,naming,77,cigarette,708,correct,NA,Jan  3 2023 11:19:44,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial078_jar.wav,1,b,naming,78,jar,801,correct,NA,Jan  3 2023 11:19:51,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial079_car.wav,1,b,naming,79,car,632,correct,NA,Jan  3 2023 11:19:59,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial080_wallet.wav,1,b,naming,80,wallet,743,correct,NA,Jan  3 2023 11:20:10,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial081_waiter.wav,1,b,naming,81,waiter,880,correct,NA,Jan  3 2023 11:20:19,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial082_fire.wav,1,b,naming,82,fire,718,correct,NA,Jan  3 2023 11:20:32,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial083_pilot.wav,1,b,naming,83,pilot,739,correct,NA,Jan  3 2023 11:20:49,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial084_microphone.wav,1,b,naming,84,microphone,782,correct,NA,Jan  3 2023 11:21:05,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial085_bed.wav,1,b,naming,85,bed,861,correct,NA,Jan  3 2023 11:21:13,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial086_glass.wav,1,b,naming,86,glass,1059,correct,NA,Jan  3 2023 11:21:23,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial087_nurse.wav,1,b,naming,87,nurse,829,correct,NA,Jan  3 2023 11:21:31,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial088_keyboard.wav,1,b,naming,88,keyboard,1116,correct,NA,Jan  3 2023 11:21:47,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial089_umbrella.wav,1,b,naming,89,umbrella,823,correct,NA,Jan  3 2023 11:22:29,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial090_cone.wav,1,b,naming,90,cone,750,correct,NA,Jan  3 2023 11:22:38,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial091_fan.wav,1,b,naming,91,fan,737,correct,NA,Jan  3 2023 11:22:46,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial092_harp.wav,1,b,naming,92,harp,-1,wrong_word,NA,Jan  3 2023 11:22:55,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial093_baby.wav,1,b,naming,93,baby,755,correct,NA,Jan  3 2023 11:23:13,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial094_eye.wav,1,b,naming,94,eye,735,correct,NA,Jan  3 2023 11:24:07,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial095_screwdriver.wav,1,b,naming,95,screwdriver,696,correct,NA,Jan  3 2023 11:24:18,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial096_condom.wav,1,b,naming,96,condom,801,correct,NA,Jan  3 2023 11:24:36,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial097_scarf.wav,1,b,naming,97,scarf,697,correct,NA,Jan  3 2023 11:31:05,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial098_ring.wav,1,b,naming,98,ring,966,correct,NA,Jan  3 2023 11:31:50,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial099_apron.wav,1,b,naming,99,apron,829,correct,NA,Jan  3 2023 11:31:58,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial100_glasses.wav,1,b,naming,100,glasses,834,correct,NA,Jan  3 2023 11:32:17,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial101_banana.wav,1,b,naming,101,banana,785,correct,NA,Jan  3 2023 11:32:26,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial102_football.wav,1,b,naming,102,football,603,correct,NA,Jan  3 2023 11:32:40,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial103_heart.wav,1,b,naming,103,heart,664,correct,NA,Jan  3 2023 11:32:59,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial104_back.wav,1,b,naming,104,back,766,correct,NA,Jan  3 2023 11:41:36,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial105_asparagus.wav,1,b,naming,105,asparagus,869,correct,NA,Jan  3 2023 11:41:44,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial106_television.wav,1,b,naming,106,television,976,correct,NA,Jan  3 2023 11:41:51,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial107_lizard.wav,1,b,naming,107,lizard,874,correct,NA,Jan  3 2023 11:42:09,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial108_pumpkin.wav,1,b,naming,108,pumpkin,826,correct,NA,Jan  3 2023 11:42:39,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial109_burger.wav,1,b,naming,109,burger,876,correct,NA,Jan  3 2023 11:42:52,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial110_cloud.wav,1,b,naming,110,cloud,1393,correct,NA,Jan  3 2023 11:43:16,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial111_foot.wav,1,b,naming,111,foot,836,correct,NA,Jan  3 2023 11:45:04,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial112_door.wav,1,b,naming,112,door,797,correct,NA,Jan  3 2023 11:45:18,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial113_volcano.wav,1,b,naming,113,volcano,896,correct,NA,Jan  3 2023 11:45:53,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial114_coconut.wav,1,b,naming,114,coconut,899,correct,NA,Jan  3 2023 11:46:37,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial115_egg.wav,1,b,naming,115,egg,845,correct,NA,Jan  3 2023 11:46:45,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial116_skeleton.wav,1,b,naming,116,skeleton,657,correct,NA,Jan  3 2023 11:46:55,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial117_diamond.wav,1,b,naming,117,diamond,807,correct,NA,Jan  3 2023 11:47:36,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial118_snail.wav,1,b,naming,118,snail,667,correct,NA,Jan  3 2023 11:47:44,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial119_calendar.wav,1,b,naming,119,calendar,855,correct,NA,Jan  3 2023 11:47:53,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial120_greenhouse.wav,1,b,naming,120,greenhouse,813,correct,NA,Jan  3 2023 11:48:02,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial121_beard.wav,1,b,naming,121,beard,1234,correct,NA,Jan  3 2023 11:48:10,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial122_pizza.wav,1,b,naming,122,pizza,918,correct,NA,Jan  3 2023 11:48:19,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial123_brain.wav,1,b,naming,123,brain,791,correct,NA,Jan  3 2023 11:48:29,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial124_chair.wav,1,b,naming,124,chair,785,correct,NA,Jan  3 2023 11:48:37,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial125_lion.wav,1,b,naming,125,lion,807,correct,NA,Jan  3 2023 11:48:47,Agnieszka,1
5dcfa,5dcfa_session1_listb_naming_trial126_dinosaur.wav,1,b,naming,126,dinosaur,909,correct,NA,Jan  3 2023 11:48:58,Agnieszka,1
