Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5e1cf,5e1cf_session1_listb_naming_trial001_needle.wav,1,b,naming,1,needle,914,correct,NA,Jan  4 2023 11:27:15,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial002_mirror.wav,1,b,naming,2,mirror,664,correct,NA,Jan  4 2023 11:27:24,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial003_house.wav,1,b,naming,3,house,973,correct,NA,Jan  4 2023 11:27:34,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial004_pizza.wav,1,b,naming,4,pizza,616,correct,NA,Jan  4 2023 11:27:43,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial005_scarecrow.wav,1,b,naming,5,scarecrow,756,correct,NA,Jan  4 2023 11:27:52,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial006_pool.wav,1,b,naming,6,pool,638,correct,NA,Jan  4 2023 11:28:04,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial007_hedgehog.wav,1,b,naming,7,hedgehog,635,correct,NA,Jan  4 2023 11:28:17,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial008_cannon.wav,1,b,naming,8,cannon,881,correct,NA,Jan  4 2023 11:28:42,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial009_guitar.wav,1,b,naming,9,guitar,670,correct,NA,Jan  4 2023 11:29:01,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial010_shark.wav,1,b,naming,10,shark,661,correct,NA,Jan  4 2023 11:29:28,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial011_lemon.wav,1,b,naming,11,lemon,645,correct,NA,Jan  4 2023 11:29:37,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial012_airport.wav,1,b,naming,12,airport,-1,wrong_word,NA,Jan  4 2023 11:29:44,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial013_car.wav,1,b,naming,13,car,668,correct,NA,Jan  4 2023 11:29:59,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial014_apron.wav,1,b,naming,14,apron,651,correct,NA,Jan  4 2023 11:30:18,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial015_torch.wav,1,b,naming,15,torch,644,correct,NA,Jan  4 2023 11:30:27,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial016_handle.wav,1,b,naming,16,handle,740,correct,NA,Jan  4 2023 11:30:39,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial017_fan.wav,1,b,naming,17,fan,657,correct,NA,Jan  4 2023 11:30:57,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial018_nurse.wav,1,b,naming,18,nurse,735,correct,NA,Jan  4 2023 11:31:06,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial019_football.wav,1,b,naming,19,football,581,correct,NA,Jan  4 2023 11:31:17,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial020_devil.wav,1,b,naming,20,devil,747,correct,NA,Jan  4 2023 11:31:26,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial021_microphone.wav,1,b,naming,21,microphone,664,correct,NA,Jan  4 2023 11:31:36,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial022_jar.wav,1,b,naming,22,jar,670,correct,NA,Jan  4 2023 11:31:52,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial023_man.wav,1,b,naming,23,man,842,correct,NA,Jan  4 2023 11:32:03,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial024_eye.wav,1,b,naming,24,eye,688,correct,NA,Jan  4 2023 11:32:11,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial025_skeleton.wav,1,b,naming,25,skeleton,629,correct,NA,Jan  4 2023 11:32:32,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial026_bin.wav,1,b,naming,26,bin,753,correct,NA,Jan  4 2023 11:32:44,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial027_stapler.wav,1,b,naming,27,stapler,995,correct,NA,Jan  4 2023 11:32:53,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial028_banana.wav,1,b,naming,28,banana,705,correct,NA,Jan  4 2023 11:33:03,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial029_scorpion.wav,1,b,naming,29,scorpion,1052,correct,NA,Jan  4 2023 11:33:12,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial030_moustache.wav,1,b,naming,30,moustache,680,correct,NA,Jan  4 2023 11:33:25,Agnieszka,1
5e1cf,5e1cf_session1_listb_naming_trial031_pirate.wav,1,b,naming,31,pirate,788,correct,NA,Jan  4 2023 11:33:35,Agnieszka,1
