Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5ead6,5ead6_session1_listb_naming_trial001_waiter.wav,1,b,naming,1,waiter,1339,correct,NA,Jan  5 2023 17:15:44,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial002_glasses.wav,1,b,naming,2,glasses,1087,correct,NA,Jan  5 2023 17:15:57,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial003_nun.wav,1,b,naming,3,nun,1441,correct,NA,Jan  5 2023 17:16:13,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial004_mask.wav,1,b,naming,4,mask,863,correct,NA,Jan  5 2023 17:16:31,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial005_calculator.wav,1,b,naming,5,calculator,947,correct,NA,Jan  5 2023 17:16:39,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial006_scorpion.wav,1,b,naming,6,scorpion,848,correct,NA,Jan  5 2023 17:16:51,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial007_fist.wav,1,b,naming,7,fist,998,correct,NA,Jan  5 2023 17:17:15,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial008_butcher.wav,1,b,naming,8,butcher,1004,correct,NA,Jan  5 2023 17:17:26,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial009_ankle.wav,1,b,naming,9,ankle,1103,correct,NA,Jan  5 2023 17:17:35,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial010_coffee.wav,1,b,naming,10,coffee,966,correct,NA,Jan  5 2023 17:17:47,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial011_gun.wav,1,b,naming,11,gun,963,correct,NA,Jan  5 2023 17:17:57,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial012_maze.wav,1,b,naming,12,maze,1046,correct,NA,Jan  5 2023 17:18:04,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial013_house.wav,1,b,naming,13,house,1008,correct,NA,Jan  5 2023 17:18:13,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial014_skateboard.wav,1,b,naming,14,skateboard,1017,correct,NA,Jan  5 2023 17:18:22,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial015_pilot.wav,1,b,naming,15,pilot,1266,correct,NA,Jan  5 2023 17:18:31,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial016_stapler.wav,1,b,naming,16,stapler,960,correct,NA,Jan  5 2023 17:18:45,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial017_burger.wav,1,b,naming,17,burger,1075,correct,NA,Jan  5 2023 17:18:54,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial018_jar.wav,1,b,naming,18,jar,1189,correct,NA,Jan  5 2023 17:19:02,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial019_cowboy.wav,1,b,naming,19,cowboy,1215,correct,NA,Jan  5 2023 17:19:10,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial020_volcano.wav,1,b,naming,20,volcano,1052,correct,NA,Jan  5 2023 17:19:22,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial021_tooth.wav,1,b,naming,21,tooth,989,correct,NA,Jan  5 2023 17:19:30,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial022_choir.wav,1,b,naming,22,choir,1126,correct,NA,Jan  5 2023 17:19:42,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial023_giraffe.wav,1,b,naming,23,giraffe,839,correct,NA,Jan  5 2023 17:19:51,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial024_beard.wav,1,b,naming,24,beard,909,correct,NA,Jan  5 2023 17:19:59,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial025_coconut.wav,1,b,naming,25,coconut,1272,correct,NA,Jan  5 2023 17:20:07,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial026_lizard.wav,1,b,naming,26,lizard,1141,correct,NA,Jan  5 2023 17:20:15,Agnieszka,1
5ead6,5ead6_session1_listb_naming_trial027_pizza.wav,1,b,naming,27,pizza,1043,correct,NA,Jan  5 2023 17:20:23,Agnieszka,1
