Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5f69c,5f69c_session1_listb_naming_trial001_stapler.wav,1,b,naming,1,stapler,995,correct,NA,Jan 17 2023 11:09:27,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial002_fist.wav,1,b,naming,2,fist,769,correct,NA,Jan 17 2023 11:09:36,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial003_cage.wav,1,b,naming,3,cage,-1,wrong_word,NA,Jan 17 2023 11:09:45,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial004_microphone.wav,1,b,naming,4,microphone,-1,disfluency,NA,Jan 17 2023 11:12:58,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial005_farm.wav,1,b,naming,5,farm,848,correct,NA,Jan 17 2023 11:13:06,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial006_keyboard.wav,1,b,naming,6,keyboard,708,correct,NA,Jan 17 2023 11:13:14,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial007_television.wav,1,b,naming,7,television,-1,wrong_word,NA,Jan 17 2023 11:13:22,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial008_football.wav,1,b,naming,8,football,1457,uncertain,noisy background,Jan 17 2023 11:13:49,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial009_well.wav,1,b,naming,9,well,1205,correct,NA,Jan 17 2023 11:13:57,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial010_fire.wav,1,b,naming,10,fire,1250,correct,NA,Jan 17 2023 11:14:05,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial011_printer.wav,1,b,naming,11,printer,1390,correct,NA,Jan 17 2023 11:14:18,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial012_choir.wav,1,b,naming,12,choir,1071,correct,NA,Jan 17 2023 11:14:29,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial013_bible.wav,1,b,naming,13,bible,1126,correct,NA,Jan 17 2023 11:14:37,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial014_leaf.wav,1,b,naming,14,leaf,1240,correct,NA,Jan 17 2023 11:14:48,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial015_lizard.wav,1,b,naming,15,lizard,1565,correct,NA,Jan 17 2023 11:14:57,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial016_broccoli.wav,1,b,naming,16,broccoli,1575,correct,NA,Jan 17 2023 11:15:12,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial017_sock.wav,1,b,naming,17,sock,1122,correct,NA,Jan 17 2023 11:15:20,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial018_cloud.wav,1,b,naming,18,cloud,1677,correct,NA,Jan 17 2023 11:15:28,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial019_pilot.wav,1,b,naming,19,pilot,995,correct,NA,Jan 17 2023 11:15:36,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial020_earring.wav,1,b,naming,20,earring,969,correct,NA,Jan 17 2023 11:15:43,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial021_cone.wav,1,b,naming,21,cone,1087,correct,NA,Jan 17 2023 11:15:50,Agnieszka,1
5f69c,5f69c_session1_listb_naming_trial022_parrot.wav,1,b,naming,22,parrot,737,correct,NA,Jan 17 2023 11:16:01,Agnieszka,1
