Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5fdbb,5fdbb_session1_listb_naming_trial001_sock.wav,1,b,naming,1,sock,945,correct,NA,Jan 19 2023 10:41:37,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial002_balloon.wav,1,b,naming,2,balloon,891,correct,NA,Jan 19 2023 10:41:45,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial003_cowboy.wav,1,b,naming,3,cowboy,1031,correct,NA,Jan 19 2023 10:41:58,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial004_wallet.wav,1,b,naming,4,wallet,923,correct,NA,Jan 19 2023 10:42:06,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial005_swimming.wav,1,b,naming,5,swimming,917,correct,NA,Jan 19 2023 10:42:15,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial006_hedgehog.wav,1,b,naming,6,hedgehog,923,correct,NA,Jan 19 2023 10:42:23,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial007_chair.wav,1,b,naming,7,chair,816,correct,NA,Jan 19 2023 10:42:34,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial008_sheep.wav,1,b,naming,8,sheep,813,correct,NA,Jan 19 2023 10:42:49,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial009_bin.wav,1,b,naming,9,bin,882,correct,NA,Jan 19 2023 10:42:56,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial010_coffee.wav,1,b,naming,10,coffee,961,correct,NA,Jan 19 2023 10:43:03,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial011_umbrella.wav,1,b,naming,11,umbrella,885,correct,NA,Jan 19 2023 10:43:10,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial012_jar.wav,1,b,naming,12,jar,882,correct,NA,Jan 19 2023 10:43:19,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial013_pilot.wav,1,b,naming,13,pilot,932,correct,NA,Jan 19 2023 10:43:26,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial014_shadow.wav,1,b,naming,14,shadow,929,correct,NA,Jan 19 2023 10:43:33,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial015_telephone.wav,1,b,naming,15,telephone,879,correct,NA,Jan 19 2023 10:43:40,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial016_knee.wav,1,b,naming,16,knee,882,correct,NA,Jan 19 2023 10:43:51,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial017_strawberry.wav,1,b,naming,17,strawberry,837,correct,NA,Jan 19 2023 10:44:10,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial018_mirror.wav,1,b,naming,18,mirror,857,correct,NA,Jan 19 2023 10:44:21,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial019_guitar.wav,1,b,naming,19,guitar,885,correct,NA,Jan 19 2023 10:44:33,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial020_heart.wav,1,b,naming,20,heart,768,correct,NA,Jan 19 2023 10:44:42,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial021_lab.wav,1,b,naming,21,lab,1839,correct,NA,Jan 19 2023 10:44:51,Agnieszka,1
5fdbb,5fdbb_session1_listb_naming_trial022_camera.wav,1,b,naming,22,camera,860,correct,NA,Jan 19 2023 10:44:58,Agnieszka,1
