Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
6085a,6085a_session1_listb_naming_trial001_glasses.wav,1,b,naming,1,glasses,944,correct,NA,Jan 27 2023 14:55:07,Agnieszka,1
6085a,6085a_session1_listb_naming_trial002_swimming.wav,1,b,naming,2,swimming,1081,uncertain,not sure if the initial 's' isnt a bit prolonged,Jan 27 2023 14:55:27,Agnieszka,1
6085a,6085a_session1_listb_naming_trial003_coffee.wav,1,b,naming,3,coffee,896,correct,NA,Jan 27 2023 14:55:39,Agnieszka,1
6085a,6085a_session1_listb_naming_trial004_tank.wav,1,b,naming,4,tank,1024,correct,NA,Jan 27 2023 14:55:47,Agnieszka,1
6085a,6085a_session1_listb_naming_trial005_wallet.wav,1,b,naming,5,wallet,1272,correct,NA,Jan 27 2023 14:55:58,Agnieszka,1
6085a,6085a_session1_listb_naming_trial006_bible.wav,1,b,naming,6,bible,1049,correct,NA,Jan 27 2023 14:56:13,Agnieszka,1
6085a,6085a_session1_listb_naming_trial007_jar.wav,1,b,naming,7,jar,979,correct,NA,Jan 27 2023 14:56:20,Agnieszka,1
6085a,6085a_session1_listb_naming_trial008_cone.wav,1,b,naming,8,cone,973,correct,NA,Jan 27 2023 14:56:27,Agnieszka,1
6085a,6085a_session1_listb_naming_trial009_greenhouse.wav,1,b,naming,9,greenhouse,1020,correct,NA,Jan 27 2023 14:56:34,Agnieszka,1
6085a,6085a_session1_listb_naming_trial010_heart.wav,1,b,naming,10,heart,985,correct,NA,Jan 27 2023 14:56:54,Agnieszka,1
6085a,6085a_session1_listb_naming_trial011_hedgehog.wav,1,b,naming,11,hedgehog,804,correct,NA,Jan 27 2023 14:57:02,Agnieszka,1
6085a,6085a_session1_listb_naming_trial012_leaf.wav,1,b,naming,12,leaf,817,correct,NA,Jan 27 2023 14:57:14,Agnieszka,1
6085a,6085a_session1_listb_naming_trial013_king.wav,1,b,naming,13,king,1151,correct,NA,Jan 27 2023 14:57:24,Agnieszka,1
6085a,6085a_session1_listb_naming_trial014_cannon.wav,1,b,naming,14,cannon,-1,wrong_word,NA,Jan 27 2023 14:57:31,Agnieszka,1
