Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
612c8,612c8_session1_listb_naming_trial001_condom.wav,1,b,naming,1,condom,957,correct,NA,Jan 25 2023 13:20:07,Agnieszka,1
612c8,612c8_session1_listb_naming_trial002_caravan.wav,1,b,naming,2,caravan,871,correct,NA,Jan 25 2023 13:20:16,Agnieszka,1
612c8,612c8_session1_listb_naming_trial003_umbrella.wav,1,b,naming,3,umbrella,871,correct,NA,Jan 25 2023 13:20:22,Agnieszka,1
612c8,612c8_session1_listb_naming_trial004_ambulance.wav,1,b,naming,4,ambulance,1148,correct,NA,Jan 25 2023 13:20:29,Agnieszka,1
612c8,612c8_session1_listb_naming_trial005_car.wav,1,b,naming,5,car,766,correct,NA,Jan 25 2023 13:20:36,Agnieszka,1
612c8,612c8_session1_listb_naming_trial006_cannon.wav,1,b,naming,6,cannon,797,correct,NA,Jan 25 2023 13:20:44,Agnieszka,1
612c8,612c8_session1_listb_naming_trial007_scarecrow.wav,1,b,naming,7,scarecrow,797,correct,NA,Jan 25 2023 13:20:56,Agnieszka,1
612c8,612c8_session1_listb_naming_trial008_vein.wav,1,b,naming,8,vein,976,correct,NA,Jan 25 2023 13:21:04,Agnieszka,1
612c8,612c8_session1_listb_naming_trial009_lemon.wav,1,b,naming,9,lemon,753,correct,NA,Jan 25 2023 13:21:17,Agnieszka,1
612c8,612c8_session1_listb_naming_trial010_maze.wav,1,b,naming,10,maze,966,correct,NA,Jan 25 2023 13:21:24,Agnieszka,1
612c8,612c8_session1_listb_naming_trial011_girl.wav,1,b,naming,11,girl,896,correct,NA,Jan 25 2023 13:21:32,Agnieszka,1
612c8,612c8_session1_listb_naming_trial012_dentist.wav,1,b,naming,12,dentist,1004,correct,NA,Jan 25 2023 13:21:42,Agnieszka,1
612c8,612c8_session1_listb_naming_trial013_mirror.wav,1,b,naming,13,mirror,801,correct,NA,Jan 25 2023 13:21:52,Agnieszka,1
612c8,612c8_session1_listb_naming_trial014_bible.wav,1,b,naming,14,bible,909,correct,NA,Jan 25 2023 13:22:13,Agnieszka,1
612c8,612c8_session1_listb_naming_trial015_cloud.wav,1,b,naming,15,cloud,836,correct,NA,Jan 25 2023 13:22:22,Agnieszka,1
612c8,612c8_session1_listb_naming_trial016_butcher.wav,1,b,naming,16,butcher,1212,correct,NA,Jan 25 2023 13:22:28,Agnieszka,1
612c8,612c8_session1_listb_naming_trial017_honey.wav,1,b,naming,17,honey,778,correct,NA,Jan 25 2023 13:22:37,Agnieszka,1
612c8,612c8_session1_listb_naming_trial018_iron.wav,1,b,naming,18,iron,871,correct,NA,Jan 25 2023 13:22:46,Agnieszka,1
612c8,612c8_session1_listb_naming_trial019_pirate.wav,1,b,naming,19,pirate,896,correct,NA,Jan 25 2023 13:22:53,Agnieszka,1
612c8,612c8_session1_listb_naming_trial020_dog.wav,1,b,naming,20,dog,839,correct,NA,Jan 25 2023 13:23:02,Agnieszka,1
612c8,612c8_session1_listb_naming_trial021_skateboard.wav,1,b,naming,21,skateboard,753,correct,NA,Jan 25 2023 13:23:10,Agnieszka,1
612c8,612c8_session1_listb_naming_trial022_trumpet.wav,1,b,naming,22,trumpet,848,correct,NA,Jan 25 2023 13:23:17,Agnieszka,1
612c8,612c8_session1_listb_naming_trial023_feather.wav,1,b,naming,23,feather,782,correct,NA,Jan 25 2023 13:23:25,Agnieszka,1
612c8,612c8_session1_listb_naming_trial024_bedroom.wav,1,b,naming,24,bedroom,1262,correct,NA,Jan 25 2023 13:23:35,Agnieszka,1
612c8,612c8_session1_listb_naming_trial025_cactus.wav,1,b,naming,25,cactus,842,correct,NA,Jan 25 2023 13:23:42,Agnieszka,1
612c8,612c8_session1_listb_naming_trial026_fruit.wav,1,b,naming,26,fruit,1065,correct,NA,Jan 25 2023 13:23:51,Agnieszka,1
612c8,612c8_session1_listb_naming_trial027_beard.wav,1,b,naming,27,beard,944,correct,NA,Jan 25 2023 13:23:58,Agnieszka,1
612c8,612c8_session1_listb_naming_trial028_coffee.wav,1,b,naming,28,coffee,985,correct,NA,Jan 25 2023 13:24:05,Agnieszka,1
612c8,612c8_session1_listb_naming_trial029_cowboy.wav,1,b,naming,29,cowboy,1243,correct,NA,Jan 25 2023 13:24:12,Agnieszka,1
612c8,612c8_session1_listb_naming_trial030_cage.wav,1,b,naming,30,cage,1084,correct,NA,Jan 25 2023 13:24:20,Agnieszka,1
612c8,612c8_session1_listb_naming_trial031_telephone.wav,1,b,naming,31,telephone,785,correct,NA,Jan 25 2023 13:24:29,Agnieszka,1
612c8,612c8_session1_listb_naming_trial032_gun.wav,1,b,naming,32,gun,874,correct,NA,Jan 25 2023 13:24:39,Agnieszka,1
612c8,612c8_session1_listb_naming_trial033_lion.wav,1,b,naming,33,lion,797,correct,NA,Jan 25 2023 13:24:47,Agnieszka,1
612c8,612c8_session1_listb_naming_trial034_glass.wav,1,b,naming,34,glass,909,correct,NA,Jan 25 2023 13:24:56,Agnieszka,1
612c8,612c8_session1_listb_naming_trial035_bat.wav,1,b,naming,35,bat,874,correct,NA,Jan 25 2023 13:25:04,Agnieszka,1
612c8,612c8_session1_listb_naming_trial036_chain.wav,1,b,naming,36,chain,868,correct,NA,Jan 25 2023 13:25:13,Agnieszka,1
