Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
613dd,613dd_session1_listb_naming_trial001_brain.wav,1,b,naming,1,brain,1600,correct,NA,Jan 26 2023 12:03:08,Agnieszka,1
613dd,613dd_session1_listb_naming_trial002_stapler.wav,1,b,naming,2,stapler,1336,correct,NA,Jan 26 2023 12:03:19,Agnieszka,1
613dd,613dd_session1_listb_naming_trial003_baby.wav,1,b,naming,3,baby,1454,correct,NA,Jan 26 2023 12:03:27,Agnieszka,1
613dd,613dd_session1_listb_naming_trial004_microphone.wav,1,b,naming,4,microphone,954,correct,NA,Jan 26 2023 12:03:37,Agnieszka,1
613dd,613dd_session1_listb_naming_trial005_vein.wav,1,b,naming,5,vein,-1,wrong_word,NA,Jan 26 2023 12:03:43,Agnieszka,1
613dd,613dd_session1_listb_naming_trial006_harp.wav,1,b,naming,6,harp,1090,correct,NA,Jan 26 2023 12:03:53,Agnieszka,1
613dd,613dd_session1_listb_naming_trial007_handle.wav,1,b,naming,7,handle,1498,correct,NA,Jan 26 2023 12:04:05,Agnieszka,1
613dd,613dd_session1_listb_naming_trial008_nose.wav,1,b,naming,8,nose,1352,correct,NA,Jan 26 2023 12:04:16,Agnieszka,1
613dd,613dd_session1_listb_naming_trial009_belt.wav,1,b,naming,9,belt,1364,correct,NA,Jan 26 2023 12:04:23,Agnieszka,1
613dd,613dd_session1_listb_naming_trial010_desert.wav,1,b,naming,10,desert,1434,correct,NA,Jan 26 2023 12:04:39,Agnieszka,1
613dd,613dd_session1_listb_naming_trial011_iron.wav,1,b,naming,11,iron,1549,correct,NA,Jan 26 2023 12:04:45,Agnieszka,1
613dd,613dd_session1_listb_naming_trial012_cannon.wav,1,b,naming,12,cannon,1657,correct,NA,Jan 26 2023 12:04:52,Agnieszka,1
613dd,613dd_session1_listb_naming_trial013_telephone.wav,1,b,naming,13,telephone,1492,correct,NA,Jan 26 2023 12:04:58,Agnieszka,1
613dd,613dd_session1_listb_naming_trial014_bra.wav,1,b,naming,14,bra,1339,correct,NA,Jan 26 2023 12:05:06,Agnieszka,1
613dd,613dd_session1_listb_naming_trial015_snail.wav,1,b,naming,15,snail,1237,correct,NA,Jan 26 2023 12:05:13,Agnieszka,1
613dd,613dd_session1_listb_naming_trial016_printer.wav,1,b,naming,16,printer,1530,correct,NA,Jan 26 2023 12:05:19,Agnieszka,1
613dd,613dd_session1_listb_naming_trial017_cigarette.wav,1,b,naming,17,cigarette,2157,correct,NA,Jan 26 2023 12:05:28,Agnieszka,1
613dd,613dd_session1_listb_naming_trial018_gun.wav,1,b,naming,18,gun,1422,correct,NA,Jan 26 2023 12:05:35,Agnieszka,1
613dd,613dd_session1_listb_naming_trial019_feather.wav,1,b,naming,19,feather,1199,correct,NA,Jan 26 2023 12:05:41,Agnieszka,1
613dd,613dd_session1_listb_naming_trial020_broom.wav,1,b,naming,20,broom,1215,correct,NA,Jan 26 2023 12:05:49,Agnieszka,1
613dd,613dd_session1_listb_naming_trial021_greenhouse.wav,1,b,naming,21,greenhouse,1441,correct,NA,Jan 26 2023 12:05:57,Agnieszka,1
613dd,613dd_session1_listb_naming_trial022_roof.wav,1,b,naming,22,roof,1406,correct,NA,Jan 26 2023 12:06:05,Agnieszka,1
613dd,613dd_session1_listb_naming_trial023_skeleton.wav,1,b,naming,23,skeleton,1202,correct,NA,Jan 26 2023 12:06:13,Agnieszka,1
613dd,613dd_session1_listb_naming_trial024_mirror.wav,1,b,naming,24,mirror,1227,correct,NA,Jan 26 2023 12:06:20,Agnieszka,1
613dd,613dd_session1_listb_naming_trial025_earring.wav,1,b,naming,25,earring,1501,correct,NA,Jan 26 2023 12:06:27,Agnieszka,1
613dd,613dd_session1_listb_naming_trial026_scorpion.wav,1,b,naming,26,scorpion,1116,correct,NA,Jan 26 2023 12:06:34,Agnieszka,1
613dd,613dd_session1_listb_naming_trial027_sheep.wav,1,b,naming,27,sheep,1036,correct,NA,Jan 26 2023 12:06:40,Agnieszka,1
613dd,613dd_session1_listb_naming_trial028_penguin.wav,1,b,naming,28,penguin,1390,correct,NA,Jan 26 2023 12:06:49,Agnieszka,1
613dd,613dd_session1_listb_naming_trial029_pool.wav,1,b,naming,29,pool,1116,correct,NA,Jan 26 2023 12:06:57,Agnieszka,1
613dd,613dd_session1_listb_naming_trial030_watch.wav,1,b,naming,30,watch,1106,correct,NA,Jan 26 2023 12:07:05,Agnieszka,1
613dd,613dd_session1_listb_naming_trial031_cage.wav,1,b,naming,31,cage,1651,correct,NA,Jan 26 2023 12:07:12,Agnieszka,1
