Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
6151c,6151c_session1_listb_naming_trial001_bin.wav,1,b,naming,1,bin,1103,correct,NA,Jan 31 2023 12:31:29,Agnieszka,1
6151c,6151c_session1_listb_naming_trial002_roof.wav,1,b,naming,2,roof,839,correct,NA,Jan 31 2023 12:31:33,Agnieszka,1
6151c,6151c_session1_listb_naming_trial003_back.wav,1,b,naming,3,back,680,correct,NA,Jan 31 2023 12:31:35,Agnieszka,1
6151c,6151c_session1_listb_naming_trial004_shirt.wav,1,b,naming,4,shirt,1084,correct,NA,Jan 31 2023 12:31:47,Agnieszka,1
6151c,6151c_session1_listb_naming_trial005_ring.wav,1,b,naming,5,ring,788,correct,NA,Jan 31 2023 12:31:55,Agnieszka,1
6151c,6151c_session1_listb_naming_trial006_television.wav,1,b,naming,6,television,-1,wrong_word,NA,Jan 31 2023 12:32:05,Agnieszka,1
6151c,6151c_session1_listb_naming_trial007_shark.wav,1,b,naming,7,shark,657,correct,NA,Jan 31 2023 12:32:12,Agnieszka,1
6151c,6151c_session1_listb_naming_trial008_airport.wav,1,b,naming,8,airport,1078,correct,NA,Jan 31 2023 12:32:19,Agnieszka,1
6151c,6151c_session1_listb_naming_trial009_scorpion.wav,1,b,naming,9,scorpion,836,correct,NA,Jan 31 2023 12:32:26,Agnieszka,1
6151c,6151c_session1_listb_naming_trial010_chain.wav,1,b,naming,10,chain,705,correct,NA,Jan 31 2023 12:32:40,Agnieszka,1
6151c,6151c_session1_listb_naming_trial011_chair.wav,1,b,naming,11,chair,813,correct,NA,Jan 31 2023 12:32:49,Agnieszka,1
6151c,6151c_session1_listb_naming_trial012_dog.wav,1,b,naming,12,dog,813,correct,NA,Jan 31 2023 12:33:05,Agnieszka,1
6151c,6151c_session1_listb_naming_trial013_bed.wav,1,b,naming,13,bed,657,correct,NA,Jan 31 2023 12:33:13,Agnieszka,1
6151c,6151c_session1_listb_naming_trial014_lion.wav,1,b,naming,14,lion,696,correct,NA,Jan 31 2023 12:33:21,Agnieszka,1
6151c,6151c_session1_listb_naming_trial015_volcano.wav,1,b,naming,15,volcano,702,correct,NA,Jan 31 2023 12:33:39,Agnieszka,1
6151c,6151c_session1_listb_naming_trial016_sheep.wav,1,b,naming,16,sheep,657,correct,NA,Jan 31 2023 12:33:48,Agnieszka,1
6151c,6151c_session1_listb_naming_trial017_bible.wav,1,b,naming,17,bible,839,correct,NA,Jan 31 2023 12:33:55,Agnieszka,1
6151c,6151c_session1_listb_naming_trial018_greenhouse.wav,1,b,naming,18,greenhouse,1352,correct,NA,Jan 31 2023 12:34:08,Agnieszka,1
6151c,6151c_session1_listb_naming_trial019_wallet.wav,1,b,naming,19,wallet,817,correct,NA,Jan 31 2023 12:34:18,Agnieszka,1
6151c,6151c_session1_listb_naming_trial020_butcher.wav,1,b,naming,20,butcher,791,correct,NA,Jan 31 2023 12:34:35,Agnieszka,1
6151c,6151c_session1_listb_naming_trial021_thermometer.wav,1,b,naming,21,thermometer,-1,wrong_word,NA,Jan 31 2023 12:34:44,Agnieszka,1
6151c,6151c_session1_listb_naming_trial022_lemon.wav,1,b,naming,22,lemon,909,correct,NA,Jan 31 2023 12:34:57,Agnieszka,1
6151c,6151c_session1_listb_naming_trial023_microphone.wav,1,b,naming,23,microphone,762,correct,NA,Jan 31 2023 12:35:05,Agnieszka,1
6151c,6151c_session1_listb_naming_trial024_cowboy.wav,1,b,naming,24,cowboy,813,correct,NA,Jan 31 2023 12:35:14,Agnieszka,1
6151c,6151c_session1_listb_naming_trial025_sink.wav,1,b,naming,25,sink,848,correct,NA,Jan 31 2023 12:35:21,Agnieszka,1
6151c,6151c_session1_listb_naming_trial026_diamond.wav,1,b,naming,26,diamond,676,correct,NA,Jan 31 2023 12:35:34,Agnieszka,1
6151c,6151c_session1_listb_naming_trial027_pool.wav,1,b,naming,27,pool,-1,wrong_word,NA,Jan 31 2023 12:35:41,Agnieszka,1
6151c,6151c_session1_listb_naming_trial028_parachute.wav,1,b,naming,28,parachute,1887,correct,NA,Jan 31 2023 12:35:50,Agnieszka,1
6151c,6151c_session1_listb_naming_trial029_leaf.wav,1,b,naming,29,leaf,922,correct,NA,Jan 31 2023 12:36:07,Agnieszka,1
6151c,6151c_session1_listb_naming_trial030_lab.wav,1,b,naming,30,lab,-1,wrong_word,NA,Jan 31 2023 12:36:17,Agnieszka,1
6151c,6151c_session1_listb_naming_trial031_finger.wav,1,b,naming,31,finger,1065,correct,NA,Jan 31 2023 12:36:30,Agnieszka,1
6151c,6151c_session1_listb_naming_trial032_eye.wav,1,b,naming,32,eye,737,correct,NA,Jan 31 2023 12:36:43,Agnieszka,1
6151c,6151c_session1_listb_naming_trial033_earring.wav,1,b,naming,33,earring,934,correct,NA,Jan 31 2023 12:36:50,Agnieszka,1
6151c,6151c_session1_listb_naming_trial034_nose.wav,1,b,naming,34,nose,737,correct,NA,Jan 31 2023 12:36:58,Agnieszka,1
6151c,6151c_session1_listb_naming_trial035_baby.wav,1,b,naming,35,baby,820,correct,NA,Jan 31 2023 12:37:05,Agnieszka,1
6151c,6151c_session1_listb_naming_trial036_scarecrow.wav,1,b,naming,36,scarecrow,915,correct,NA,Jan 31 2023 12:37:13,Agnieszka,1
6151c,6151c_session1_listb_naming_trial037_house.wav,1,b,naming,37,house,702,correct,NA,Jan 31 2023 12:37:21,Agnieszka,1
6151c,6151c_session1_listb_naming_trial038_pumpkin.wav,1,b,naming,38,pumpkin,874,correct,NA,Jan 31 2023 12:37:31,Agnieszka,1
6151c,6151c_session1_listb_naming_trial039_foot.wav,1,b,naming,39,foot,743,correct,NA,Jan 31 2023 12:37:39,Agnieszka,1
6151c,6151c_session1_listb_naming_trial040_broom.wav,1,b,naming,40,broom,1122,correct,NA,Jan 31 2023 12:37:47,Agnieszka,1
6151c,6151c_session1_listb_naming_trial041_honey.wav,1,b,naming,41,honey,896,correct,NA,Jan 31 2023 12:38:19,Agnieszka,1
