Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
62c5e,62c5e_session1_listb_naming_trial001_scorpion.wav,1,b,naming,1,scorpion,1103,correct,NA,Feb 14 2023 10:03:57,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial002_torch.wav,1,b,naming,2,torch,699,correct,NA,Feb 14 2023 10:04:04,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial003_heart.wav,1,b,naming,3,heart,711,correct,NA,Feb 14 2023 10:04:14,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial004_car.wav,1,b,naming,4,car,868,correct,NA,Feb 14 2023 10:04:34,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial005_maze.wav,1,b,naming,5,maze,861,correct,NA,Feb 14 2023 10:04:42,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial006_microphone.wav,1,b,naming,6,microphone,1093,correct,NA,Feb 14 2023 10:05:11,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial007_leaf.wav,1,b,naming,7,leaf,782,correct,NA,Feb 14 2023 10:05:18,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial008_glasses.wav,1,b,naming,8,glasses,816,correct,NA,Feb 14 2023 10:05:39,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial009_calendar.wav,1,b,naming,9,calendar,832,correct,NA,Feb 14 2023 10:05:52,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial010_foot.wav,1,b,naming,10,foot,785,correct,NA,Feb 14 2023 10:14:20,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial011_dragon.wav,1,b,naming,11,dragon,928,correct,NA,Feb 14 2023 10:14:35,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial012_shadow.wav,1,b,naming,12,shadow,969,correct,NA,Feb 14 2023 10:15:30,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial013_gun.wav,1,b,naming,13,gun,992,correct,NA,Feb 14 2023 10:15:46,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial014_crown.wav,1,b,naming,14,crown,931,correct,NA,Feb 14 2023 10:15:59,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial015_volcano.wav,1,b,naming,15,volcano,904,correct,NA,Feb 14 2023 10:16:14,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial016_sheep.wav,1,b,naming,16,sheep,766,correct,NA,Feb 14 2023 10:16:37,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial017_chair.wav,1,b,naming,17,chair,750,correct,NA,Feb 14 2023 10:16:47,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial018_camera.wav,1,b,naming,18,camera,861,correct,NA,Feb 14 2023 10:16:58,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial019_coconut.wav,1,b,naming,19,coconut,778,correct,NA,Feb 14 2023 10:17:09,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial020_finger.wav,1,b,naming,20,finger,887,correct,NA,Feb 14 2023 10:17:25,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial021_witch.wav,1,b,naming,21,witch,896,correct,NA,Feb 14 2023 10:17:36,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial022_hedgehog.wav,1,b,naming,22,hedgehog,835,correct,NA,Feb 14 2023 10:20:27,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial023_banana.wav,1,b,naming,23,banana,750,correct,NA,Feb 14 2023 10:20:59,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial024_hair.wav,1,b,naming,24,hair,813,correct,NA,Feb 14 2023 10:21:20,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial025_farm.wav,1,b,naming,25,farm,1189,correct,NA,Feb 14 2023 10:21:33,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial026_shark.wav,1,b,naming,26,shark,836,correct,NA,Feb 14 2023 10:21:42,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial027_waiter.wav,1,b,naming,27,waiter,1113,correct,NA,Feb 14 2023 10:21:51,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial028_tooth.wav,1,b,naming,28,tooth,1125,correct,NA,Feb 14 2023 10:21:59,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial029_spider.wav,1,b,naming,29,spider,794,correct,NA,Feb 14 2023 10:22:07,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial030_face.wav,1,b,naming,30,face,899,correct,NA,Feb 14 2023 10:22:22,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial031_dinosaur.wav,1,b,naming,31,dinosaur,1128,correct,NA,Feb 14 2023 10:22:31,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial032_mask.wav,1,b,naming,32,mask,1030,correct,NA,Feb 14 2023 10:22:38,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial033_king.wav,1,b,naming,33,king,1307,correct,NA,Feb 14 2023 10:22:46,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial034_coffin.wav,1,b,naming,34,coffin,871,correct,NA,Feb 14 2023 10:22:55,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial035_glass.wav,1,b,naming,35,glass,804,correct,NA,Feb 14 2023 10:23:05,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial036_harp.wav,1,b,naming,36,harp,836,correct,NA,Feb 14 2023 10:23:19,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial037_button.wav,1,b,naming,37,button,829,correct,NA,Feb 14 2023 10:23:51,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial038_snail.wav,1,b,naming,38,snail,782,correct,NA,Feb 14 2023 10:24:02,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial039_pool.wav,1,b,naming,39,pool,-1,wrong_word,NA,Feb 14 2023 10:24:19,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial040_sock.wav,1,b,naming,40,sock,832,correct,NA,Feb 14 2023 10:24:26,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial041_wallet.wav,1,b,naming,41,wallet,896,correct,NA,Feb 14 2023 10:24:35,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial042_pumpkin.wav,1,b,naming,42,pumpkin,734,correct,NA,Feb 14 2023 10:24:43,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial043_house.wav,1,b,naming,43,house,775,correct,NA,Feb 14 2023 10:24:51,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial044_printer.wav,1,b,naming,44,printer,938,correct,NA,Feb 14 2023 10:25:00,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial045_feather.wav,1,b,naming,45,feather,762,correct,NA,Feb 14 2023 10:25:19,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial046_cowboy.wav,1,b,naming,46,cowboy,1543,correct,NA,Feb 14 2023 10:25:32,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial047_well.wav,1,b,naming,47,well,966,correct,NA,Feb 14 2023 10:25:41,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial048_scarf.wav,1,b,naming,48,scarf,851,correct,NA,Feb 14 2023 10:25:50,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial049_calculator.wav,1,b,naming,49,calculator,804,correct,NA,Feb 14 2023 10:26:04,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial050_lizard.wav,1,b,naming,50,lizard,880,correct,NA,Feb 14 2023 10:26:11,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial051_door.wav,1,b,naming,51,door,848,correct,NA,Feb 14 2023 10:26:18,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial052_pizza.wav,1,b,naming,52,pizza,992,correct,NA,Feb 14 2023 10:26:25,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial053_penguin.wav,1,b,naming,53,penguin,842,correct,NA,Feb 14 2023 10:26:33,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial054_football.wav,1,b,naming,54,football,731,correct,NA,Feb 14 2023 10:26:42,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial055_fan.wav,1,b,naming,55,fan,887,correct,NA,Feb 14 2023 10:27:21,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial056_handle.wav,1,b,naming,56,handle,1049,correct,NA,Feb 14 2023 10:27:34,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial057_cone.wav,1,b,naming,57,cone,855,correct,NA,Feb 14 2023 10:27:42,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial058_girl.wav,1,b,naming,58,girl,861,correct,NA,Feb 14 2023 10:27:49,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial059_ankle.wav,1,b,naming,59,ankle,-1,wrong_word,NA,Feb 14 2023 10:27:55,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial060_cloud.wav,1,b,naming,60,cloud,1361,correct,NA,Feb 14 2023 10:28:03,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial061_cactus.wav,1,b,naming,61,cactus,966,correct,NA,Feb 14 2023 10:28:15,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial062_knee.wav,1,b,naming,62,knee,954,correct,NA,Feb 14 2023 10:28:24,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial063_caravan.wav,1,b,naming,63,caravan,890,correct,NA,Feb 14 2023 10:28:38,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial064_duck.wav,1,b,naming,64,duck,903,correct,NA,Feb 14 2023 10:28:45,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial065_eye.wav,1,b,naming,65,eye,1052,correct,NA,Feb 14 2023 10:28:56,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial066_umbrella.wav,1,b,naming,66,umbrella,966,correct,NA,Feb 14 2023 10:29:03,Agnieszka,1
62c5e,62c5e_session1_listb_naming_trial067_coffee.wav,1,b,naming,67,coffee,995,correct,NA,Feb 14 2023 10:29:18,Agnieszka,1
