Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
62fb7,62fb7_session1_listb_naming_trial001_girl.wav,1,b,naming,1,girl,929,correct,NA,Jan 24 2023 12:47:00,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial002_tank.wav,1,b,naming,2,tank,806,correct,NA,Jan 24 2023 12:47:34,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial003_door.wav,1,b,naming,3,door,753,correct,NA,Jan 24 2023 12:47:44,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial004_coconut.wav,1,b,naming,4,coconut,828,correct,NA,Jan 24 2023 12:47:53,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial005_bra.wav,1,b,naming,5,bra,926,correct,NA,Jan 24 2023 12:48:16,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial006_asparagus.wav,1,b,naming,6,asparagus,964,correct,NA,Jan 24 2023 12:48:25,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial007_burger.wav,1,b,naming,7,burger,857,correct,NA,Jan 24 2023 12:48:33,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial008_nurse.wav,1,b,naming,8,nurse,1046,correct,NA,Jan 24 2023 12:48:40,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial009_well.wav,1,b,naming,9,well,844,correct,NA,Jan 24 2023 12:48:49,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial010_road.wav,1,b,naming,10,road,1072,correct,NA,Jan 24 2023 12:48:58,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial011_beard.wav,1,b,naming,11,beard,879,correct,NA,Jan 24 2023 12:49:06,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial012_spider.wav,1,b,naming,12,spider,835,correct,NA,Jan 24 2023 12:49:17,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial013_coffee.wav,1,b,naming,13,coffee,1196,correct,NA,Jan 24 2023 12:49:26,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial014_camera.wav,1,b,naming,14,camera,892,correct,NA,Jan 24 2023 12:49:38,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial015_snail.wav,1,b,naming,15,snail,929,correct,NA,Jan 24 2023 12:50:00,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial016_bedroom.wav,1,b,naming,16,bedroom,1060,correct,NA,Jan 24 2023 12:50:08,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial017_sink.wav,1,b,naming,17,sink,854,correct,NA,Jan 24 2023 12:52:01,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial018_choir.wav,1,b,naming,18,choir,888,correct,NA,Jan 24 2023 12:52:10,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial019_balloon.wav,1,b,naming,19,balloon,851,correct,NA,Jan 24 2023 12:52:23,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial020_boomerang.wav,1,b,naming,20,boomerang,1198,correct,NA,Jan 24 2023 12:52:38,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial021_pirate.wav,1,b,naming,21,pirate,898,correct,NA,Jan 24 2023 12:52:45,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial022_fan.wav,1,b,naming,22,fan,923,correct,NA,Jan 24 2023 12:52:56,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial023_cannon.wav,1,b,naming,23,cannon,841,correct,NA,Jan 24 2023 12:53:04,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial024_dog.wav,1,b,naming,24,dog,748,correct,NA,Jan 24 2023 12:53:13,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial025_cone.wav,1,b,naming,25,cone,819,correct,NA,Jan 24 2023 12:53:21,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial026_watch.wav,1,b,naming,26,watch,797,correct,NA,Jan 24 2023 12:53:31,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial027_hedgehog.wav,1,b,naming,27,hedgehog,850,correct,NA,Jan 24 2023 12:54:00,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial028_screwdriver.wav,1,b,naming,28,screwdriver,791,correct,NA,Jan 24 2023 12:54:08,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial029_bed.wav,1,b,naming,29,bed,952,correct,NA,Jan 24 2023 12:54:16,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial030_guitar.wav,1,b,naming,30,guitar,794,correct,NA,Jan 24 2023 12:54:23,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial031_thermometer.wav,1,b,naming,31,thermometer,1233,correct,NA,Jan 24 2023 12:54:34,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial032_elephant.wav,1,b,naming,32,elephant,854,correct,NA,Jan 24 2023 12:54:42,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial033_cloud.wav,1,b,naming,33,cloud,-1,wrong_word,NA,Jan 24 2023 12:54:50,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial034_eye.wav,1,b,naming,34,eye,898,correct,NA,Jan 24 2023 12:54:58,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial035_gun.wav,1,b,naming,35,gun,878,correct,NA,Jan 24 2023 12:55:07,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial036_pumpkin.wav,1,b,naming,36,pumpkin,851,correct,NA,Jan 24 2023 12:55:15,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial037_foot.wav,1,b,naming,37,foot,791,correct,NA,Jan 24 2023 12:55:26,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial038_ankle.wav,1,b,naming,38,ankle,1021,correct,NA,Jan 24 2023 12:55:34,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial039_football.wav,1,b,naming,39,football,894,correct,NA,Jan 24 2023 12:55:46,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial040_house.wav,1,b,naming,40,house,819,correct,NA,Jan 24 2023 12:55:57,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial041_broom.wav,1,b,naming,41,broom,869,correct,NA,Jan 24 2023 12:56:04,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial042_swimming.wav,1,b,naming,42,swimming,838,correct,NA,Jan 24 2023 12:56:11,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial043_cowboy.wav,1,b,naming,43,cowboy,1387,correct,NA,Jan 24 2023 12:56:24,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial044_condom.wav,1,b,naming,44,condom,-1,no_resp,NA,Jan 24 2023 12:56:33,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial045_television.wav,1,b,naming,45,television,891,correct,NA,Jan 24 2023 12:56:42,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial046_sheep.wav,1,b,naming,46,sheep,778,correct,NA,Jan 24 2023 12:56:50,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial047_roof.wav,1,b,naming,47,roof,1040,correct,NA,Jan 24 2023 12:56:59,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial048_sock.wav,1,b,naming,48,sock,776,correct,NA,Jan 24 2023 12:57:14,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial049_scarecrow.wav,1,b,naming,49,scarecrow,967,correct,NA,Jan 24 2023 12:57:21,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial050_crown.wav,1,b,naming,50,crown,1034,correct,NA,Jan 24 2023 12:57:29,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial051_man.wav,1,b,naming,51,man,942,correct,NA,Jan 24 2023 12:57:37,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial052_shadow.wav,1,b,naming,52,shadow,1173,correct,NA,Jan 24 2023 12:57:51,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial053_banana.wav,1,b,naming,53,banana,751,correct,NA,Jan 24 2023 12:58:00,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial054_harp.wav,1,b,naming,54,harp,955,correct,NA,Jan 24 2023 12:58:13,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial055_car.wav,1,b,naming,55,car,1166,correct,NA,Jan 24 2023 12:58:20,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial056_diamond.wav,1,b,naming,56,diamond,810,correct,NA,Jan 24 2023 12:58:27,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial057_ambulance.wav,1,b,naming,57,ambulance,1037,correct,NA,Jan 24 2023 12:58:41,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial058_pilot.wav,1,b,naming,58,pilot,1047,correct,NA,Jan 24 2023 12:58:48,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial059_skateboard.wav,1,b,naming,59,skateboard,863,correct,NA,Jan 24 2023 12:58:55,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial060_stapler.wav,1,b,naming,60,stapler,822,correct,NA,Jan 24 2023 12:59:03,Agnieszka,1
62fb7,62fb7_session1_listb_naming_trial061_lab.wav,1,b,naming,61,lab,1365,correct,NA,Jan 24 2023 12:59:11,Agnieszka,1
