Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
59997,59997_session2_lista_naming_trial001_crab.wav,2,a,naming,1,crab,979,correct,NA,Feb  1 2023 10:43:37,Agnieszka,1
59997,59997_session2_lista_naming_trial002_goat.wav,2,a,naming,2,goat,1020,correct,NA,Feb  1 2023 10:43:49,Agnieszka,1
59997,59997_session2_lista_naming_trial003_kitchen.wav,2,a,naming,3,kitchen,922,correct,NA,Feb  1 2023 10:44:01,Agnieszka,1
59997,59997_session2_lista_naming_trial004_saw.wav,2,a,naming,4,saw,1157,correct,NA,Feb  1 2023 10:44:10,Agnieszka,1
59997,59997_session2_lista_naming_trial005_judge.wav,2,a,naming,5,judge,1297,correct,NA,Feb  1 2023 10:44:20,Agnieszka,1
59997,59997_session2_lista_naming_trial006_bib.wav,2,a,naming,6,bib,1928,correct,NA,Feb  1 2023 10:44:37,Agnieszka,1
59997,59997_session2_lista_naming_trial007_bracelet.wav,2,a,naming,7,bracelet,1578,correct,NA,Feb  1 2023 10:45:11,Agnieszka,1
59997,59997_session2_lista_naming_trial008_bottle.wav,2,a,naming,8,bottle,1151,correct,NA,Feb  1 2023 10:45:18,Agnieszka,1
59997,59997_session2_lista_naming_trial009_thumb.wav,2,a,naming,9,thumb,817,correct,NA,Feb  1 2023 10:45:32,Agnieszka,1
59997,59997_session2_lista_naming_trial010_mouth.wav,2,a,naming,10,mouth,918,correct,NA,Feb  1 2023 10:45:40,Agnieszka,1
59997,59997_session2_lista_naming_trial011_carrot.wav,2,a,naming,11,carrot,791,correct,NA,Feb  1 2023 10:45:50,Agnieszka,1
59997,59997_session2_lista_naming_trial012_fence.wav,2,a,naming,12,fence,893,correct,NA,Feb  1 2023 10:46:24,Agnieszka,1
59997,59997_session2_lista_naming_trial013_heel.wav,2,a,naming,13,heel,-1,no_resp,NA,Feb  1 2023 10:46:33,Agnieszka,1
59997,59997_session2_lista_naming_trial014_zebra.wav,2,a,naming,14,zebra,1476,correct,NA,Feb  1 2023 10:46:43,Agnieszka,1
59997,59997_session2_lista_naming_trial015_suit.wav,2,a,naming,15,suit,877,correct,NA,Feb  1 2023 10:46:52,Agnieszka,1
59997,59997_session2_lista_naming_trial016_mountain.wav,2,a,naming,16,mountain,1167,correct,NA,Feb  1 2023 10:47:04,Agnieszka,1
59997,59997_session2_lista_naming_trial017_knife.wav,2,a,naming,17,knife,880,correct,NA,Feb  1 2023 10:47:11,Agnieszka,1
59997,59997_session2_lista_naming_trial018_bear.wav,2,a,naming,18,bear,954,correct,NA,Feb  1 2023 10:47:19,Agnieszka,1
59997,59997_session2_lista_naming_trial019_wheelbarrow.wav,2,a,naming,19,wheelbarrow,982,correct,NA,Feb  1 2023 10:47:25,Agnieszka,1
59997,59997_session2_lista_naming_trial020_butterfly.wav,2,a,naming,20,butterfly,823,correct,NA,Feb  1 2023 10:47:34,Agnieszka,1
59997,59997_session2_lista_naming_trial021_comb.wav,2,a,naming,21,comb,1087,correct,NA,Feb  1 2023 10:47:42,Agnieszka,1
59997,59997_session2_lista_naming_trial022_rhino.wav,2,a,naming,22,rhino,1514,correct,NA,Feb  1 2023 10:47:49,Agnieszka,1
59997,59997_session2_lista_naming_trial023_swan.wav,2,a,naming,23,swan,1517,correct,NA,Feb  1 2023 10:48:01,Agnieszka,1
59997,59997_session2_lista_naming_trial024_limo.wav,2,a,naming,24,limo,918,correct,NA,Feb  1 2023 10:48:13,Agnieszka,1
59997,59997_session2_lista_naming_trial025_onion.wav,2,a,naming,25,onion,1979,correct,NA,Feb  1 2023 10:48:23,Agnieszka,1
59997,59997_session2_lista_naming_trial026_tambourine.wav,2,a,naming,26,tambourine,-1,wrong_word,NA,Feb  1 2023 10:48:54,Agnieszka,1
59997,59997_session2_lista_naming_trial027_pepper.wav,2,a,naming,27,pepper,782,correct,NA,Feb  1 2023 10:49:01,Agnieszka,1
59997,59997_session2_lista_naming_trial028_peg.wav,2,a,naming,28,peg,1731,correct,NA,Feb  1 2023 10:49:09,Agnieszka,1
