Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5cbcc,5cbcc_session2_lista_naming_trial001_compass.wav,2,a,naming,1,compass,1374,correct,NA,Feb 21 2023 15:47:00,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial002_owl.wav,2,a,naming,2,owl,1053,correct,NA,Feb 21 2023 15:47:09,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial003_drum.wav,2,a,naming,3,drum,842,correct,NA,Feb 21 2023 15:47:21,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial004_glove.wav,2,a,naming,4,glove,845,correct,NA,Feb 21 2023 15:47:28,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial005_sweet.wav,2,a,naming,5,sweet,947,correct,NA,Feb 21 2023 15:47:39,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial006_tomato.wav,2,a,naming,6,tomato,750,correct,NA,Feb 21 2023 15:47:47,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial007_pocket.wav,2,a,naming,7,pocket,1571,correct,NA,Feb 21 2023 15:47:53,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial008_pineapple.wav,2,a,naming,8,pineapple,807,correct,NA,Feb 21 2023 15:48:03,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial009_bottle.wav,2,a,naming,9,bottle,1702,correct,NA,Feb 21 2023 15:48:10,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial010_train.wav,2,a,naming,10,train,1100,correct,NA,Feb 21 2023 15:48:21,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial011_comb.wav,2,a,naming,11,comb,1253,correct,NA,Feb 21 2023 15:48:28,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial012_kangaroo.wav,2,a,naming,12,kangaroo,904,correct,NA,Feb 21 2023 15:48:35,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial013_pencil.wav,2,a,naming,13,pencil,858,correct,NA,Feb 21 2023 15:48:44,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial014_kitchen.wav,2,a,naming,14,kitchen,1078,correct,NA,Feb 21 2023 15:49:00,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial015_ear.wav,2,a,naming,15,ear,982,correct,NA,Feb 21 2023 15:49:08,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial016_tiger.wav,2,a,naming,16,tiger,855,correct,NA,Feb 21 2023 15:49:17,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial017_swan.wav,2,a,naming,17,swan,743,correct,NA,Feb 21 2023 15:49:30,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial018_wall.wav,2,a,naming,18,wall,1218,correct,NA,Feb 21 2023 15:49:38,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial019_caterpillar.wav,2,a,naming,19,caterpillar,1256,correct,NA,Feb 21 2023 15:49:46,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial020_submarine.wav,2,a,naming,20,submarine,1708,correct,NA,Feb 21 2023 15:49:53,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial021_zip.wav,2,a,naming,21,zip,944,correct,NA,Feb 21 2023 15:50:01,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial022_teacher.wav,2,a,naming,22,teacher,954,correct,NA,Feb 21 2023 15:50:08,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial023_bus.wav,2,a,naming,23,bus,954,correct,NA,Feb 21 2023 15:50:18,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial024_potato.wav,2,a,naming,24,potato,813,correct,NA,Feb 21 2023 15:50:27,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial025_apple.wav,2,a,naming,25,apple,1189,correct,NA,Feb 21 2023 15:50:37,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial026_lamp.wav,2,a,naming,26,lamp,1075,correct,NA,Feb 21 2023 15:50:44,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial027_avocado.wav,2,a,naming,27,avocado,903,correct,NA,Feb 21 2023 15:50:52,Agnieszka,1
5cbcc,5cbcc_session2_lista_naming_trial028_castle.wav,2,a,naming,28,castle,1052,correct,NA,Feb 21 2023 15:51:01,Agnieszka,1
