Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5d68c,5d68c_session2_lista_naming_trial001_butterfly.wav,2,a,naming,1,butterfly,781,correct,NA,Feb 13 2023 14:51:00,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial002_nest.wav,2,a,naming,2,nest,995,correct,NA,Feb 13 2023 14:51:08,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial003_tiger.wav,2,a,naming,3,tiger,788,correct,NA,Feb 13 2023 14:51:27,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial004_onion.wav,2,a,naming,4,onion,1087,correct,NA,Feb 13 2023 14:51:39,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial005_magnet.wav,2,a,naming,5,magnet,759,correct,NA,Feb 13 2023 14:51:49,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial006_bone.wav,2,a,naming,6,bone,756,correct,NA,Feb 13 2023 14:51:57,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial007_curtain.wav,2,a,naming,7,curtain,797,correct,NA,Feb 13 2023 14:52:05,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial008_shower.wav,2,a,naming,8,shower,820,correct,NA,Feb 13 2023 14:52:19,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial009_goat.wav,2,a,naming,9,goat,845,correct,NA,Feb 13 2023 14:52:28,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial010_glove.wav,2,a,naming,10,glove,-1,wrong_word,NA,Feb 13 2023 14:52:36,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial011_castle.wav,2,a,naming,11,castle,874,correct,NA,Feb 13 2023 14:56:21,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial012_clown.wav,2,a,naming,12,clown,938,correct,NA,Feb 13 2023 14:56:28,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial013_puppet.wav,2,a,naming,13,puppet,817,correct,NA,Feb 13 2023 14:56:35,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial014_train.wav,2,a,naming,14,train,874,correct,NA,Feb 13 2023 14:56:45,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial015_ear.wav,2,a,naming,15,ear,894,correct,NA,Feb 13 2023 14:57:00,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial016_thumb.wav,2,a,naming,16,thumb,724,correct,NA,Feb 13 2023 14:57:09,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial017_butter.wav,2,a,naming,17,butter,861,correct,NA,Feb 13 2023 14:57:19,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial018_scissors.wav,2,a,naming,18,scissors,1259,correct,NA,Feb 13 2023 14:57:28,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial019_cork.wav,2,a,naming,19,cork,1046,correct,NA,Feb 13 2023 14:57:38,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial020_limo.wav,2,a,naming,20,limo,852,correct,NA,Feb 13 2023 14:57:48,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial021_tractor.wav,2,a,naming,21,tractor,743,correct,NA,Feb 13 2023 14:57:57,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial022_apple.wav,2,a,naming,22,apple,883,correct,NA,Feb 13 2023 14:58:06,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial023_carrot.wav,2,a,naming,23,carrot,791,correct,NA,Feb 13 2023 14:58:16,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial024_flipper.wav,2,a,naming,24,flipper,976,correct,NA,Feb 13 2023 14:58:30,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial025_rabbit.wav,2,a,naming,25,rabbit,801,correct,NA,Feb 13 2023 14:58:39,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial026_whale.wav,2,a,naming,26,whale,922,correct,NA,Feb 13 2023 14:58:47,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial027_bottle.wav,2,a,naming,27,bottle,957,correct,NA,Feb 13 2023 14:58:53,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial028_fairy.wav,2,a,naming,28,fairy,868,uncertain,not sure if there is a disfluency or not,Feb 13 2023 14:59:57,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial029_pipe.wav,2,a,naming,29,pipe,1285,correct,NA,Feb 13 2023 15:00:12,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial030_dummy.wav,2,a,naming,30,dummy,1186,correct,NA,Feb 13 2023 15:00:21,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial031_lighthouse.wav,2,a,naming,31,lighthouse,1196,correct,NA,Feb 13 2023 15:00:31,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial032_bib.wav,2,a,naming,32,bib,938,correct,NA,Feb 13 2023 15:00:57,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial033_saw.wav,2,a,naming,33,saw,751,correct,NA,Feb 13 2023 15:01:09,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial034_coat.wav,2,a,naming,34,coat,880,correct,NA,Feb 13 2023 15:01:18,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial035_fireplace.wav,2,a,naming,35,fireplace,1116,correct,NA,Feb 13 2023 15:01:36,Agnieszka,1
5d68c,5d68c_session2_lista_naming_trial036_jellyfish.wav,2,a,naming,36,jellyfish,903,correct,NA,Feb 13 2023 15:02:08,Agnieszka,1
