Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5dcfa,5dcfa_session2_lista_naming_trial001_wall.wav,2,a,naming,1,wall,963,correct,NA,Jan  3 2023 12:14:55,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial002_dice.wav,2,a,naming,2,dice,829,correct,NA,Jan  3 2023 12:15:03,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial003_sun.wav,2,a,naming,3,sun,686,correct,NA,Jan  3 2023 12:15:11,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial004_saw.wav,2,a,naming,4,saw,734,correct,NA,Jan  3 2023 12:15:19,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial005_jellyfish.wav,2,a,naming,5,jellyfish,737,correct,NA,Jan  3 2023 12:15:36,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial006_fence.wav,2,a,naming,6,fence,877,correct,NA,Jan  3 2023 12:15:45,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial007_ghost.wav,2,a,naming,7,ghost,848,correct,NA,Jan  3 2023 12:15:52,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial008_basket.wav,2,a,naming,8,basket,949,correct,NA,Jan  3 2023 12:16:19,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial009_mountain.wav,2,a,naming,9,mountain,1234,correct,NA,Jan  3 2023 12:16:27,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial010_potato.wav,2,a,naming,10,potato,890,correct,NA,Jan  3 2023 12:16:38,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial011_orange.wav,2,a,naming,11,orange,957,correct,NA,Jan  3 2023 12:16:50,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial012_shower.wav,2,a,naming,12,shower,801,correct,NA,Jan  3 2023 12:16:58,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial013_whale.wav,2,a,naming,13,whale,877,correct,NA,Jan  3 2023 12:17:07,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial014_teacher.wav,2,a,naming,14,teacher,908,correct,NA,Jan  3 2023 12:17:31,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial015_dress.wav,2,a,naming,15,dress,1173,correct,NA,Jan  3 2023 12:17:40,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial016_map.wav,2,a,naming,16,map,1202,correct,NA,Jan  3 2023 12:17:48,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial017_arrow.wav,2,a,naming,17,arrow,976,correct,NA,Jan  3 2023 12:17:56,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial018_donkey.wav,2,a,naming,18,donkey,1094,correct,NA,Jan  3 2023 12:18:05,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial019_wing.wav,2,a,naming,19,wing,1024,correct,NA,Jan  3 2023 12:18:23,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial020_curtain.wav,2,a,naming,20,curtain,887,correct,NA,Jan  3 2023 12:18:33,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial021_caterpillar.wav,2,a,naming,21,caterpillar,877,correct,NA,Jan  3 2023 12:18:41,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial022_bracelet.wav,2,a,naming,22,bracelet,-1,wrong_word,NA,Jan  3 2023 12:18:49,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial023_computer.wav,2,a,naming,23,computer,1135,correct,NA,Jan  3 2023 12:19:05,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial024_lung.wav,2,a,naming,24,lung,883,correct,NA,Jan  3 2023 12:19:14,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial025_submarine.wav,2,a,naming,25,submarine,1317,correct,NA,Jan  3 2023 12:19:23,Agnieszka,1
5dcfa,5dcfa_session2_lista_naming_trial026_pepper.wav,2,a,naming,26,pepper,1007,correct,NA,Jan  3 2023 12:19:30,Agnieszka,1
