Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5e85f,5e85f_session2_lista_naming_trial001_caterpillar.wav,2,a,naming,1,caterpillar,794,correct,NA,Jan  5 2023 17:43:51,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial002_knife.wav,2,a,naming,2,knife,775,correct,NA,Jan  5 2023 17:43:58,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial003_peg.wav,2,a,naming,3,peg,-1,wrong_word,NA,Jan  5 2023 17:44:09,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial004_star.wav,2,a,naming,4,star,689,correct,NA,Jan  5 2023 17:44:18,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial005_pineapple.wav,2,a,naming,5,pineapple,680,correct,NA,Jan  5 2023 17:44:25,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial006_triangle.wav,2,a,naming,6,triangle,708,correct,NA,Jan  5 2023 17:44:35,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial007_hippo.wav,2,a,naming,7,hippo,925,correct,NA,Jan  5 2023 17:44:44,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial008_tambourine.wav,2,a,naming,8,tambourine,775,correct,NA,Jan  5 2023 17:44:53,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial009_castle.wav,2,a,naming,9,castle,724,correct,NA,Jan  5 2023 17:45:16,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial010_suit.wav,2,a,naming,10,suit,715,correct,NA,Jan  5 2023 17:45:23,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial011_onion.wav,2,a,naming,11,onion,807,correct,NA,Jan  5 2023 17:45:31,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial012_lighter.wav,2,a,naming,12,lighter,976,correct,NA,Jan  5 2023 17:45:41,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial013_butter.wav,2,a,naming,13,butter,998,correct,NA,Jan  5 2023 17:45:48,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial014_koala.wav,2,a,naming,14,koala,852,correct,NA,Jan  5 2023 17:45:55,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial015_arm.wav,2,a,naming,15,arm,855,correct,NA,Jan  5 2023 17:46:05,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial016_fairy.wav,2,a,naming,16,fairy,778,correct,NA,Jan  5 2023 17:46:15,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial017_beak.wav,2,a,naming,17,beak,813,correct,NA,Jan  5 2023 17:46:23,Agnieszka,1
5e85f,5e85f_session2_lista_naming_trial018_carrot.wav,2,a,naming,18,carrot,734,correct,NA,Jan  5 2023 17:46:33,Agnieszka,1
