Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5ead6,5ead6_session2_lista_naming_trial001_flag.wav,2,a,naming,1,flag,1531,correct,NA,Jan 17 2023 10:22:22,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial002_star.wav,2,a,naming,2,star,855,correct,NA,Jan 17 2023 10:22:30,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial003_bell.wav,2,a,naming,3,bell,1068,correct,NA,Jan 17 2023 10:22:40,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial004_koala.wav,2,a,naming,4,koala,985,correct,NA,Jan 17 2023 10:22:53,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial005_teacher.wav,2,a,naming,5,teacher,1323,correct,NA,Jan 17 2023 10:23:01,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial006_pipe.wav,2,a,naming,6,pipe,1126,correct,NA,Jan 17 2023 10:23:10,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial007_basket.wav,2,a,naming,7,basket,915,correct,NA,Jan 17 2023 10:23:17,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial008_apple.wav,2,a,naming,8,apple,976,correct,NA,Jan 17 2023 10:23:24,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial009_clown.wav,2,a,naming,9,clown,1085,correct,NA,Jan 17 2023 10:23:35,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial010_mermaid.wav,2,a,naming,10,mermaid,957,correct,NA,Jan 17 2023 10:23:42,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial011_fox.wav,2,a,naming,11,fox,934,correct,NA,Jan 17 2023 10:23:49,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial012_zip.wav,2,a,naming,12,zip,969,correct,NA,Jan 17 2023 10:23:59,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial013_sword.wav,2,a,naming,13,sword,992,correct,NA,Jan 17 2023 10:24:07,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial014_bench.wav,2,a,naming,14,bench,893,correct,NA,Jan 17 2023 10:24:17,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial015_donkey.wav,2,a,naming,15,donkey,909,correct,NA,Jan 17 2023 10:24:25,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial016_lighter.wav,2,a,naming,16,lighter,944,correct,NA,Jan 17 2023 10:24:33,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial017_fireplace.wav,2,a,naming,17,fireplace,938,correct,NA,Jan 17 2023 10:24:41,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial018_book.wav,2,a,naming,18,book,1033,correct,NA,Jan 17 2023 10:24:48,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial019_comb.wav,2,a,naming,19,comb,912,correct,NA,Jan 17 2023 10:24:57,Agnieszka,1
5ead6,5ead6_session2_lista_naming_trial020_thumb.wav,2,a,naming,20,thumb,1094,correct,NA,Jan 17 2023 10:25:04,Agnieszka,1
