Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5fdbb,5fdbb_session2_lista_naming_trial001_butterfly.wav,2,a,naming,1,butterfly,875,correct,NA,Jan 19 2023 11:15:14,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial002_thumb.wav,2,a,naming,2,thumb,794,correct,NA,Jan 19 2023 11:15:22,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial003_cork.wav,2,a,naming,3,cork,926,correct,NA,Jan 19 2023 11:15:30,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial004_coat.wav,2,a,naming,4,coat,837,correct,NA,Jan 19 2023 11:15:39,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial005_book.wav,2,a,naming,5,book,822,correct,NA,Jan 19 2023 11:15:47,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial006_lung.wav,2,a,naming,6,lung,1018,correct,NA,Jan 19 2023 11:15:54,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial007_kitchen.wav,2,a,naming,7,kitchen,851,correct,NA,Jan 19 2023 11:16:06,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial008_donkey.wav,2,a,naming,8,donkey,772,correct,NA,Jan 19 2023 11:16:15,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial009_fridge.wav,2,a,naming,9,fridge,1101,correct,NA,Jan 19 2023 11:16:22,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial010_tie.wav,2,a,naming,10,tie,721,correct,NA,Jan 19 2023 11:16:30,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial011_dummy.wav,2,a,naming,11,dummy,873,correct,NA,Jan 19 2023 11:17:13,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial012_bear.wav,2,a,naming,12,bear,901,correct,NA,Jan 19 2023 11:17:20,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial013_pineapple.wav,2,a,naming,13,pineapple,748,correct,NA,Jan 19 2023 11:17:27,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial014_kangaroo.wav,2,a,naming,14,kangaroo,844,correct,NA,Jan 19 2023 11:17:34,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial015_pepper.wav,2,a,naming,15,pepper,1087,correct,NA,Jan 19 2023 11:17:41,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial016_apple.wav,2,a,naming,16,apple,778,correct,NA,Jan 19 2023 11:17:56,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial017_tiger.wav,2,a,naming,17,tiger,819,correct,NA,Jan 19 2023 11:18:27,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial018_gym.wav,2,a,naming,18,gym,1078,correct,NA,Jan 19 2023 11:18:35,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial019_wave.wav,2,a,naming,19,wave,986,correct,NA,Jan 19 2023 11:18:42,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial020_tap.wav,2,a,naming,20,tap,942,correct,NA,Jan 19 2023 11:18:49,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial021_robot.wav,2,a,naming,21,robot,945,correct,NA,Jan 19 2023 11:18:59,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial022_limo.wav,2,a,naming,22,limo,1168,correct,NA,Jan 19 2023 11:19:06,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial023_puppet.wav,2,a,naming,23,puppet,1025,correct,NA,Jan 19 2023 11:19:14,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial024_net.wav,2,a,naming,24,net,894,correct,NA,Jan 19 2023 11:19:22,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial025_bullet.wav,2,a,naming,25,bullet,-1,wrong_word,NA,Jan 19 2023 11:19:29,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial026_curtain.wav,2,a,naming,26,curtain,873,correct,NA,Jan 19 2023 11:19:35,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial027_zip.wav,2,a,naming,27,zip,831,correct,NA,Jan 19 2023 11:19:46,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial028_mountain.wav,2,a,naming,28,mountain,1317,correct,NA,Jan 19 2023 11:19:55,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial029_goat.wav,2,a,naming,29,goat,1489,correct,NA,Jan 19 2023 11:20:02,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial030_comb.wav,2,a,naming,30,comb,816,correct,NA,Jan 19 2023 11:20:10,Agnieszka,1
5fdbb,5fdbb_session2_lista_naming_trial031_bib.wav,2,a,naming,31,bib,1053,correct,NA,Jan 19 2023 11:20:17,Agnieszka,1
