Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
6085a,6085a_session2_lista_naming_trial001_tap.wav,2,a,naming,1,tap,1266,correct,NA,Jan 31 2023 11:45:09,Agnieszka,1
6085a,6085a_session2_lista_naming_trial002_bus.wav,2,a,naming,2,bus,1157,correct,NA,Jan 31 2023 11:45:17,Agnieszka,1
6085a,6085a_session2_lista_naming_trial003_flipper.wav,2,a,naming,3,flipper,1826,correct,NA,Jan 31 2023 11:45:24,Agnieszka,1
6085a,6085a_session2_lista_naming_trial004_triangle.wav,2,a,naming,4,triangle,947,correct,NA,Jan 31 2023 11:45:32,Agnieszka,1
6085a,6085a_session2_lista_naming_trial005_rabbit.wav,2,a,naming,5,rabbit,893,correct,NA,Jan 31 2023 11:45:40,Agnieszka,1
6085a,6085a_session2_lista_naming_trial006_kangaroo.wav,2,a,naming,6,kangaroo,1051,correct,NA,Jan 31 2023 11:45:50,Agnieszka,1
6085a,6085a_session2_lista_naming_trial007_skirt.wav,2,a,naming,7,skirt,1431,correct,NA,Jan 31 2023 11:45:58,Agnieszka,1
6085a,6085a_session2_lista_naming_trial008_bench.wav,2,a,naming,8,bench,1431,correct,NA,Jan 31 2023 11:46:08,Agnieszka,1
6085a,6085a_session2_lista_naming_trial009_glove.wav,2,a,naming,9,glove,1116,correct,NA,Jan 31 2023 11:46:17,Agnieszka,1
6085a,6085a_session2_lista_naming_trial010_cork.wav,2,a,naming,10,cork,-1,no_resp,NA,Jan 31 2023 11:46:26,Agnieszka,1
6085a,6085a_session2_lista_naming_trial011_bike.wav,2,a,naming,11,bike,-1,wrong_word,NA,Jan 31 2023 11:46:35,Agnieszka,1
6085a,6085a_session2_lista_naming_trial012_computer.wav,2,a,naming,12,computer,1052,correct,NA,Jan 31 2023 11:46:42,Agnieszka,1
6085a,6085a_session2_lista_naming_trial013_dice.wav,2,a,naming,13,dice,938,correct,NA,Jan 31 2023 11:46:50,Agnieszka,1
6085a,6085a_session2_lista_naming_trial014_caterpillar.wav,2,a,naming,14,caterpillar,1167,correct,NA,Jan 31 2023 11:46:57,Agnieszka,1
6085a,6085a_session2_lista_naming_trial015_fireplace.wav,2,a,naming,15,fireplace,-1,wrong_word,NA,Jan 31 2023 11:47:09,Agnieszka,1
6085a,6085a_session2_lista_naming_trial016_thumb.wav,2,a,naming,16,thumb,918,correct,NA,Jan 31 2023 11:47:17,Agnieszka,1
6085a,6085a_session2_lista_naming_trial017_windmill.wav,2,a,naming,17,windmill,954,correct,NA,Jan 31 2023 11:47:33,Agnieszka,1
6085a,6085a_session2_lista_naming_trial018_kite.wav,2,a,naming,18,kite,1352,correct,NA,Jan 31 2023 11:47:40,Agnieszka,1
6085a,6085a_session2_lista_naming_trial019_wheelbarrow.wav,2,a,naming,19,wheelbarrow,1008,correct,NA,Jan 31 2023 11:47:48,Agnieszka,1
6085a,6085a_session2_lista_naming_trial020_rose.wav,2,a,naming,20,rose,1004,correct,NA,Jan 31 2023 11:47:56,Agnieszka,1
6085a,6085a_session2_lista_naming_trial021_train.wav,2,a,naming,21,train,1068,correct,NA,Jan 31 2023 11:48:04,Agnieszka,1
6085a,6085a_session2_lista_naming_trial022_fox.wav,2,a,naming,22,fox,1027,correct,NA,Jan 31 2023 11:52:23,Agnieszka,1
6085a,6085a_session2_lista_naming_trial023_butterfly.wav,2,a,naming,23,butterfly,1004,correct,NA,Jan 31 2023 11:52:31,Agnieszka,1
6085a,6085a_session2_lista_naming_trial024_cherry.wav,2,a,naming,24,cherry,928,correct,NA,Jan 31 2023 11:52:38,Agnieszka,1
6085a,6085a_session2_lista_naming_trial025_soap.wav,2,a,naming,25,soap,-1,no_resp,NA,Jan 31 2023 11:52:44,Agnieszka,1
6085a,6085a_session2_lista_naming_trial026_knife.wav,2,a,naming,26,knife,1011,correct,NA,Jan 31 2023 11:52:54,Agnieszka,1
6085a,6085a_session2_lista_naming_trial027_shower.wav,2,a,naming,27,shower,976,correct,NA,Jan 31 2023 11:53:12,Agnieszka,1
6085a,6085a_session2_lista_naming_trial028_rocket.wav,2,a,naming,28,rocket,1039,correct,NA,Jan 31 2023 11:53:27,Agnieszka,1
6085a,6085a_session2_lista_naming_trial029_curtain.wav,2,a,naming,29,curtain,1294,correct,NA,Jan 31 2023 11:53:38,Agnieszka,1
6085a,6085a_session2_lista_naming_trial030_basket.wav,2,a,naming,30,basket,943,correct,NA,Jan 31 2023 11:54:12,Agnieszka,1
6085a,6085a_session2_lista_naming_trial031_candle.wav,2,a,naming,31,candle,895,correct,NA,Jan 31 2023 11:54:32,Agnieszka,1
6085a,6085a_session2_lista_naming_trial032_doctor.wav,2,a,naming,32,doctor,1690,correct,NA,Jan 31 2023 11:54:48,Agnieszka,1
6085a,6085a_session2_lista_naming_trial033_tunnel.wav,2,a,naming,33,tunnel,1460,correct,NA,Jan 31 2023 11:54:57,Agnieszka,1
6085a,6085a_session2_lista_naming_trial034_battery.wav,2,a,naming,34,battery,1463,correct,NA,Jan 31 2023 11:55:04,Agnieszka,1
6085a,6085a_session2_lista_naming_trial035_whale.wav,2,a,naming,35,whale,1648,correct,NA,Jan 31 2023 11:55:11,Agnieszka,1
6085a,6085a_session2_lista_naming_trial036_net.wav,2,a,naming,36,net,1027,correct,NA,Jan 31 2023 11:55:19,Agnieszka,1
6085a,6085a_session2_lista_naming_trial037_crab.wav,2,a,naming,37,crab,829,correct,NA,Jan 31 2023 11:55:33,Agnieszka,1
6085a,6085a_session2_lista_naming_trial038_circle.wav,2,a,naming,38,circle,819,correct,NA,Jan 31 2023 11:55:42,Agnieszka,1
6085a,6085a_session2_lista_naming_trial039_avocado.wav,2,a,naming,39,avocado,951,correct,NA,Jan 31 2023 11:55:57,Agnieszka,1
6085a,6085a_session2_lista_naming_trial040_bull.wav,2,a,naming,40,bull,1081,correct,NA,Jan 31 2023 11:56:37,Agnieszka,1
6085a,6085a_session2_lista_naming_trial041_sun.wav,2,a,naming,41,sun,836,correct,NA,Jan 31 2023 11:56:46,Agnieszka,1
6085a,6085a_session2_lista_naming_trial042_mountain.wav,2,a,naming,42,mountain,1113,correct,NA,Jan 31 2023 11:56:53,Agnieszka,1
6085a,6085a_session2_lista_naming_trial043_bottle.wav,2,a,naming,43,bottle,880,correct,NA,Jan 31 2023 11:57:02,Agnieszka,1
6085a,6085a_session2_lista_naming_trial044_orange.wav,2,a,naming,44,orange,1016,correct,NA,Jan 31 2023 11:57:12,Agnieszka,1
6085a,6085a_session2_lista_naming_trial045_coat.wav,2,a,naming,45,coat,839,correct,NA,Jan 31 2023 11:57:20,Agnieszka,1
6085a,6085a_session2_lista_naming_trial046_bullet.wav,2,a,naming,46,bullet,-1,no_resp,NA,Jan 31 2023 11:57:28,Agnieszka,1
6085a,6085a_session2_lista_naming_trial047_snake.wav,2,a,naming,47,snake,1116,correct,NA,Jan 31 2023 11:57:36,Agnieszka,1
6085a,6085a_session2_lista_naming_trial048_castle.wav,2,a,naming,48,castle,842,correct,NA,Jan 31 2023 11:57:45,Agnieszka,1
6085a,6085a_session2_lista_naming_trial049_carrot.wav,2,a,naming,49,carrot,1036,correct,NA,Jan 31 2023 11:57:56,Agnieszka,1
6085a,6085a_session2_lista_naming_trial050_mermaid.wav,2,a,naming,50,mermaid,1075,correct,NA,Jan 31 2023 11:58:04,Agnieszka,1
6085a,6085a_session2_lista_naming_trial051_bell.wav,2,a,naming,51,bell,960,correct,NA,Jan 31 2023 11:58:18,Agnieszka,1
6085a,6085a_session2_lista_naming_trial052_jellyfish.wav,2,a,naming,52,jellyfish,-1,wrong_word,NA,Jan 31 2023 11:58:44,Agnieszka,1
6085a,6085a_session2_lista_naming_trial053_rhino.wav,2,a,naming,53,rhino,928,correct,NA,Jan 31 2023 11:58:52,Agnieszka,1
6085a,6085a_session2_lista_naming_trial054_puppet.wav,2,a,naming,54,puppet,1759,correct,NA,Jan 31 2023 11:59:07,Agnieszka,1
6085a,6085a_session2_lista_naming_trial055_lighthouse.wav,2,a,naming,55,lighthouse,1400,correct,NA,Jan 31 2023 11:59:15,Agnieszka,1
6085a,6085a_session2_lista_naming_trial056_tie.wav,2,a,naming,56,tie,1365,correct,NA,Jan 31 2023 11:59:29,Agnieszka,1
6085a,6085a_session2_lista_naming_trial057_olive.wav,2,a,naming,57,olive,-1,no_resp,NA,Jan 31 2023 11:59:39,Agnieszka,1
6085a,6085a_session2_lista_naming_trial058_ruler.wav,2,a,naming,58,ruler,1075,correct,NA,Jan 31 2023 11:59:55,Agnieszka,1
6085a,6085a_session2_lista_naming_trial059_plumber.wav,2,a,naming,59,plumber,-1,wrong_word,NA,Jan 31 2023 12:00:08,Agnieszka,1
6085a,6085a_session2_lista_naming_trial060_ear.wav,2,a,naming,60,ear,941,correct,NA,Jan 31 2023 12:00:16,Agnieszka,1
6085a,6085a_session2_lista_naming_trial061_owl.wav,2,a,naming,61,owl,1065,correct,NA,Jan 31 2023 12:00:24,Agnieszka,1
6085a,6085a_session2_lista_naming_trial062_star.wav,2,a,naming,62,star,670,correct,NA,Jan 31 2023 12:00:33,Agnieszka,1
6085a,6085a_session2_lista_naming_trial063_kitchen.wav,2,a,naming,63,kitchen,858,correct,NA,Jan 31 2023 12:00:42,Agnieszka,1
6085a,6085a_session2_lista_naming_trial064_butter.wav,2,a,naming,64,butter,-1,wrong_word,NA,Jan 31 2023 12:00:49,Agnieszka,1
6085a,6085a_session2_lista_naming_trial065_pocket.wav,2,a,naming,65,pocket,-1,no_resp,NA,Jan 31 2023 12:00:57,Agnieszka,1
6085a,6085a_session2_lista_naming_trial066_tomato.wav,2,a,naming,66,tomato,1727,uncertain,"there is a sound before 'tomato', sounds like an 'ah' maybe? not sure what it is",Jan 31 2023 12:01:47,Agnieszka,1
