Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
613dd,613dd_session2_lista_naming_trial001_train.wav,2,a,naming,1,train,2304,correct,NA,Jan 26 2023 13:05:38,Agnieszka,1
613dd,613dd_session2_lista_naming_trial002_magnet.wav,2,a,naming,2,magnet,-1,wrong_word,NA,Jan 26 2023 13:05:51,Agnieszka,1
613dd,613dd_session2_lista_naming_trial003_shoe.wav,2,a,naming,3,shoe,1352,uncertain,"it's correct but first she says "wrong one", probably about the previous word",Jan 26 2023 13:06:25,Agnieszka,1
613dd,613dd_session2_lista_naming_trial004_shield.wav,2,a,naming,4,shield,1966,correct,NA,Jan 26 2023 13:06:37,Agnieszka,1
613dd,613dd_session2_lista_naming_trial005_island.wav,2,a,naming,5,island,1566,correct,NA,Jan 26 2023 13:06:45,Agnieszka,1
613dd,613dd_session2_lista_naming_trial006_hat.wav,2,a,naming,6,hat,1266,correct,NA,Jan 26 2023 13:07:02,Agnieszka,1
613dd,613dd_session2_lista_naming_trial007_wave.wav,2,a,naming,7,wave,1275,correct,NA,Jan 26 2023 13:07:13,Agnieszka,1
613dd,613dd_session2_lista_naming_trial008_fork.wav,2,a,naming,8,fork,1094,correct,NA,Jan 26 2023 13:07:19,Agnieszka,1
613dd,613dd_session2_lista_naming_trial009_tie.wav,2,a,naming,9,tie,1562,correct,NA,Jan 26 2023 13:07:26,Agnieszka,1
613dd,613dd_session2_lista_naming_trial010_queen.wav,2,a,naming,10,queen,1438,correct,NA,Jan 26 2023 13:07:35,Agnieszka,1
613dd,613dd_session2_lista_naming_trial011_plumber.wav,2,a,naming,11,plumber,-1,wrong_word,NA,Jan 26 2023 13:07:42,Agnieszka,1
613dd,613dd_session2_lista_naming_trial012_goat.wav,2,a,naming,12,goat,1469,correct,NA,Jan 26 2023 13:07:49,Agnieszka,1
613dd,613dd_session2_lista_naming_trial013_saw.wav,2,a,naming,13,saw,1438,correct,NA,Jan 26 2023 13:08:00,Agnieszka,1
613dd,613dd_session2_lista_naming_trial014_kangaroo.wav,2,a,naming,14,kangaroo,1657,correct,NA,Jan 26 2023 13:08:14,Agnieszka,1
613dd,613dd_session2_lista_naming_trial015_owl.wav,2,a,naming,15,owl,1422,correct,NA,Jan 26 2023 13:08:21,Agnieszka,1
613dd,613dd_session2_lista_naming_trial016_tambourine.wav,2,a,naming,16,tambourine,1597,correct,NA,Jan 26 2023 13:08:30,Agnieszka,1
613dd,613dd_session2_lista_naming_trial017_arrow.wav,2,a,naming,17,arrow,1288,correct,NA,Jan 26 2023 13:08:37,Agnieszka,1
613dd,613dd_session2_lista_naming_trial018_carrot.wav,2,a,naming,18,carrot,1059,correct,NA,Jan 26 2023 13:08:44,Agnieszka,1
613dd,613dd_session2_lista_naming_trial019_bullet.wav,2,a,naming,19,bullet,1272,correct,NA,Jan 26 2023 13:08:51,Agnieszka,1
613dd,613dd_session2_lista_naming_trial020_elbow.wav,2,a,naming,20,elbow,1667,correct,NA,Jan 26 2023 13:08:58,Agnieszka,1
613dd,613dd_session2_lista_naming_trial021_puppet.wav,2,a,naming,21,puppet,1562,correct,NA,Jan 26 2023 13:09:04,Agnieszka,1
613dd,613dd_session2_lista_naming_trial022_helicopter.wav,2,a,naming,22,helicopter,1116,correct,NA,Jan 26 2023 13:09:11,Agnieszka,1
613dd,613dd_session2_lista_naming_trial023_sword.wav,2,a,naming,23,sword,1441,correct,NA,Jan 26 2023 13:09:18,Agnieszka,1
613dd,613dd_session2_lista_naming_trial024_bracelet.wav,2,a,naming,24,bracelet,1259,correct,NA,Jan 26 2023 13:09:25,Agnieszka,1
613dd,613dd_session2_lista_naming_trial025_mermaid.wav,2,a,naming,25,mermaid,1345,correct,NA,Jan 26 2023 13:09:32,Agnieszka,1
613dd,613dd_session2_lista_naming_trial026_net.wav,2,a,naming,26,net,1616,correct,NA,Jan 26 2023 13:09:38,Agnieszka,1
613dd,613dd_session2_lista_naming_trial027_bus.wav,2,a,naming,27,bus,1778,correct,NA,Jan 26 2023 13:09:44,Agnieszka,1
613dd,613dd_session2_lista_naming_trial028_battery.wav,2,a,naming,28,battery,1339,correct,NA,Jan 26 2023 13:09:50,Agnieszka,1
613dd,613dd_session2_lista_naming_trial029_limo.wav,2,a,naming,29,limo,1721,correct,NA,Jan 26 2023 13:09:59,Agnieszka,1
613dd,613dd_session2_lista_naming_trial030_pocket.wav,2,a,naming,30,pocket,1135,correct,NA,Jan 26 2023 13:10:07,Agnieszka,1
613dd,613dd_session2_lista_naming_trial031_medal.wav,2,a,naming,31,medal,1505,correct,NA,Jan 26 2023 13:10:15,Agnieszka,1
613dd,613dd_session2_lista_naming_trial032_tree.wav,2,a,naming,32,tree,1348,correct,NA,Jan 26 2023 13:10:24,Agnieszka,1
613dd,613dd_session2_lista_naming_trial033_doctor.wav,2,a,naming,33,doctor,-1,no_resp,NA,Jan 26 2023 13:10:31,Agnieszka,1
613dd,613dd_session2_lista_naming_trial034_pineapple.wav,2,a,naming,34,pineapple,1785,correct,NA,Jan 26 2023 13:10:38,Agnieszka,1
613dd,613dd_session2_lista_naming_trial035_tiger.wav,2,a,naming,35,tiger,1090,correct,NA,Jan 26 2023 13:10:45,Agnieszka,1
613dd,613dd_session2_lista_naming_trial036_fridge.wav,2,a,naming,36,fridge,1240,correct,NA,Jan 26 2023 13:10:56,Agnieszka,1
613dd,613dd_session2_lista_naming_trial037_curtain.wav,2,a,naming,37,curtain,903,correct,NA,Jan 26 2023 13:11:04,Agnieszka,1
613dd,613dd_session2_lista_naming_trial038_kite.wav,2,a,naming,38,kite,1622,correct,NA,Jan 26 2023 13:11:11,Agnieszka,1
613dd,613dd_session2_lista_naming_trial039_candle.wav,2,a,naming,39,candle,1546,correct,NA,Jan 26 2023 13:11:40,Agnieszka,1
613dd,613dd_session2_lista_naming_trial040_tomato.wav,2,a,naming,40,tomato,1237,correct,NA,Jan 26 2023 13:12:20,Agnieszka,1
613dd,613dd_session2_lista_naming_trial041_tray.wav,2,a,naming,41,tray,1597,correct,NA,Jan 26 2023 13:12:31,Agnieszka,1
613dd,613dd_session2_lista_naming_trial042_lawnmower.wav,2,a,naming,42,lawnmower,2269,correct,NA,Jan 26 2023 13:12:38,Agnieszka,1
613dd,613dd_session2_lista_naming_trial043_snake.wav,2,a,naming,43,snake,1297,correct,NA,Jan 26 2023 13:12:45,Agnieszka,1
613dd,613dd_session2_lista_naming_trial044_lamp.wav,2,a,naming,44,lamp,1511,correct,NA,Jan 26 2023 13:12:51,Agnieszka,1
613dd,613dd_session2_lista_naming_trial045_tractor.wav,2,a,naming,45,tractor,1281,correct,NA,Jan 26 2023 13:13:05,Agnieszka,1
