Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
6151c,6151c_session2_lista_naming_trial001_bench.wav,2,a,naming,1,bench,1444,correct,NA,Jan 31 2023 15:42:49,Agnieszka,1
6151c,6151c_session2_lista_naming_trial002_koala.wav,2,a,naming,2,koala,829,correct,NA,Jan 31 2023 15:42:59,Agnieszka,1
6151c,6151c_session2_lista_naming_trial003_castle.wav,2,a,naming,3,castle,702,correct,NA,Jan 31 2023 15:43:08,Agnieszka,1
6151c,6151c_session2_lista_naming_trial004_shower.wav,2,a,naming,4,shower,673,correct,NA,Jan 31 2023 15:43:17,Agnieszka,1
6151c,6151c_session2_lista_naming_trial005_sausage.wav,2,a,naming,5,sausage,727,correct,NA,Jan 31 2023 15:43:26,Agnieszka,1
6151c,6151c_session2_lista_naming_trial006_sweet.wav,2,a,naming,6,sweet,750,correct,NA,Jan 31 2023 15:43:35,Agnieszka,1
6151c,6151c_session2_lista_naming_trial007_island.wav,2,a,naming,7,island,753,correct,NA,Jan 31 2023 15:43:49,Agnieszka,1
6151c,6151c_session2_lista_naming_trial008_potato.wav,2,a,naming,8,potato,641,correct,NA,Jan 31 2023 15:44:00,Agnieszka,1
6151c,6151c_session2_lista_naming_trial009_puppet.wav,2,a,naming,9,puppet,810,correct,NA,Jan 31 2023 15:44:09,Agnieszka,1
6151c,6151c_session2_lista_naming_trial010_bull.wav,2,a,naming,10,bull,807,correct,NA,Jan 31 2023 15:44:17,Agnieszka,1
6151c,6151c_session2_lista_naming_trial011_elbow.wav,2,a,naming,11,elbow,772,correct,NA,Jan 31 2023 15:44:29,Agnieszka,1
6151c,6151c_session2_lista_naming_trial012_butter.wav,2,a,naming,12,butter,992,correct,NA,Jan 31 2023 15:45:25,Agnieszka,1
6151c,6151c_session2_lista_naming_trial013_rabbit.wav,2,a,naming,13,rabbit,766,correct,NA,Jan 31 2023 15:45:33,Agnieszka,1
6151c,6151c_session2_lista_naming_trial014_flag.wav,2,a,naming,14,flag,661,correct,NA,Jan 31 2023 15:45:45,Agnieszka,1
6151c,6151c_session2_lista_naming_trial015_train.wav,2,a,naming,15,train,801,correct,NA,Jan 31 2023 15:45:55,Agnieszka,1
6151c,6151c_session2_lista_naming_trial016_battery.wav,2,a,naming,16,battery,769,correct,NA,Jan 31 2023 15:46:06,Agnieszka,1
6151c,6151c_session2_lista_naming_trial017_ear.wav,2,a,naming,17,ear,705,correct,NA,Jan 31 2023 15:46:13,Agnieszka,1
6151c,6151c_session2_lista_naming_trial018_tap.wav,2,a,naming,18,tap,724,correct,NA,Jan 31 2023 15:46:21,Agnieszka,1
6151c,6151c_session2_lista_naming_trial019_robot.wav,2,a,naming,19,robot,673,correct,NA,Jan 31 2023 15:46:31,Agnieszka,1
6151c,6151c_session2_lista_naming_trial020_bear.wav,2,a,naming,20,bear,855,correct,NA,Jan 31 2023 15:46:39,Agnieszka,1
6151c,6151c_session2_lista_naming_trial021_pipe.wav,2,a,naming,21,pipe,1055,correct,NA,Jan 31 2023 15:46:50,Agnieszka,1
6151c,6151c_session2_lista_naming_trial022_heel.wav,2,a,naming,22,heel,848,correct,NA,Jan 31 2023 15:47:06,Agnieszka,1
6151c,6151c_session2_lista_naming_trial023_dice.wav,2,a,naming,23,dice,721,correct,NA,Jan 31 2023 15:47:25,Agnieszka,1
6151c,6151c_session2_lista_naming_trial024_donkey.wav,2,a,naming,24,donkey,1291,correct,NA,Jan 31 2023 15:47:34,Agnieszka,1
6151c,6151c_session2_lista_naming_trial025_lung.wav,2,a,naming,25,lung,-1,wrong_word,NA,Jan 31 2023 15:47:42,Agnieszka,1
6151c,6151c_session2_lista_naming_trial026_tree.wav,2,a,naming,26,tree,718,correct,NA,Jan 31 2023 15:47:50,Agnieszka,1
6151c,6151c_session2_lista_naming_trial027_windmill.wav,2,a,naming,27,windmill,858,correct,NA,Jan 31 2023 15:47:57,Agnieszka,1
6151c,6151c_session2_lista_naming_trial028_compass.wav,2,a,naming,28,compass,842,correct,NA,Jan 31 2023 15:48:14,Agnieszka,1
6151c,6151c_session2_lista_naming_trial029_tiger.wav,2,a,naming,29,tiger,692,correct,NA,Jan 31 2023 15:48:48,Agnieszka,1
6151c,6151c_session2_lista_naming_trial030_shoe.wav,2,a,naming,30,shoe,651,correct,NA,Jan 31 2023 15:48:56,Agnieszka,1
6151c,6151c_session2_lista_naming_trial031_fox.wav,2,a,naming,31,fox,823,correct,NA,Jan 31 2023 15:49:03,Agnieszka,1
6151c,6151c_session2_lista_naming_trial032_sword.wav,2,a,naming,32,sword,673,correct,NA,Jan 31 2023 15:49:18,Agnieszka,1
6151c,6151c_session2_lista_naming_trial033_comb.wav,2,a,naming,33,comb,754,correct,NA,Jan 31 2023 15:49:26,Agnieszka,1
6151c,6151c_session2_lista_naming_trial034_tray.wav,2,a,naming,34,tray,750,correct,NA,Jan 31 2023 15:49:35,Agnieszka,1
6151c,6151c_session2_lista_naming_trial035_knife.wav,2,a,naming,35,knife,740,correct,NA,Jan 31 2023 15:49:43,Agnieszka,1
6151c,6151c_session2_lista_naming_trial036_fork.wav,2,a,naming,36,fork,715,correct,NA,Jan 31 2023 15:49:52,Agnieszka,1
6151c,6151c_session2_lista_naming_trial037_tie.wav,2,a,naming,37,tie,753,correct,NA,Jan 31 2023 15:50:01,Agnieszka,1
6151c,6151c_session2_lista_naming_trial038_curtain.wav,2,a,naming,38,curtain,826,correct,NA,Jan 31 2023 15:50:11,Agnieszka,1
6151c,6151c_session2_lista_naming_trial039_beak.wav,2,a,naming,39,beak,1017,correct,NA,Jan 31 2023 15:50:19,Agnieszka,1
6151c,6151c_session2_lista_naming_trial040_bib.wav,2,a,naming,40,bib,1396,correct,NA,Jan 31 2023 15:50:27,Agnieszka,1
6151c,6151c_session2_lista_naming_trial041_plumber.wav,2,a,naming,41,plumber,-1,uncertain,sounds like 'clumber' to me?,Jan 31 2023 15:50:48,Agnieszka,1
6151c,6151c_session2_lista_naming_trial042_owl.wav,2,a,naming,42,owl,899,correct,NA,Jan 31 2023 15:51:01,Agnieszka,1
6151c,6151c_session2_lista_naming_trial043_kangaroo.wav,2,a,naming,43,kangaroo,743,correct,NA,Jan 31 2023 15:51:18,Agnieszka,1
6151c,6151c_session2_lista_naming_trial044_tunnel.wav,2,a,naming,44,tunnel,880,correct,NA,Jan 31 2023 15:52:32,Agnieszka,1
6151c,6151c_session2_lista_naming_trial045_boxer.wav,2,a,naming,45,boxer,782,correct,NA,Jan 31 2023 15:52:41,Agnieszka,1
6151c,6151c_session2_lista_naming_trial046_wave.wav,2,a,naming,46,wave,912,correct,NA,Jan 31 2023 15:53:06,Agnieszka,1
6151c,6151c_session2_lista_naming_trial047_carrot.wav,2,a,naming,47,carrot,718,correct,NA,Jan 31 2023 15:53:15,Agnieszka,1
6151c,6151c_session2_lista_naming_trial048_coat.wav,2,a,naming,48,coat,737,correct,NA,Jan 31 2023 15:53:26,Agnieszka,1
6151c,6151c_session2_lista_naming_trial049_suitcase.wav,2,a,naming,49,suitcase,731,correct,NA,Jan 31 2023 15:53:51,Agnieszka,1
6151c,6151c_session2_lista_naming_trial050_ghost.wav,2,a,naming,50,ghost,785,correct,NA,Jan 31 2023 15:54:01,Agnieszka,1
6151c,6151c_session2_lista_naming_trial051_doughnut.wav,2,a,naming,51,doughnut,801,correct,NA,Jan 31 2023 15:54:10,Agnieszka,1
6151c,6151c_session2_lista_naming_trial052_shield.wav,2,a,naming,52,shield,625,correct,NA,Jan 31 2023 15:54:19,Agnieszka,1
