Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
62b1f,62b1f_session2_lista_naming_trial001_snake.wav,2,a,naming,1,snake,1106,correct,NA,Jan 23 2023 12:26:21,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial002_fox.wav,2,a,naming,2,fox,933,correct,NA,Jan 23 2023 12:26:34,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial003_thumb.wav,2,a,naming,3,thumb,917,correct,NA,Jan 23 2023 12:26:56,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial004_apple.wav,2,a,naming,4,apple,917,correct,NA,Jan 23 2023 12:27:04,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial005_wheelbarrow.wav,2,a,naming,5,wheelbarrow,1198,correct,NA,Jan 23 2023 12:27:11,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial006_crab.wav,2,a,naming,6,crab,1009,correct,NA,Jan 23 2023 12:27:47,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial007_heel.wav,2,a,naming,7,heel,1643,uncertain,can't hear the initial 'h',Jan 23 2023 12:28:17,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial008_pencil.wav,2,a,naming,8,pencil,986,correct,NA,Jan 23 2023 12:28:25,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial009_pear.wav,2,a,naming,9,pear,920,correct,NA,Jan 23 2023 12:28:37,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial010_shower.wav,2,a,naming,10,shower,1097,correct,NA,Jan 23 2023 12:28:49,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial011_sausage.wav,2,a,naming,11,sausage,974,correct,NA,Jan 23 2023 12:28:58,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial012_comb.wav,2,a,naming,12,comb,1302,correct,NA,Jan 23 2023 12:29:05,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial013_bracelet.wav,2,a,naming,13,bracelet,1384,correct,NA,Jan 23 2023 12:29:11,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial014_bike.wav,2,a,naming,14,bike,1068,correct,NA,Jan 23 2023 12:29:21,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial015_butter.wav,2,a,naming,15,butter,1157,correct,NA,Jan 23 2023 12:29:28,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial016_bench.wav,2,a,naming,16,bench,1116,correct,NA,Jan 23 2023 12:29:35,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial017_goat.wav,2,a,naming,17,goat,-1,uncertain,NA,Jan 23 2023 12:29:55,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial018_helicopter.wav,2,a,naming,18,helicopter,1084,correct,NA,Jan 23 2023 12:30:04,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial019_teacher.wav,2,a,naming,19,teacher,1109,correct,NA,Jan 23 2023 12:30:11,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial020_tunnel.wav,2,a,naming,20,tunnel,1270,correct,NA,Jan 23 2023 12:30:19,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial021_mermaid.wav,2,a,naming,21,mermaid,1589,correct,NA,Jan 23 2023 12:30:27,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial022_peg.wav,2,a,naming,22,peg,2233,correct,NA,Jan 23 2023 12:30:36,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial023_whale.wav,2,a,naming,23,whale,1138,correct,NA,Jan 23 2023 12:30:47,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial024_fence.wav,2,a,naming,24,fence,955,correct,NA,Jan 23 2023 12:30:54,Agnieszka,1
62b1f,62b1f_session2_lista_naming_trial025_arrow.wav,2,a,naming,25,arrow,1264,correct,NA,Jan 23 2023 12:31:02,Agnieszka,1
