Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
62c5e,62c5e_session2_lista_naming_trial001_cork.wav,2,a,naming,1,cork,852,correct,NA,Feb 14 2023 11:33:18,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial002_soap.wav,2,a,naming,2,soap,734,correct,NA,Feb 14 2023 11:33:26,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial003_bottle.wav,2,a,naming,3,bottle,726,correct,NA,Feb 14 2023 11:33:34,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial004_ghost.wav,2,a,naming,4,ghost,740,correct,NA,Feb 14 2023 11:33:41,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial005_knife.wav,2,a,naming,5,knife,753,correct,NA,Feb 14 2023 11:33:49,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial006_lamp.wav,2,a,naming,6,lamp,1024,correct,NA,Feb 14 2023 11:33:58,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial007_nest.wav,2,a,naming,7,nest,737,correct,NA,Feb 14 2023 11:34:07,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial008_skirt.wav,2,a,naming,8,skirt,737,correct,NA,Feb 14 2023 11:34:22,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial009_pineapple.wav,2,a,naming,9,pineapple,759,correct,NA,Feb 14 2023 11:34:31,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial010_whale.wav,2,a,naming,10,whale,766,correct,NA,Feb 14 2023 11:34:40,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial011_wing.wav,2,a,naming,11,wing,801,correct,NA,Feb 14 2023 11:34:48,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial012_butterfly.wav,2,a,naming,12,butterfly,747,correct,NA,Feb 14 2023 11:34:57,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial013_bench.wav,2,a,naming,13,bench,883,correct,NA,Feb 14 2023 11:35:10,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial014_flipper.wav,2,a,naming,14,flipper,1205,correct,NA,Feb 14 2023 11:35:26,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial015_pipe.wav,2,a,naming,15,pipe,839,correct,NA,Feb 14 2023 11:35:34,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial016_sword.wav,2,a,naming,16,sword,820,correct,NA,Feb 14 2023 11:35:43,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial017_coat.wav,2,a,naming,17,coat,950,correct,NA,Feb 14 2023 11:37:31,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial018_wall.wav,2,a,naming,18,wall,877,correct,NA,Feb 14 2023 11:37:38,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial019_suit.wav,2,a,naming,19,suit,766,correct,NA,Feb 14 2023 11:37:46,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial020_caterpillar.wav,2,a,naming,20,caterpillar,759,correct,NA,Feb 14 2023 11:37:58,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial021_kitchen.wav,2,a,naming,21,kitchen,861,correct,NA,Feb 14 2023 11:38:07,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial022_saw.wav,2,a,naming,22,saw,858,correct,NA,Feb 14 2023 11:38:18,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial023_train.wav,2,a,naming,23,train,788,correct,NA,Feb 14 2023 11:38:27,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial024_glove.wav,2,a,naming,24,glove,826,correct,NA,Feb 14 2023 11:38:55,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial025_heel.wav,2,a,naming,25,heel,969,correct,NA,Feb 14 2023 11:39:06,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial026_sweet.wav,2,a,naming,26,sweet,-1,wrong_word,NA,Feb 14 2023 11:39:15,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial027_robot.wav,2,a,naming,27,robot,912,correct,NA,Feb 14 2023 11:39:32,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial028_mouth.wav,2,a,naming,28,mouth,938,correct,NA,Feb 14 2023 11:39:43,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial029_cherry.wav,2,a,naming,29,cherry,756,correct,NA,Feb 14 2023 11:42:03,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial030_ruler.wav,2,a,naming,30,ruler,817,correct,NA,Feb 14 2023 11:42:14,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial031_bone.wav,2,a,naming,31,bone,727,correct,NA,Feb 14 2023 11:42:26,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial032_plumber.wav,2,a,naming,32,plumber,864,correct,NA,Feb 14 2023 11:42:41,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial033_onion.wav,2,a,naming,33,onion,810,correct,NA,Feb 14 2023 11:42:49,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial034_zebra.wav,2,a,naming,34,zebra,743,correct,NA,Feb 14 2023 11:51:14,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial035_teacher.wav,2,a,naming,35,teacher,1017,correct,NA,Feb 14 2023 11:51:22,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial036_bear.wav,2,a,naming,36,bear,868,correct,NA,Feb 14 2023 11:51:28,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial037_queen.wav,2,a,naming,37,queen,871,correct,NA,Feb 14 2023 11:52:07,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial038_flag.wav,2,a,naming,38,flag,874,correct,NA,Feb 14 2023 11:52:19,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial039_potato.wav,2,a,naming,39,potato,785,correct,NA,Feb 14 2023 11:52:26,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial040_mountain.wav,2,a,naming,40,mountain,925,correct,NA,Feb 14 2023 11:52:34,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial041_bib.wav,2,a,naming,41,bib,842,correct,NA,Feb 14 2023 11:52:42,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial042_key.wav,2,a,naming,42,key,762,correct,NA,Feb 14 2023 11:53:05,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial043_lighter.wav,2,a,naming,43,lighter,829,correct,NA,Feb 14 2023 11:53:13,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial044_dress.wav,2,a,naming,44,dress,1122,correct,NA,Feb 14 2023 11:53:20,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial045_comb.wav,2,a,naming,45,comb,1119,correct,NA,Feb 14 2023 11:53:29,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial046_tap.wav,2,a,naming,46,tap,906,correct,NA,Feb 14 2023 11:53:37,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial047_medal.wav,2,a,naming,47,medal,836,correct,NA,Feb 14 2023 11:53:44,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial048_jellyfish.wav,2,a,naming,48,jellyfish,963,correct,NA,Feb 14 2023 11:53:55,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial049_bell.wav,2,a,naming,49,bell,944,correct,NA,Feb 14 2023 11:54:04,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial050_submarine.wav,2,a,naming,50,submarine,1119,correct,NA,Feb 14 2023 11:54:10,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial051_kite.wav,2,a,naming,51,kite,836,correct,NA,Feb 14 2023 11:54:18,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial052_lung.wav,2,a,naming,52,lung,934,correct,NA,Feb 14 2023 11:54:26,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial053_wave.wav,2,a,naming,53,wave,1014,correct,NA,Feb 14 2023 11:54:35,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial054_avocado.wav,2,a,naming,54,avocado,820,correct,NA,Feb 14 2023 11:54:47,Agnieszka,1
62c5e,62c5e_session2_lista_naming_trial055_net.wav,2,a,naming,55,net,852,correct,NA,Feb 14 2023 11:54:59,Agnieszka,1
