Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
62fb7,62fb7_session2_lista_naming_trial001_basket.wav,2,a,naming,1,basket,888,correct,NA,Jan 24 2023 13:30:25,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial002_fork.wav,2,a,naming,2,fork,764,correct,NA,Jan 24 2023 13:30:35,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial003_butter.wav,2,a,naming,3,butter,913,correct,NA,Jan 24 2023 13:30:42,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial004_zip.wav,2,a,naming,4,zip,847,correct,NA,Jan 24 2023 13:30:51,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial005_soap.wav,2,a,naming,5,soap,1142,correct,NA,Jan 24 2023 13:30:58,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial006_pear.wav,2,a,naming,6,pear,742,correct,NA,Jan 24 2023 13:31:23,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial007_rocket.wav,2,a,naming,7,rocket,882,correct,NA,Jan 24 2023 13:31:31,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial008_flag.wav,2,a,naming,8,flag,913,correct,NA,Jan 24 2023 13:31:44,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial009_bench.wav,2,a,naming,9,bench,783,correct,NA,Jan 24 2023 13:31:52,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial010_suit.wav,2,a,naming,10,suit,716,correct,NA,Jan 24 2023 13:32:00,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial011_fox.wav,2,a,naming,11,fox,843,correct,NA,Jan 24 2023 13:32:14,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial012_star.wav,2,a,naming,12,star,699,correct,NA,Jan 24 2023 13:32:22,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial013_wing.wav,2,a,naming,13,wing,-1,wrong_word,NA,Jan 24 2023 13:32:29,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial014_circle.wav,2,a,naming,14,circle,748,correct,NA,Jan 24 2023 13:33:01,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial015_donkey.wav,2,a,naming,15,donkey,1047,correct,NA,Jan 24 2023 13:33:08,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial016_tongue.wav,2,a,naming,16,tongue,901,correct,NA,Jan 24 2023 13:33:17,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial017_bull.wav,2,a,naming,17,bull,1025,correct,NA,Jan 24 2023 13:33:24,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial018_shower.wav,2,a,naming,18,shower,831,correct,NA,Jan 24 2023 13:34:56,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial019_thumb.wav,2,a,naming,19,thumb,727,correct,NA,Jan 24 2023 13:35:11,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial020_rose.wav,2,a,naming,20,rose,834,correct,NA,Jan 24 2023 13:35:19,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial021_knife.wav,2,a,naming,21,knife,869,correct,NA,Jan 24 2023 13:35:27,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial022_avocado.wav,2,a,naming,22,avocado,903,correct,NA,Jan 24 2023 13:35:35,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial023_puppet.wav,2,a,naming,23,puppet,1238,correct,NA,Jan 24 2023 13:35:41,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial024_butterfly.wav,2,a,naming,24,butterfly,936,correct,NA,Jan 24 2023 13:35:49,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial025_beak.wav,2,a,naming,25,beak,863,correct,NA,Jan 24 2023 13:35:56,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial026_boxer.wav,2,a,naming,26,boxer,780,correct,NA,Jan 24 2023 13:36:03,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial027_dummy.wav,2,a,naming,27,dummy,989,correct,NA,Jan 24 2023 13:36:09,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial028_teacher.wav,2,a,naming,28,teacher,834,correct,NA,Jan 24 2023 13:36:17,Agnieszka,1
62fb7,62fb7_session2_lista_naming_trial029_peg.wav,2,a,naming,29,peg,894,correct,NA,Jan 24 2023 13:36:27,Agnieszka,1
