Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5cd49,5cd49_session2_listb_naming_trial001_skull.wav,2,b,naming,1,skull,1205,correct,NA,Mar  1 2023 15:52:36,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial002_well.wav,2,b,naming,2,well,925,correct,NA,Mar  1 2023 15:52:47,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial003_jar.wav,2,b,naming,3,jar,938,correct,NA,Mar  1 2023 15:52:54,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial004_lab.wav,2,b,naming,4,lab,-1,wrong_word,NA,Mar  1 2023 15:53:01,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial005_nose.wav,2,b,naming,5,nose,861,correct,NA,Mar  1 2023 15:53:08,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial006_printer.wav,2,b,naming,6,printer,903,correct,NA,Mar  1 2023 15:53:16,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial007_caravan.wav,2,b,naming,7,caravan,879,correct,NA,Mar  1 2023 15:53:22,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial008_button.wav,2,b,naming,8,button,756,correct,NA,Mar  1 2023 15:53:35,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial009_king.wav,2,b,naming,9,king,750,correct,NA,Mar  1 2023 15:53:42,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial010_choir.wav,2,b,naming,10,choir,976,correct,NA,Mar  1 2023 15:53:55,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial011_foot.wav,2,b,naming,11,foot,721,correct,NA,Mar  1 2023 15:54:02,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial012_duck.wav,2,b,naming,12,duck,852,correct,NA,Mar  1 2023 15:54:10,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial013_coconut.wav,2,b,naming,13,coconut,797,correct,NA,Mar  1 2023 15:54:19,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial014_calculator.wav,2,b,naming,14,calculator,829,correct,NA,Mar  1 2023 15:54:29,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial015_shadow.wav,2,b,naming,15,shadow,915,correct,NA,Mar  1 2023 15:54:35,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial016_guitar.wav,2,b,naming,16,guitar,743,correct,NA,Mar  1 2023 15:54:49,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial017_hand.wav,2,b,naming,17,hand,822,correct,NA,Mar  1 2023 15:54:56,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial018_pilot.wav,2,b,naming,18,pilot,1113,correct,NA,Mar  1 2023 15:55:04,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial019_brain.wav,2,b,naming,19,brain,813,correct,NA,Mar  1 2023 15:55:15,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial020_bat.wav,2,b,naming,20,bat,864,correct,NA,Mar  1 2023 15:55:23,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial021_keyboard.wav,2,b,naming,21,keyboard,836,correct,NA,Mar  1 2023 15:55:32,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial022_lion.wav,2,b,naming,22,lion,756,correct,NA,Mar  1 2023 15:55:39,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial023_umbrella.wav,2,b,naming,23,umbrella,883,correct,NA,Mar  1 2023 15:55:47,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial024_man.wav,2,b,naming,24,man,1206,correct,NA,Mar  1 2023 15:55:54,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial025_giraffe.wav,2,b,naming,25,giraffe,855,correct,NA,Mar  1 2023 15:56:02,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial026_iron.wav,2,b,naming,26,iron,785,correct,NA,Mar  1 2023 15:56:10,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial027_television.wav,2,b,naming,27,television,871,correct,NA,Mar  1 2023 15:56:17,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial028_pizza.wav,2,b,naming,28,pizza,880,correct,NA,Mar  1 2023 15:56:25,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial029_swimming.wav,2,b,naming,29,swimming,816,correct,NA,Mar  1 2023 15:56:32,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial030_ankle.wav,2,b,naming,30,ankle,1027,correct,NA,Mar  1 2023 15:56:40,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial031_cowboy.wav,2,b,naming,31,cowboy,868,correct,NA,Mar  1 2023 15:56:46,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial032_dog.wav,2,b,naming,32,dog,896,correct,NA,Mar  1 2023 15:56:55,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial033_hair.wav,2,b,naming,33,hair,820,correct,NA,Mar  1 2023 15:57:03,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial034_glass.wav,2,b,naming,34,glass,801,correct,NA,Mar  1 2023 15:57:16,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial035_heart.wav,2,b,naming,35,heart,804,correct,NA,Mar  1 2023 15:57:23,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial036_scarf.wav,2,b,naming,36,scarf,760,correct,NA,Mar  1 2023 15:57:33,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial037_desert.wav,2,b,naming,37,desert,858,correct,NA,Mar  1 2023 15:57:40,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial038_cactus.wav,2,b,naming,38,cactus,829,correct,NA,Mar  1 2023 15:57:50,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial039_spoon.wav,2,b,naming,39,spoon,661,correct,NA,Mar  1 2023 15:57:58,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial040_skeleton.wav,2,b,naming,40,skeleton,778,correct,NA,Mar  1 2023 15:58:04,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial041_car.wav,2,b,naming,41,car,804,correct,NA,Mar  1 2023 15:58:11,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial042_door.wav,2,b,naming,42,door,810,correct,NA,Mar  1 2023 15:58:18,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial043_face.wav,2,b,naming,43,face,883,correct,NA,Mar  1 2023 15:58:24,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial044_waiter.wav,2,b,naming,44,waiter,938,correct,NA,Mar  1 2023 15:58:34,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial045_honey.wav,2,b,naming,45,honey,979,correct,NA,Mar  1 2023 15:58:43,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial046_house.wav,2,b,naming,46,house,719,correct,NA,Mar  1 2023 15:58:50,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial047_roof.wav,2,b,naming,47,roof,957,correct,NA,Mar  1 2023 15:58:57,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial048_balloon.wav,2,b,naming,48,balloon,751,correct,NA,Mar  1 2023 15:59:07,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial049_leaf.wav,2,b,naming,49,leaf,772,correct,NA,Mar  1 2023 15:59:18,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial050_witch.wav,2,b,naming,50,witch,750,correct,NA,Mar  1 2023 15:59:27,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial051_boomerang.wav,2,b,naming,51,boomerang,832,correct,NA,Mar  1 2023 15:59:35,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial052_chain.wav,2,b,naming,52,chain,855,correct,NA,Mar  1 2023 15:59:42,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial053_vein.wav,2,b,naming,53,vein,919,correct,NA,Mar  1 2023 15:59:48,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial054_road.wav,2,b,naming,54,road,829,correct,NA,Mar  1 2023 15:59:55,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial055_stapler.wav,2,b,naming,55,stapler,756,correct,NA,Mar  1 2023 16:00:01,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial056_wallet.wav,2,b,naming,56,wallet,985,correct,NA,Mar  1 2023 16:00:10,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial057_egg.wav,2,b,naming,57,egg,871,correct,NA,Mar  1 2023 16:00:17,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial058_cannon.wav,2,b,naming,58,cannon,874,correct,NA,Mar  1 2023 16:00:24,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial059_watch.wav,2,b,naming,59,watch,871,correct,NA,Mar  1 2023 16:00:31,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial060_tooth.wav,2,b,naming,60,tooth,874,correct,NA,Mar  1 2023 16:00:40,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial061_broccoli.wav,2,b,naming,61,broccoli,982,correct,NA,Mar  1 2023 16:00:47,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial062_nun.wav,2,b,naming,62,nun,1075,correct,NA,Mar  1 2023 16:00:54,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial063_fist.wav,2,b,naming,63,fist,822,correct,NA,Mar  1 2023 16:01:11,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial064_bible.wav,2,b,naming,64,bible,801,correct,NA,Mar  1 2023 16:01:17,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial065_microphone.wav,2,b,naming,65,microphone,817,correct,NA,Mar  1 2023 16:01:24,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial066_moustache.wav,2,b,naming,66,moustache,1196,correct,NA,Mar  1 2023 16:01:35,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial067_banana.wav,2,b,naming,67,banana,918,correct,NA,Mar  1 2023 16:01:43,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial068_lemon.wav,2,b,naming,68,lemon,766,correct,NA,Mar  1 2023 16:01:51,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial069_sink.wav,2,b,naming,69,sink,832,correct,NA,Mar  1 2023 16:01:58,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial070_coffin.wav,2,b,naming,70,coffin,772,correct,NA,Mar  1 2023 16:02:07,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial071_bra.wav,2,b,naming,71,bra,817,correct,NA,Mar  1 2023 16:02:15,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial072_fruit.wav,2,b,naming,72,fruit,1072,correct,NA,Mar  1 2023 16:02:24,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial073_mask.wav,2,b,naming,73,mask,944,correct,NA,Mar  1 2023 16:02:32,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial074_dolphin.wav,2,b,naming,74,dolphin,915,correct,NA,Mar  1 2023 16:02:41,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial075_knee.wav,2,b,naming,75,knee,1017,correct,NA,Mar  1 2023 16:02:47,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial076_coffee.wav,2,b,naming,76,coffee,985,correct,NA,Mar  1 2023 16:02:55,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial077_bed.wav,2,b,naming,77,bed,842,correct,NA,Mar  1 2023 16:03:04,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial078_pirate.wav,2,b,naming,78,pirate,992,correct,NA,Mar  1 2023 16:03:11,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial079_needle.wav,2,b,naming,79,needle,1129,correct,NA,Mar  1 2023 16:03:18,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial080_cone.wav,2,b,naming,80,cone,947,correct,NA,Mar  1 2023 16:03:26,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial081_dinosaur.wav,2,b,naming,81,dinosaur,890,correct,NA,Mar  1 2023 16:03:32,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial082_butcher.wav,2,b,naming,82,butcher,1033,correct,NA,Mar  1 2023 16:03:39,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial083_sheep.wav,2,b,naming,83,sheep,907,correct,NA,Mar  1 2023 16:03:46,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial084_nurse.wav,2,b,naming,84,nurse,832,correct,NA,Mar  1 2023 16:03:58,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial085_pumpkin.wav,2,b,naming,85,pumpkin,854,correct,NA,Mar  1 2023 16:04:06,Agnieszka,1
5cd49,5cd49_session2_listb_naming_trial086_thermometer.wav,2,b,naming,86,thermometer,1014,correct,NA,Mar  1 2023 16:04:18,Agnieszka,1
