Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5e3af,5e3af_session2_listb_naming_trial001_caravan.wav,2,b,naming,1,caravan,1330,correct,NA,Nov 23 2022 17:11:25,Shereen,1
5e3af,5e3af_session2_listb_naming_trial002_microphone.wav,2,b,naming,2,microphone,844,correct,NA,Nov 23 2022 17:11:34,Shereen,1
5e3af,5e3af_session2_listb_naming_trial003_finger.wav,2,b,naming,3,finger,727,correct,NA,Nov 23 2022 17:11:39,Shereen,1
5e3af,5e3af_session2_listb_naming_trial004_back.wav,2,b,naming,4,back,712,correct,NA,Nov 23 2022 17:11:51,Shereen,1
5e3af,5e3af_session2_listb_naming_trial005_television.wav,2,b,naming,5,television,1144,correct,NA,Nov 23 2022 17:11:57,Shereen,1
5e3af,5e3af_session2_listb_naming_trial006_banana.wav,2,b,naming,6,banana,712,correct,NA,Nov 23 2022 17:12:04,Shereen,1
5e3af,5e3af_session2_listb_naming_trial007_ankle.wav,2,b,naming,7,ankle,1006,correct,NA,Nov 23 2022 17:12:09,Shereen,1
5e3af,5e3af_session2_listb_naming_trial008_witch.wav,2,b,naming,8,witch,702,correct,NA,Nov 23 2022 17:12:14,Shereen,1
5e3af,5e3af_session2_listb_naming_trial009_pirate.wav,2,b,naming,9,pirate,996,correct,NA,Nov 23 2022 17:12:23,Shereen,1
5e3af,5e3af_session2_listb_naming_trial010_dragon.wav,2,b,naming,10,dragon,727,correct,NA,Nov 23 2022 17:12:31,Shereen,1
5e3af,5e3af_session2_listb_naming_trial011_feather.wav,2,b,naming,11,feather,683,correct,NA,Nov 23 2022 17:12:38,Shereen,1
5e3af,5e3af_session2_listb_naming_trial012_king.wav,2,b,naming,12,king,859,correct,NA,Nov 23 2022 17:12:43,Shereen,1
5e3af,5e3af_session2_listb_naming_trial013_bedroom.wav,2,b,naming,13,bedroom,957,correct,NA,Nov 23 2022 17:12:52,Shereen,1
5e3af,5e3af_session2_listb_naming_trial014_tooth.wav,2,b,naming,14,tooth,815,correct,NA,Nov 23 2022 17:12:56,Shereen,1
5e3af,5e3af_session2_listb_naming_trial015_calculator.wav,2,b,naming,15,calculator,913,correct,NA,Nov 23 2022 17:13:00,Shereen,1
5e3af,5e3af_session2_listb_naming_trial016_sock.wav,2,b,naming,16,sock,1217,correct,NA,Nov 23 2022 17:13:07,Shereen,1
5e3af,5e3af_session2_listb_naming_trial017_cactus.wav,2,b,naming,17,cactus,799,correct,NA,Nov 23 2022 17:13:14,Shereen,1
5e3af,5e3af_session2_listb_naming_trial018_hand.wav,2,b,naming,18,hand,756,correct,NA,Nov 23 2022 17:13:20,Shereen,1
5e3af,5e3af_session2_listb_naming_trial019_nun.wav,2,b,naming,19,nun,810,correct,NA,Nov 23 2022 17:13:26,Shereen,1
5e3af,5e3af_session2_listb_naming_trial020_burger.wav,2,b,naming,20,burger,938,correct,NA,Nov 23 2022 17:13:30,Shereen,1
5e3af,5e3af_session2_listb_naming_trial021_volcano.wav,2,b,naming,21,volcano,923,correct,NA,Nov 23 2022 17:13:34,Shereen,1
5e3af,5e3af_session2_listb_naming_trial022_tank.wav,2,b,naming,22,tank,889,correct,NA,Nov 23 2022 17:13:39,Shereen,1
5e3af,5e3af_session2_listb_naming_trial023_stapler.wav,2,b,naming,23,stapler,707,correct,NA,Nov 23 2022 17:13:50,Shereen,1
5e3af,5e3af_session2_listb_naming_trial024_lab.wav,2,b,naming,24,lab,987,correct,NA,Nov 23 2022 17:13:55,Shereen,1
5e3af,5e3af_session2_listb_naming_trial025_coffin.wav,2,b,naming,25,coffin,1039,correct,NA,Nov 23 2022 17:13:59,Shereen,1
5e3af,5e3af_session2_listb_naming_trial026_fruit.wav,2,b,naming,26,fruit,1354,correct,NA,Nov 23 2022 17:14:04,Shereen,1
5e3af,5e3af_session2_listb_naming_trial027_keyboard.wav,2,b,naming,27,keyboard,805,correct,NA,Nov 23 2022 17:14:08,Shereen,1
5e3af,5e3af_session2_listb_naming_trial028_penguin.wav,2,b,naming,28,penguin,742,correct,NA,Nov 23 2022 17:14:23,Shereen,1
5e3af,5e3af_session2_listb_naming_trial029_glass.wav,2,b,naming,29,glass,918,correct,NA,Nov 23 2022 17:19:44,Shereen,1
5e3af,5e3af_session2_listb_naming_trial030_baby.wav,2,b,naming,30,baby,791,correct,NA,Nov 23 2022 17:19:51,Shereen,1
5e3af,5e3af_session2_listb_naming_trial031_wallet.wav,2,b,naming,31,wallet,938,correct,NA,Nov 23 2022 17:20:39,Shereen,1
5e3af,5e3af_session2_listb_naming_trial032_hair.wav,2,b,naming,32,hair,791,correct,NA,Nov 23 2022 17:20:44,Shereen,1
5e3af,5e3af_session2_listb_naming_trial033_parachute.wav,2,b,naming,33,parachute,852,correct,NA,Nov 23 2022 17:20:48,Shereen,1
5e3af,5e3af_session2_listb_naming_trial034_door.wav,2,b,naming,34,door,923,correct,NA,Nov 23 2022 17:20:52,Shereen,1
5e3af,5e3af_session2_listb_naming_trial035_football.wav,2,b,naming,35,football,972,correct,NA,Nov 23 2022 17:20:58,Shereen,1
5e3af,5e3af_session2_listb_naming_trial036_road.wav,2,b,naming,36,road,957,correct,NA,Nov 23 2022 17:21:10,Shereen,1
5e3af,5e3af_session2_listb_naming_trial037_camera.wav,2,b,naming,37,camera,869,correct,NA,Nov 23 2022 17:21:16,Shereen,1
5e3af,5e3af_session2_listb_naming_trial038_foot.wav,2,b,naming,38,foot,746,correct,NA,Nov 23 2022 17:21:41,Shereen,1
5e3af,5e3af_session2_listb_naming_trial039_moustache.wav,2,b,naming,39,moustache,746,correct,NA,Nov 23 2022 17:22:45,Shereen,1
5e3af,5e3af_session2_listb_naming_trial040_hedgehog.wav,2,b,naming,40,hedgehog,972,correct,NA,Nov 23 2022 17:22:50,Shereen,1
5e3af,5e3af_session2_listb_naming_trial041_pizza.wav,2,b,naming,41,pizza,1183,correct,NA,Nov 23 2022 17:22:54,Shereen,1
5e3af,5e3af_session2_listb_naming_trial042_duck.wav,2,b,naming,42,duck,977,correct,NA,Nov 23 2022 17:22:58,Shereen,1
5e3af,5e3af_session2_listb_naming_trial043_snail.wav,2,b,naming,43,snail,805,correct,NA,Nov 23 2022 17:23:03,Shereen,1
5e3af,5e3af_session2_listb_naming_trial044_pool.wav,2,b,naming,44,pool,1065,correct,NA,Nov 23 2022 17:23:07,Shereen,1
5e3af,5e3af_session2_listb_naming_trial045_parrot.wav,2,b,naming,45,parrot,1261,correct,NA,Nov 23 2022 17:23:10,Shereen,1
5e3af,5e3af_session2_listb_naming_trial046_asparagus.wav,2,b,naming,46,asparagus,962,correct,NA,Nov 23 2022 17:23:17,Shereen,1
5e3af,5e3af_session2_listb_naming_trial047_girl.wav,2,b,naming,47,girl,928,correct,NA,Nov 23 2022 17:23:22,Shereen,1
5e3af,5e3af_session2_listb_naming_trial048_chair.wav,2,b,naming,48,chair,746,correct,NA,Nov 23 2022 17:24:07,Shereen,1
5e3af,5e3af_session2_listb_naming_trial049_nurse.wav,2,b,naming,49,nurse,751,correct,NA,Nov 23 2022 17:24:11,Shereen,1
5e3af,5e3af_session2_listb_naming_trial050_sheep.wav,2,b,naming,50,sheep,810,correct,NA,Nov 23 2022 17:24:15,Shereen,1
5e3af,5e3af_session2_listb_naming_trial051_fan.wav,2,b,naming,51,fan,1060,correct,NA,Nov 23 2022 17:24:19,Shereen,1
5e3af,5e3af_session2_listb_naming_trial052_glasses.wav,2,b,naming,52,glasses,859,correct,NA,Nov 23 2022 17:24:28,Shereen,1
5e3af,5e3af_session2_listb_naming_trial053_fist.wav,2,b,naming,53,fist,702,correct,NA,Nov 23 2022 17:24:34,Shereen,1
5e3af,5e3af_session2_listb_naming_trial054_desert.wav,2,b,naming,54,desert,1153,correct,NA,Nov 23 2022 17:24:38,Shereen,1
5e3af,5e3af_session2_listb_naming_trial055_balloon.wav,2,b,naming,55,balloon,1016,correct,NA,Nov 23 2022 17:24:42,Shereen,1
5e3af,5e3af_session2_listb_naming_trial056_cowboy.wav,2,b,naming,56,cowboy,890,correct,NA,Nov 23 2022 17:24:45,Shereen,1
5e3af,5e3af_session2_listb_naming_trial057_cigarette.wav,2,b,naming,57,cigarette,1256,correct,NA,Nov 23 2022 17:24:49,Shereen,1
5e3af,5e3af_session2_listb_naming_trial058_lemon.wav,2,b,naming,58,lemon,1031,correct,NA,Nov 23 2022 17:24:54,Shereen,1
5e3af,5e3af_session2_listb_naming_trial059_lizard.wav,2,b,naming,59,lizard,1168,correct,NA,Nov 23 2022 17:24:58,Shereen,1
5e3af,5e3af_session2_listb_naming_trial060_honey.wav,2,b,naming,60,honey,864,correct,NA,Nov 23 2022 17:25:03,Shereen,1
5e3af,5e3af_session2_listb_naming_trial061_dog.wav,2,b,naming,61,dog,962,correct,NA,Nov 23 2022 17:25:08,Shereen,1
5e3af,5e3af_session2_listb_naming_trial062_button.wav,2,b,naming,62,button,1207,correct,NA,Nov 23 2022 17:25:14,Shereen,1
5e3af,5e3af_session2_listb_naming_trial063_coconut.wav,2,b,naming,63,coconut,1874,correct,NA,Nov 23 2022 17:25:19,Shereen,1
5e3af,5e3af_session2_listb_naming_trial064_skeleton.wav,2,b,naming,64,skeleton,1982,correct,NA,Nov 23 2022 17:25:24,Shereen,1
5e3af,5e3af_session2_listb_naming_trial065_pilot.wav,2,b,naming,65,pilot,1184,correct,NA,Nov 23 2022 17:25:30,Shereen,1
5e3af,5e3af_session2_listb_naming_trial066_condom.wav,2,b,naming,66,condom,898,correct,NA,Nov 23 2022 17:25:34,Shereen,1
5e3af,5e3af_session2_listb_naming_trial067_knee.wav,2,b,naming,67,knee,1001,correct,NA,Nov 23 2022 17:25:39,Shereen,1
5e3af,5e3af_session2_listb_naming_trial068_swimming.wav,2,b,naming,68,swimming,1036,correct,NA,Nov 23 2022 17:25:45,Shereen,1
5e3af,5e3af_session2_listb_naming_trial069_elephant.wav,2,b,naming,69,elephant,766,correct,NA,Nov 23 2022 17:25:49,Shereen,1
5e3af,5e3af_session2_listb_naming_trial070_iron.wav,2,b,naming,70,iron,1001,correct,NA,Nov 23 2022 17:25:54,Shereen,1
5e3af,5e3af_session2_listb_naming_trial071_umbrella.wav,2,b,naming,71,umbrella,884,correct,NA,Nov 23 2022 17:25:58,Shereen,1
5e3af,5e3af_session2_listb_naming_trial072_cage.wav,2,b,naming,72,cage,1575,correct,NA,Nov 23 2022 17:26:03,Shereen,1
5e3af,5e3af_session2_listb_naming_trial073_ambulance.wav,2,b,naming,73,ambulance,1129,correct,NA,Nov 23 2022 17:26:07,Shereen,1
5e3af,5e3af_session2_listb_naming_trial074_guitar.wav,2,b,naming,74,guitar,751,correct,NA,Nov 23 2022 17:26:11,Shereen,1
5e3af,5e3af_session2_listb_naming_trial075_waiter.wav,2,b,naming,75,waiter,761,correct,NA,Nov 23 2022 17:26:15,Shereen,1
5e3af,5e3af_session2_listb_naming_trial076_butcher.wav,2,b,naming,76,butcher,1030,correct,NA,Nov 23 2022 17:26:21,Shereen,1
5e3af,5e3af_session2_listb_naming_trial077_mask.wav,2,b,naming,77,mask,1359,correct,NA,Nov 23 2022 17:26:26,Shereen,1
5e3af,5e3af_session2_listb_naming_trial078_handle.wav,2,b,naming,78,handle,967,correct,NA,Nov 23 2022 17:26:30,Shereen,1
5e3af,5e3af_session2_listb_naming_trial079_watch.wav,2,b,naming,79,watch,702,correct,NA,Nov 23 2022 17:26:34,Shereen,1
5e3af,5e3af_session2_listb_naming_trial080_thermometer.wav,2,b,naming,80,thermometer,1178,correct,NA,Nov 23 2022 17:26:38,Shereen,1
5e3af,5e3af_session2_listb_naming_trial081_bible.wav,2,b,naming,81,bible,913,correct,NA,Nov 23 2022 17:26:46,Shereen,1
5e3af,5e3af_session2_listb_naming_trial082_dinosaur.wav,2,b,naming,82,dinosaur,957,correct,NA,Nov 23 2022 17:26:51,Shereen,1
5e3af,5e3af_session2_listb_naming_trial083_pumpkin.wav,2,b,naming,83,pumpkin,820,correct,NA,Nov 23 2022 17:26:56,Shereen,1
5e3af,5e3af_session2_listb_naming_trial084_earring.wav,2,b,naming,84,earring,-1,wrong_word,NA,Nov 23 2022 17:27:04,Shereen,1
5e3af,5e3af_session2_listb_naming_trial085_bed.wav,2,b,naming,85,bed,1104,correct,NA,Nov 23 2022 17:27:09,Shereen,1
5e3af,5e3af_session2_listb_naming_trial086_jar.wav,2,b,naming,86,jar,1109,correct,NA,Nov 23 2022 17:27:12,Shereen,1
5e3af,5e3af_session2_listb_naming_trial087_spider.wav,2,b,naming,87,spider,727,correct,NA,Nov 23 2022 17:27:18,Shereen,1
5e3af,5e3af_session2_listb_naming_trial088_ring.wav,2,b,naming,88,ring,815,correct,NA,Nov 23 2022 17:27:22,Shereen,1
5e3af,5e3af_session2_listb_naming_trial089_diamond.wav,2,b,naming,89,diamond,1075,correct,NA,Nov 23 2022 17:27:26,Shereen,1
5e3af,5e3af_session2_listb_naming_trial090_airport.wav,2,b,naming,90,airport,1183,correct,NA,Nov 23 2022 17:27:31,Shereen,1
5e3af,5e3af_session2_listb_naming_trial091_farm.wav,2,b,naming,91,farm,1256,correct,NA,Nov 23 2022 17:27:37,Shereen,1
5e3af,5e3af_session2_listb_naming_trial092_calendar.wav,2,b,naming,92,calendar,1310,correct,NA,Nov 23 2022 17:27:43,Shereen,1
5e3af,5e3af_session2_listb_naming_trial093_egg.wav,2,b,naming,93,egg,1104,correct,NA,Nov 23 2022 17:27:48,Shereen,1
5e3af,5e3af_session2_listb_naming_trial094_boomerang.wav,2,b,naming,94,boomerang,992,correct,NA,Nov 23 2022 17:27:52,Shereen,1
5e3af,5e3af_session2_listb_naming_trial095_vein.wav,2,b,naming,95,vein,1394,correct,NA,Nov 23 2022 17:27:55,Shereen,1
5e3af,5e3af_session2_listb_naming_trial096_shadow.wav,2,b,naming,96,shadow,1173,correct,NA,Nov 23 2022 17:28:00,Shereen,1
5e3af,5e3af_session2_listb_naming_trial097_dentist.wav,2,b,naming,97,dentist,-1,wrong_word,NA,Nov 23 2022 17:28:12,Shereen,1
5e3af,5e3af_session2_listb_naming_trial098_shark.wav,2,b,naming,98,shark,1379,correct,NA,Nov 23 2022 17:28:17,Shereen,1
5e3af,5e3af_session2_listb_naming_trial099_apron.wav,2,b,naming,99,apron,992,correct,NA,Nov 23 2022 17:28:22,Shereen,1
5e3af,5e3af_session2_listb_naming_trial100_gun.wav,2,b,naming,100,gun,1330,correct,NA,Nov 23 2022 17:28:26,Shereen,1
5e3af,5e3af_session2_listb_naming_trial101_bat.wav,2,b,naming,101,bat,1389,correct,NA,Nov 23 2022 17:28:29,Shereen,1
5e3af,5e3af_session2_listb_naming_trial102_choir.wav,2,b,naming,102,choir,1202,correct,NA,Nov 23 2022 17:28:33,Shereen,1
5e3af,5e3af_session2_listb_naming_trial103_sink.wav,2,b,naming,103,sink,1006,correct,NA,Nov 23 2022 17:28:41,Shereen,1
5e3af,5e3af_session2_listb_naming_trial104_screwdriver.wav,2,b,naming,104,screwdriver,869,correct,NA,Nov 23 2022 17:28:48,Shereen,1
5e3af,5e3af_session2_listb_naming_trial105_broccoli.wav,2,b,naming,105,broccoli,1035,correct,NA,Nov 23 2022 17:28:55,Shereen,1
5e3af,5e3af_session2_listb_naming_trial106_crown.wav,2,b,naming,106,crown,967,correct,NA,Nov 23 2022 17:29:02,Shereen,1
5e3af,5e3af_session2_listb_naming_trial107_man.wav,2,b,naming,107,man,1183,correct,NA,Nov 23 2022 17:29:06,Shereen,1
5e3af,5e3af_session2_listb_naming_trial108_scarecrow.wav,2,b,naming,108,scarecrow,898,correct,NA,Nov 23 2022 17:29:16,Shereen,1
5e3af,5e3af_session2_listb_naming_trial109_car.wav,2,b,naming,109,car,1202,correct,NA,Nov 23 2022 17:29:22,Shereen,1
5e3af,5e3af_session2_listb_naming_trial110_harp.wav,2,b,naming,110,harp,844,correct,NA,Nov 23 2022 17:29:31,Shereen,1
5e3af,5e3af_session2_listb_naming_trial111_maze.wav,2,b,naming,111,maze,957,correct,NA,Nov 23 2022 17:29:36,Shereen,1
5e3af,5e3af_session2_listb_naming_trial112_well.wav,2,b,naming,112,well,962,correct,NA,Nov 23 2022 17:29:42,Shereen,1
5e3af,5e3af_session2_listb_naming_trial113_coffee.wav,2,b,naming,113,coffee,1070,correct,NA,Nov 23 2022 17:29:44,Shereen,1
5e3af,5e3af_session2_listb_naming_trial114_mirror.wav,2,b,naming,114,mirror,962,correct,NA,Nov 23 2022 17:29:48,Shereen,1
5e3af,5e3af_session2_listb_naming_trial115_skateboard.wav,2,b,naming,115,skateboard,805,correct,NA,Nov 23 2022 17:29:53,Shereen,1
5e3af,5e3af_session2_listb_naming_trial116_belt.wav,2,b,naming,116,belt,805,correct,NA,Nov 23 2022 17:29:57,Shereen,1
5e3af,5e3af_session2_listb_naming_trial117_needle.wav,2,b,naming,117,needle,-1,wrong_word,NA,Nov 23 2022 17:30:07,Shereen,1
5e3af,5e3af_session2_listb_naming_trial118_nose.wav,2,b,naming,118,nose,1095,correct,NA,Nov 23 2022 17:30:25,Shereen,1
