Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
611cf,611cf_naming_trial001_mask.wav,2,b,Naming,1,mask,849,correct,NA,Nov 22 2022 22:39:19,Shereen,1
611cf,611cf_naming_trial002_duck.wav,2,b,Naming,2,duck,800,correct,NA,Nov 22 2022 22:39:28,Shereen,1
611cf,611cf_naming_trial003_chair.wav,2,b,Naming,3,chair,650,correct,NA,Nov 22 2022 22:39:34,Shereen,1
611cf,611cf_naming_trial004_cone.wav,2,b,Naming,4,cone,683,correct,NA,Nov 22 2022 22:39:39,Shereen,1
611cf,611cf_naming_trial005_scorpion.wav,2,b,Naming,5,scorpion,648,correct,NA,Nov 22 2022 22:39:43,Shereen,1
611cf,611cf_naming_trial006_moustache.wav,2,b,Naming,6,moustache,820,correct,NA,Nov 22 2022 22:39:47,Shereen,1
611cf,611cf_naming_trial007_cloud.wav,2,b,Naming,7,cloud,697,correct,NA,Nov 22 2022 22:39:55,Shereen,1
611cf,611cf_naming_trial008_king.wav,2,b,Naming,8,king,776,correct,NA,Nov 22 2022 22:40:00,Shereen,1
611cf,611cf_naming_trial009_butcher.wav,2,b,Naming,9,butcher,795,correct,NA,Nov 22 2022 22:40:05,Shereen,1
611cf,611cf_naming_trial010_broccoli.wav,2,b,Naming,10,broccoli,859,correct,NA,Nov 22 2022 22:40:11,Shereen,1
611cf,611cf_naming_trial011_man.wav,2,b,Naming,11,man,1124,correct,NA,Nov 22 2022 22:40:15,Shereen,1
611cf,611cf_naming_trial012_lion.wav,2,b,Naming,12,lion,947,correct,NA,Nov 22 2022 22:40:18,Shereen,1
611cf,611cf_naming_trial013_cigarette.wav,2,b,Naming,13,cigarette,840,correct,NA,Nov 22 2022 22:40:24,Shereen,1
611cf,611cf_naming_trial014_dog.wav,2,b,Naming,14,dog,781,correct,NA,Nov 22 2022 22:40:29,Shereen,1
611cf,611cf_naming_trial015_snail.wav,2,b,Naming,15,snail,943,correct,NA,Nov 22 2022 22:40:34,Shereen,1
611cf,611cf_naming_trial016_penguin.wav,2,b,Naming,16,penguin,737,correct,NA,Nov 22 2022 22:40:39,Shereen,1
611cf,611cf_naming_trial017_farm.wav,2,b,Naming,17,farm,1031,correct,NA,Nov 22 2022 22:40:44,Shereen,1
611cf,611cf_naming_trial018_beard.wav,2,b,Naming,18,beard,1050,correct,NA,Nov 22 2022 22:40:49,Shereen,1
611cf,611cf_naming_trial019_asparagus.wav,2,b,Naming,19,asparagus,840,correct,NA,Nov 22 2022 22:40:57,Shereen,1
611cf,611cf_naming_trial020_cage.wav,2,b,Naming,20,cage,820,correct,NA,Nov 22 2022 22:41:01,Shereen,1
611cf,611cf_naming_trial021_pilot.wav,2,b,Naming,21,pilot,835,correct,NA,Nov 22 2022 22:41:04,Shereen,1
611cf,611cf_naming_trial022_fan.wav,2,b,Naming,22,fan,693,correct,NA,Nov 22 2022 22:41:09,Shereen,1
