Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
59cb9,59cb9_session1_lista_naming_trial001_arrow.wav,1,a,naming,1,arrow,788,correct,NA,Mar 31 2023 09:56:01,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial002_candle.wav,1,a,naming,2,candle,685,correct,NA,Mar 31 2023 09:56:04,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial003_judge.wav,1,a,naming,3,judge,801,correct,NA,Mar 31 2023 09:56:05,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial004_swan.wav,1,a,naming,4,swan,651,correct,NA,Mar 31 2023 09:56:07,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial005_zebra.wav,1,a,naming,5,zebra,689,correct,NA,Mar 31 2023 09:56:11,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial006_fork.wav,1,a,naming,6,fork,701,correct,NA,Mar 31 2023 09:56:12,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial007_tongue.wav,1,a,naming,7,tongue,737,correct,NA,Mar 31 2023 09:56:17,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial008_kite.wav,1,a,naming,8,kite,866,correct,NA,Mar 30 2023 15:06:40,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial009_kangaroo.wav,1,a,naming,9,kangaroo,738,correct,NA,Mar 30 2023 15:07:15,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial010_wing.wav,1,a,naming,10,wing,734,correct,NA,Mar 30 2023 15:07:31,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial011_rose.wav,1,a,naming,11,rose,694,correct,NA,Mar 30 2023 15:07:43,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial012_camel.wav,1,a,naming,12,camel,865,correct,NA,Mar 30 2023 15:08:02,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial013_teacher.wav,1,a,naming,13,teacher,785,correct,NA,Mar 30 2023 15:08:12,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial014_magnet.wav,1,a,naming,14,magnet,1173,correct,NA,Mar 30 2023 15:09:27,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial015_bear.wav,1,a,naming,15,bear,1323,correct,NA,Mar 30 2023 15:09:54,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial016_saw.wav,1,a,naming,16,saw,763,correct,NA,Mar 30 2023 15:11:02,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial017_hat.wav,1,a,naming,17,hat,829,correct,NA,Mar 30 2023 15:11:49,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial018_sweet.wav,1,a,naming,18,sweet,-1,wrong_word,NA,Mar 30 2023 15:11:57,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial019_fence.wav,1,a,naming,19,fence,750,correct,NA,Mar 30 2023 15:12:41,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial020_pipe.wav,1,a,naming,20,pipe,912,correct,NA,Mar 30 2023 15:14:09,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial021_tree.wav,1,a,naming,21,tree,807,correct,NA,Mar 30 2023 15:14:37,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial022_nest.wav,1,a,naming,22,nest,893,correct,NA,Mar 30 2023 15:15:21,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial023_arm.wav,1,a,naming,23,arm,713,correct,NA,Mar 30 2023 15:15:41,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial024_wave.wav,1,a,naming,24,wave,1148,correct,NA,Mar 30 2023 15:16:01,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial025_donkey.wav,1,a,naming,25,donkey,756,correct,NA,Mar 30 2023 15:16:41,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial026_bell.wav,1,a,naming,26,bell,944,correct,NA,Mar 30 2023 15:17:30,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial027_zip.wav,1,a,naming,27,zip,740,correct,NA,Mar 30 2023 15:17:49,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial028_bus.wav,1,a,naming,28,bus,829,correct,NA,Mar 30 2023 15:18:00,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial029_ruler.wav,1,a,naming,29,ruler,807,correct,NA,Mar 30 2023 15:18:19,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial030_basket.wav,1,a,naming,30,basket,858,correct,NA,Mar 30 2023 15:18:41,Agnieszka,1
59cb9,59cb9_session1_lista_naming_trial031_scissors.wav,1,a,naming,31,scissors,811,correct,NA,Mar 30 2023 15:19:32,Agnieszka,1
