Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5bbbc,5bbbc_session1_lista_naming_trial001_submarine.wav,1,a,naming,1,submarine,-1,uncertain,noisy background,Mar 16 2023 12:49:28,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial002_soap.wav,1,a,naming,2,soap,1132,correct,NA,Mar 16 2023 12:49:48,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial003_sword.wav,1,a,naming,3,sword,832,correct,NA,Mar 16 2023 12:49:57,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial004_knife.wav,1,a,naming,4,knife,794,correct,NA,Mar 16 2023 12:50:10,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial005_kiwi.wav,1,a,naming,5,kiwi,-1,wrong_word,NA,Mar 16 2023 12:50:16,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial006_rabbit.wav,1,a,naming,6,rabbit,925,correct,NA,Mar 16 2023 12:50:45,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial007_kangaroo.wav,1,a,naming,7,kangaroo,823,correct,NA,Mar 16 2023 12:50:56,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial008_hippo.wav,1,a,naming,8,hippo,922,correct,NA,Mar 16 2023 12:51:32,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial009_avocado.wav,1,a,naming,9,avocado,1065,correct,NA,Mar 16 2023 12:51:52,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial010_lung.wav,1,a,naming,10,lung,1004,correct,NA,Mar 16 2023 12:52:28,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial011_dress.wav,1,a,naming,11,dress,759,correct,NA,Mar 16 2023 12:52:59,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial012_fireplace.wav,1,a,naming,12,fireplace,966,correct,NA,Mar 16 2023 12:53:30,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial013_bib.wav,1,a,naming,13,bib,903,correct,NA,Mar 16 2023 12:53:37,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial014_bike.wav,1,a,naming,14,bike,1008,correct,NA,Mar 16 2023 12:53:46,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial015_shower.wav,1,a,naming,15,shower,1046,correct,NA,Mar 16 2023 12:54:03,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial016_bullet.wav,1,a,naming,16,bullet,1049,correct,NA,Mar 16 2023 12:54:30,Agnieszka,1
5bbbc,5bbbc_session1_lista_naming_trial017_bell.wav,1,a,naming,17,bell,1438,correct,NA,Mar 16 2023 12:54:44,Agnieszka,1
