Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5d593,5d593_session1_lista_naming_trial001_bench.wav,1,a,naming,1,bench,1919,correct,NA,Mar 31 2023 11:14:53,Agnieszka,1
5d593,5d593_session1_lista_naming_trial002_hat.wav,1,a,naming,2,hat,623,correct,NA,Mar 31 2023 11:22:06,Agnieszka,1
5d593,5d593_session1_lista_naming_trial003_sword.wav,1,a,naming,3,sword,832,correct,NA,Mar 31 2023 11:22:14,Agnieszka,1
5d593,5d593_session1_lista_naming_trial004_bullet.wav,1,a,naming,4,bullet,1138,correct,NA,Mar 31 2023 11:22:44,Agnieszka,1
5d593,5d593_session1_lista_naming_trial005_compass.wav,1,a,naming,5,compass,1342,correct,NA,Mar 31 2023 11:24:38,Agnieszka,1
5d593,5d593_session1_lista_naming_trial006_ruler.wav,1,a,naming,6,ruler,918,correct,NA,Mar 31 2023 11:25:42,Agnieszka,1
5d593,5d593_session1_lista_naming_trial007_hippo.wav,1,a,naming,7,hippo,985,correct,NA,Mar 31 2023 11:26:04,Agnieszka,1
5d593,5d593_session1_lista_naming_trial008_bull.wav,1,a,naming,8,bull,1756,correct,NA,Mar 31 2023 11:26:11,Agnieszka,1
5d593,5d593_session1_lista_naming_trial009_wave.wav,1,a,naming,9,wave,1020,correct,NA,Mar 31 2023 11:26:27,Agnieszka,1
5d593,5d593_session1_lista_naming_trial010_flower.wav,1,a,naming,10,flower,718,correct,NA,Mar 31 2023 11:27:08,Agnieszka,1
5d593,5d593_session1_lista_naming_trial011_butter.wav,1,a,naming,11,butter,899,correct,NA,Mar 31 2023 11:27:16,Agnieszka,1
5d593,5d593_session1_lista_naming_trial012_windmill.wav,1,a,naming,12,windmill,753,correct,NA,Mar 31 2023 11:27:25,Agnieszka,1
5d593,5d593_session1_lista_naming_trial013_drum.wav,1,a,naming,13,drum,874,correct,NA,Mar 31 2023 11:27:33,Agnieszka,1
5d593,5d593_session1_lista_naming_trial014_peg.wav,1,a,naming,14,peg,782,correct,NA,Mar 31 2023 11:27:40,Agnieszka,1
5d593,5d593_session1_lista_naming_trial015_donkey.wav,1,a,naming,15,donkey,947,correct,NA,Mar 31 2023 11:27:46,Agnieszka,1
5d593,5d593_session1_lista_naming_trial016_lighter.wav,1,a,naming,16,lighter,785,correct,NA,Mar 31 2023 11:28:02,Agnieszka,1
5d593,5d593_session1_lista_naming_trial017_goat.wav,1,a,naming,17,goat,989,correct,NA,Mar 31 2023 11:28:14,Agnieszka,1
5d593,5d593_session1_lista_naming_trial018_book.wav,1,a,naming,18,book,985,correct,NA,Mar 31 2023 11:28:24,Agnieszka,1
5d593,5d593_session1_lista_naming_trial019_doctor.wav,1,a,naming,19,doctor,957,correct,NA,Mar 31 2023 11:28:32,Agnieszka,1
5d593,5d593_session1_lista_naming_trial020_snake.wav,1,a,naming,20,snake,756,correct,NA,Mar 31 2023 11:28:41,Agnieszka,1
5d593,5d593_session1_lista_naming_trial021_thumb.wav,1,a,naming,21,thumb,801,correct,NA,Mar 31 2023 11:29:06,Agnieszka,1
5d593,5d593_session1_lista_naming_trial022_tie.wav,1,a,naming,22,tie,750,correct,NA,Mar 31 2023 11:29:14,Agnieszka,1
5d593,5d593_session1_lista_naming_trial023_suit.wav,1,a,naming,23,suit,817,correct,NA,Mar 31 2023 11:29:22,Agnieszka,1
5d593,5d593_session1_lista_naming_trial024_computer.wav,1,a,naming,24,computer,832,correct,NA,Apr  3 2023 16:47:02,Agnieszka,1
5d593,5d593_session1_lista_naming_trial025_medal.wav,1,a,naming,25,medal,836,correct,NA,Apr  3 2023 16:47:10,Agnieszka,1
5d593,5d593_session1_lista_naming_trial026_kangaroo.wav,1,a,naming,26,kangaroo,899,correct,NA,Apr  3 2023 16:47:17,Agnieszka,1
5d593,5d593_session1_lista_naming_trial027_rabbit.wav,1,a,naming,27,rabbit,883,correct,NA,Apr  3 2023 16:47:25,Agnieszka,1
5d593,5d593_session1_lista_naming_trial028_crab.wav,1,a,naming,28,crab,794,correct,NA,Apr  3 2023 16:47:32,Agnieszka,1
5d593,5d593_session1_lista_naming_trial029_island.wav,1,a,naming,29,island,877,correct,NA,Apr  3 2023 16:47:44,Agnieszka,1
5d593,5d593_session1_lista_naming_trial030_judge.wav,1,a,naming,30,judge,1126,correct,NA,Apr  3 2023 16:47:51,Agnieszka,1
5d593,5d593_session1_lista_naming_trial031_scissors.wav,1,a,naming,31,scissors,679,correct,NA,Apr  3 2023 16:48:01,Agnieszka,1
5d593,5d593_session1_lista_naming_trial032_dice.wav,1,a,naming,32,dice,931,correct,NA,Apr  3 2023 16:48:10,Agnieszka,1
5d593,5d593_session1_lista_naming_trial033_onion.wav,1,a,naming,33,onion,785,correct,NA,Apr  3 2023 16:48:19,Agnieszka,1
5d593,5d593_session1_lista_naming_trial034_fork.wav,1,a,naming,34,fork,683,correct,NA,Apr  3 2023 16:48:30,Agnieszka,1
5d593,5d593_session1_lista_naming_trial035_tap.wav,1,a,naming,35,tap,829,correct,NA,Apr  3 2023 16:48:37,Agnieszka,1
5d593,5d593_session1_lista_naming_trial036_flag.wav,1,a,naming,36,flag,689,correct,NA,Apr  3 2023 16:48:45,Agnieszka,1
5d593,5d593_session1_lista_naming_trial037_battery.wav,1,a,naming,37,battery,708,correct,NA,Apr  3 2023 16:48:58,Agnieszka,1
5d593,5d593_session1_lista_naming_trial038_lighthouse.wav,1,a,naming,38,lighthouse,737,correct,NA,Apr  3 2023 16:49:06,Agnieszka,1
5d593,5d593_session1_lista_naming_trial039_curtain.wav,1,a,naming,39,curtain,1823,correct,NA,Apr  3 2023 16:49:15,Agnieszka,1
5d593,5d593_session1_lista_naming_trial040_potato.wav,1,a,naming,40,potato,839,correct,NA,Apr  3 2023 16:49:22,Agnieszka,1
5d593,5d593_session1_lista_naming_trial041_whale.wav,1,a,naming,41,whale,772,correct,NA,Apr  3 2023 16:49:32,Agnieszka,1
