Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5e779,5e779_session1_lista_naming_trial001_tattoo.wav,1,a,naming,1,tattoo,813,correct,NA,Mar 13 2023 10:51:44,Agnieszka,1
5e779,5e779_session1_lista_naming_trial002_fairy.wav,1,a,naming,2,fairy,657,correct,NA,Mar 13 2023 10:51:55,Agnieszka,1
5e779,5e779_session1_lista_naming_trial003_tree.wav,1,a,naming,3,tree,688,correct,NA,Mar 13 2023 10:52:07,Agnieszka,1
5e779,5e779_session1_lista_naming_trial004_book.wav,1,a,naming,4,book,638,correct,NA,Mar 13 2023 10:52:15,Agnieszka,1
5e779,5e779_session1_lista_naming_trial005_elbow.wav,1,a,naming,5,elbow,705,correct,NA,Mar 13 2023 10:52:33,Agnieszka,1
5e779,5e779_session1_lista_naming_trial006_suit.wav,1,a,naming,6,suit,705,correct,NA,Mar 13 2023 10:52:42,Agnieszka,1
5e779,5e779_session1_lista_naming_trial007_tractor.wav,1,a,naming,7,tractor,1020,correct,NA,Mar 13 2023 10:52:50,Agnieszka,1
5e779,5e779_session1_lista_naming_trial008_bottle.wav,1,a,naming,8,bottle,839,correct,NA,Mar 13 2023 10:52:58,Agnieszka,1
5e779,5e779_session1_lista_naming_trial009_bull.wav,1,a,naming,9,bull,861,correct,NA,Mar 13 2023 10:53:05,Agnieszka,1
5e779,5e779_session1_lista_naming_trial010_potato.wav,1,a,naming,10,potato,683,correct,NA,Mar 13 2023 10:53:21,Agnieszka,1
5e779,5e779_session1_lista_naming_trial011_camel.wav,1,a,naming,11,camel,727,correct,NA,Mar 13 2023 10:53:29,Agnieszka,1
5e779,5e779_session1_lista_naming_trial012_suitcase.wav,1,a,naming,12,suitcase,654,correct,NA,Mar 13 2023 10:53:39,Agnieszka,1
5e779,5e779_session1_lista_naming_trial013_koala.wav,1,a,naming,13,koala,829,correct,NA,Mar 13 2023 10:53:53,Agnieszka,1
5e779,5e779_session1_lista_naming_trial014_saw.wav,1,a,naming,14,saw,737,correct,NA,Mar 13 2023 10:54:40,Agnieszka,1
5e779,5e779_session1_lista_naming_trial015_bike.wav,1,a,naming,15,bike,-1,wrong_word,NA,Mar 13 2023 10:54:46,Agnieszka,1
5e779,5e779_session1_lista_naming_trial016_limo.wav,1,a,naming,16,limo,673,correct,NA,Mar 13 2023 10:54:55,Agnieszka,1
5e779,5e779_session1_lista_naming_trial017_tambourine.wav,1,a,naming,17,tambourine,743,correct,NA,Mar 13 2023 10:55:06,Agnieszka,1
5e779,5e779_session1_lista_naming_trial018_lighthouse.wav,1,a,naming,18,lighthouse,686,correct,NA,Mar 13 2023 10:55:17,Agnieszka,1
5e779,5e779_session1_lista_naming_trial019_queen.wav,1,a,naming,19,queen,689,correct,NA,Mar 13 2023 10:55:25,Agnieszka,1
5e779,5e779_session1_lista_naming_trial020_onion.wav,1,a,naming,20,onion,699,correct,NA,Mar 13 2023 10:55:34,Agnieszka,1
5e779,5e779_session1_lista_naming_trial021_jellyfish.wav,1,a,naming,21,jellyfish,686,correct,NA,Mar 13 2023 10:55:42,Agnieszka,1
5e779,5e779_session1_lista_naming_trial022_fork.wav,1,a,naming,22,fork,696,correct,NA,Mar 13 2023 10:55:49,Agnieszka,1
5e779,5e779_session1_lista_naming_trial023_curtain.wav,1,a,naming,23,curtain,743,correct,NA,Mar 13 2023 10:55:56,Agnieszka,1
5e779,5e779_session1_lista_naming_trial024_shield.wav,1,a,naming,24,shield,686,correct,NA,Mar 13 2023 10:56:07,Agnieszka,1
5e779,5e779_session1_lista_naming_trial025_peg.wav,1,a,naming,25,peg,718,correct,NA,Mar 13 2023 10:56:14,Agnieszka,1
5e779,5e779_session1_lista_naming_trial026_mountain.wav,1,a,naming,26,mountain,705,correct,NA,Mar 13 2023 10:56:21,Agnieszka,1
5e779,5e779_session1_lista_naming_trial027_bullet.wav,1,a,naming,27,bullet,807,correct,NA,Mar 13 2023 10:56:29,Agnieszka,1
5e779,5e779_session1_lista_naming_trial028_helicopter.wav,1,a,naming,28,helicopter,750,correct,NA,Mar 13 2023 10:56:36,Agnieszka,1
