Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
6048d,6048d_session1_lista_naming_trial001_pineapple.wav,1,a,naming,1,pineapple,670,correct,NA,Mar 14 2023 13:48:24,Agnieszka,1
6048d,6048d_session1_lista_naming_trial002_butterfly.wav,1,a,naming,2,butterfly,692,correct,NA,Mar 14 2023 13:48:34,Agnieszka,1
6048d,6048d_session1_lista_naming_trial003_kiwi.wav,1,a,naming,3,kiwi,794,correct,NA,Mar 14 2023 13:48:42,Agnieszka,1
6048d,6048d_session1_lista_naming_trial004_tray.wav,1,a,naming,4,tray,753,correct,NA,Mar 14 2023 13:48:56,Agnieszka,1
6048d,6048d_session1_lista_naming_trial005_peg.wav,1,a,naming,5,peg,801,correct,NA,Mar 14 2023 13:49:04,Agnieszka,1
6048d,6048d_session1_lista_naming_trial006_fairy.wav,1,a,naming,6,fairy,759,correct,NA,Mar 14 2023 13:49:13,Agnieszka,1
6048d,6048d_session1_lista_naming_trial007_medal.wav,1,a,naming,7,medal,772,correct,NA,Mar 14 2023 13:49:21,Agnieszka,1
6048d,6048d_session1_lista_naming_trial008_skirt.wav,1,a,naming,8,skirt,750,correct,NA,Mar 14 2023 13:49:30,Agnieszka,1
6048d,6048d_session1_lista_naming_trial009_rocket.wav,1,a,naming,9,rocket,1122,correct,NA,Mar 14 2023 13:49:38,Agnieszka,1
6048d,6048d_session1_lista_naming_trial010_pencil.wav,1,a,naming,10,pencil,954,correct,NA,Mar 14 2023 13:49:45,Agnieszka,1
6048d,6048d_session1_lista_naming_trial011_jellyfish.wav,1,a,naming,11,jellyfish,769,correct,NA,Mar 14 2023 13:49:56,Agnieszka,1
6048d,6048d_session1_lista_naming_trial012_tunnel.wav,1,a,naming,12,tunnel,874,correct,NA,Mar 14 2023 13:50:09,Agnieszka,1
6048d,6048d_session1_lista_naming_trial013_pocket.wav,1,a,naming,13,pocket,852,correct,NA,Mar 14 2023 13:50:18,Agnieszka,1
6048d,6048d_session1_lista_naming_trial014_bracelet.wav,1,a,naming,14,bracelet,979,correct,NA,Mar 14 2023 13:50:26,Agnieszka,1
6048d,6048d_session1_lista_naming_trial015_ruler.wav,1,a,naming,15,ruler,743,correct,NA,Mar 14 2023 13:50:40,Agnieszka,1
6048d,6048d_session1_lista_naming_trial016_cherry.wav,1,a,naming,16,cherry,820,correct,NA,Mar 14 2023 13:50:49,Agnieszka,1
6048d,6048d_session1_lista_naming_trial017_arm.wav,1,a,naming,17,arm,826,correct,NA,Mar 14 2023 13:51:03,Agnieszka,1
6048d,6048d_session1_lista_naming_trial018_wall.wav,1,a,naming,18,wall,906,correct,NA,Mar 14 2023 13:51:13,Agnieszka,1
6048d,6048d_session1_lista_naming_trial019_thumb.wav,1,a,naming,19,thumb,619,correct,NA,Mar 14 2023 13:51:21,Agnieszka,1
6048d,6048d_session1_lista_naming_trial020_donkey.wav,1,a,naming,20,donkey,705,correct,NA,Mar 14 2023 13:51:29,Agnieszka,1
6048d,6048d_session1_lista_naming_trial021_ghost.wav,1,a,naming,21,ghost,673,correct,NA,Mar 14 2023 13:51:37,Agnieszka,1
6048d,6048d_session1_lista_naming_trial022_wheelbarrow.wav,1,a,naming,22,wheelbarrow,801,correct,NA,Mar 14 2023 13:51:45,Agnieszka,1
6048d,6048d_session1_lista_naming_trial023_drum.wav,1,a,naming,23,drum,724,correct,NA,Mar 14 2023 13:51:54,Agnieszka,1
6048d,6048d_session1_lista_naming_trial024_bone.wav,1,a,naming,24,bone,845,correct,NA,Mar 14 2023 13:52:05,Agnieszka,1
6048d,6048d_session1_lista_naming_trial025_mouth.wav,1,a,naming,25,mouth,845,correct,NA,Mar 14 2023 13:52:13,Agnieszka,1
6048d,6048d_session1_lista_naming_trial026_star.wav,1,a,naming,26,star,562,correct,NA,Mar 14 2023 13:52:21,Agnieszka,1
6048d,6048d_session1_lista_naming_trial027_book.wav,1,a,naming,27,book,759,correct,NA,Mar 14 2023 13:52:31,Agnieszka,1
6048d,6048d_session1_lista_naming_trial028_tap.wav,1,a,naming,28,tap,740,correct,NA,Mar 14 2023 13:52:40,Agnieszka,1
6048d,6048d_session1_lista_naming_trial029_key.wav,1,a,naming,29,key,756,correct,NA,Mar 14 2023 13:52:49,Agnieszka,1
6048d,6048d_session1_lista_naming_trial030_candle.wav,1,a,naming,30,candle,1635,correct,NA,Mar 14 2023 13:53:02,Agnieszka,1
6048d,6048d_session1_lista_naming_trial031_whale.wav,1,a,naming,31,whale,632,correct,NA,Mar 14 2023 13:53:11,Agnieszka,1
6048d,6048d_session1_lista_naming_trial032_rose.wav,1,a,naming,32,rose,718,correct,NA,Mar 14 2023 13:53:18,Agnieszka,1
6048d,6048d_session1_lista_naming_trial033_doughnut.wav,1,a,naming,33,doughnut,756,correct,NA,Mar 14 2023 13:53:35,Agnieszka,1
6048d,6048d_session1_lista_naming_trial034_cork.wav,1,a,naming,34,cork,925,correct,NA,Mar 14 2023 13:53:46,Agnieszka,1
6048d,6048d_session1_lista_naming_trial035_clown.wav,1,a,naming,35,clown,855,correct,NA,Mar 14 2023 13:54:00,Agnieszka,1
6048d,6048d_session1_lista_naming_trial036_kitchen.wav,1,a,naming,36,kitchen,909,correct,NA,Mar 14 2023 13:54:13,Agnieszka,1
6048d,6048d_session1_lista_naming_trial037_rabbit.wav,1,a,naming,37,rabbit,673,correct,NA,Mar 14 2023 13:54:27,Agnieszka,1
6048d,6048d_session1_lista_naming_trial038_bike.wav,1,a,naming,38,bike,-1,wrong_word,NA,Mar 14 2023 13:54:33,Agnieszka,1
6048d,6048d_session1_lista_naming_trial039_plumber.wav,1,a,naming,39,plumber,832,correct,NA,Mar 14 2023 13:54:41,Agnieszka,1
6048d,6048d_session1_lista_naming_trial040_helicopter.wav,1,a,naming,40,helicopter,785,correct,NA,Mar 14 2023 13:54:52,Agnieszka,1
6048d,6048d_session1_lista_naming_trial041_submarine.wav,1,a,naming,41,submarine,804,correct,NA,Mar 14 2023 13:55:01,Agnieszka,1
6048d,6048d_session1_lista_naming_trial042_onion.wav,1,a,naming,42,onion,775,correct,NA,Mar 14 2023 13:55:13,Agnieszka,1
6048d,6048d_session1_lista_naming_trial043_tree.wav,1,a,naming,43,tree,645,correct,NA,Mar 14 2023 13:55:22,Agnieszka,1
6048d,6048d_session1_lista_naming_trial044_zip.wav,1,a,naming,44,zip,836,correct,NA,Mar 14 2023 13:55:30,Agnieszka,1
6048d,6048d_session1_lista_naming_trial045_sun.wav,1,a,naming,45,sun,727,correct,NA,Mar 14 2023 13:55:37,Agnieszka,1
6048d,6048d_session1_lista_naming_trial046_shoe.wav,1,a,naming,46,shoe,874,correct,NA,Mar 14 2023 13:55:47,Agnieszka,1
6048d,6048d_session1_lista_naming_trial047_pepper.wav,1,a,naming,47,pepper,766,correct,NA,Mar 14 2023 13:55:57,Agnieszka,1
6048d,6048d_session1_lista_naming_trial048_doctor.wav,1,a,naming,48,doctor,906,correct,NA,Mar 14 2023 13:56:09,Agnieszka,1
6048d,6048d_session1_lista_naming_trial049_mermaid.wav,1,a,naming,49,mermaid,823,correct,NA,Mar 14 2023 13:56:38,Agnieszka,1
6048d,6048d_session1_lista_naming_trial050_tiger.wav,1,a,naming,50,tiger,762,correct,NA,Mar 14 2023 13:56:54,Agnieszka,1
6048d,6048d_session1_lista_naming_trial051_basket.wav,1,a,naming,51,basket,934,correct,NA,Mar 14 2023 13:57:02,Agnieszka,1
6048d,6048d_session1_lista_naming_trial052_carrot.wav,1,a,naming,52,carrot,762,correct,NA,Mar 14 2023 13:57:15,Agnieszka,1
6048d,6048d_session1_lista_naming_trial053_fox.wav,1,a,naming,53,fox,912,correct,NA,Mar 14 2023 13:57:21,Agnieszka,1
6048d,6048d_session1_lista_naming_trial054_queen.wav,1,a,naming,54,queen,957,correct,NA,Mar 14 2023 13:57:31,Agnieszka,1
6048d,6048d_session1_lista_naming_trial055_island.wav,1,a,naming,55,island,1126,correct,NA,Mar 14 2023 13:57:42,Agnieszka,1
