Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
60cfd,60cfd_session1_lista_naming_trial001_key.wav,1,a,naming,1,key,1075,correct,NA,Apr  4 2023 10:55:18,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial002_doctor.wav,1,a,naming,2,doctor,998,correct,NA,Apr  4 2023 10:55:28,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial003_bull.wav,1,a,naming,3,bull,1224,correct,NA,Apr  4 2023 10:55:37,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial004_bear.wav,1,a,naming,4,bear,899,correct,NA,Apr  4 2023 10:55:48,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial005_limo.wav,1,a,naming,5,limo,887,correct,NA,Apr  4 2023 10:55:57,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial006_tractor.wav,1,a,naming,6,tractor,918,correct,NA,Apr  4 2023 10:56:05,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial007_submarine.wav,1,a,naming,7,submarine,1068,correct,NA,Apr  4 2023 10:56:16,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial008_sausage.wav,1,a,naming,8,sausage,1170,correct,NA,Apr  4 2023 10:56:24,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial009_apple.wav,1,a,naming,9,apple,1052,correct,NA,Apr  4 2023 10:56:32,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial010_shield.wav,1,a,naming,10,shield,1017,correct,NA,Apr  4 2023 10:56:40,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial011_windmill.wav,1,a,naming,11,windmill,1355,correct,NA,Apr  4 2023 10:56:47,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial012_arrow.wav,1,a,naming,12,arrow,1188,correct,NA,Apr  4 2023 10:56:55,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial013_pear.wav,1,a,naming,13,pear,1011,correct,NA,Apr  4 2023 10:57:04,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial014_wave.wav,1,a,naming,14,wave,1011,correct,NA,Apr  4 2023 10:57:12,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial015_zip.wav,1,a,naming,15,zip,1262,correct,NA,Apr  4 2023 10:57:19,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial016_tiger.wav,1,a,naming,16,tiger,1476,correct,NA,Apr  4 2023 10:57:27,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial017_kangaroo.wav,1,a,naming,17,kangaroo,934,correct,NA,Apr  4 2023 10:57:34,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial018_fridge.wav,1,a,naming,18,fridge,941,correct,NA,Apr  4 2023 10:57:45,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial019_arm.wav,1,a,naming,19,arm,1237,correct,NA,Apr  4 2023 10:57:56,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial020_lung.wav,1,a,naming,20,lung,1075,correct,NA,Apr  4 2023 10:58:06,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial021_whale.wav,1,a,naming,21,whale,1199,correct,NA,Apr  4 2023 10:58:22,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial022_sword.wav,1,a,naming,22,sword,1017,correct,NA,Apr  4 2023 10:58:30,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial023_bullet.wav,1,a,naming,23,bullet,1119,correct,NA,Apr  4 2023 10:58:38,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial024_rose.wav,1,a,naming,24,rose,934,correct,NA,Apr  4 2023 10:58:45,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial025_clown.wav,1,a,naming,25,clown,1116,correct,NA,Apr  4 2023 10:59:02,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial026_teacher.wav,1,a,naming,26,teacher,1304,correct,NA,Apr  4 2023 10:59:08,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial027_zebra.wav,1,a,naming,27,zebra,918,correct,NA,Apr  4 2023 10:59:17,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial028_jellyfish.wav,1,a,naming,28,jellyfish,1310,correct,NA,Apr  4 2023 10:59:30,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial029_fence.wav,1,a,naming,29,fence,1071,correct,NA,Apr  4 2023 10:59:43,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial030_plumber.wav,1,a,naming,30,plumber,1396,correct,NA,Apr  4 2023 10:59:50,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial031_pencil.wav,1,a,naming,31,pencil,1052,correct,NA,Apr  4 2023 10:59:58,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial032_tomato.wav,1,a,naming,32,tomato,915,correct,NA,Apr  4 2023 11:00:11,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial033_ruler.wav,1,a,naming,33,ruler,960,correct,NA,Apr  4 2023 11:00:22,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial034_comb.wav,1,a,naming,34,comb,1200,correct,NA,Apr  4 2023 11:00:30,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial035_triangle.wav,1,a,naming,35,triangle,1014,correct,NA,Apr  4 2023 11:00:38,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial036_battery.wav,1,a,naming,36,battery,1173,correct,NA,Apr  4 2023 11:00:46,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial037_wing.wav,1,a,naming,37,wing,1094,correct,NA,Apr  4 2023 11:00:53,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial038_tambourine.wav,1,a,naming,38,tambourine,1212,correct,NA,Apr  4 2023 11:00:59,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial039_bench.wav,1,a,naming,39,bench,1164,correct,NA,Apr  4 2023 11:01:06,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial040_nest.wav,1,a,naming,40,nest,1132,correct,NA,Apr  4 2023 11:01:13,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial041_tap.wav,1,a,naming,41,tap,995,correct,NA,Apr  4 2023 11:01:20,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial042_knife.wav,1,a,naming,42,knife,1094,correct,NA,Apr  4 2023 11:01:27,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial043_tray.wav,1,a,naming,43,tray,1062,correct,NA,Apr  4 2023 11:01:35,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial044_pepper.wav,1,a,naming,44,pepper,1008,correct,NA,Apr  4 2023 11:01:42,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial045_circle.wav,1,a,naming,45,circle,874,correct,NA,Apr  4 2023 11:01:50,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial046_shower.wav,1,a,naming,46,shower,1431,correct,NA,Apr  4 2023 11:01:58,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial047_donkey.wav,1,a,naming,47,donkey,1199,correct,NA,Apr  4 2023 11:02:10,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial048_kite.wav,1,a,naming,48,kite,1368,correct,NA,Apr  4 2023 11:02:23,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial049_mountain.wav,1,a,naming,49,mountain,1049,correct,NA,Apr  4 2023 11:02:29,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial050_medal.wav,1,a,naming,50,medal,899,correct,NA,Apr  4 2023 11:02:37,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial051_fox.wav,1,a,naming,51,fox,941,correct,NA,Apr  4 2023 11:02:45,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial052_fairy.wav,1,a,naming,52,fairy,1250,correct,NA,Apr  4 2023 11:02:55,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial053_snake.wav,1,a,naming,53,snake,941,correct,NA,Apr  4 2023 11:03:05,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial054_koala.wav,1,a,naming,54,koala,963,correct,NA,Apr  4 2023 11:03:51,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial055_dummy.wav,1,a,naming,55,dummy,1466,correct,NA,Apr  4 2023 11:04:03,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial056_beak.wav,1,a,naming,56,beak,1097,correct,NA,Apr  4 2023 11:04:11,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial057_lamp.wav,1,a,naming,57,lamp,1345,correct,NA,Apr  4 2023 11:04:20,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial058_map.wav,1,a,naming,58,map,1253,correct,NA,Apr  4 2023 11:04:27,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial059_squirrel.wav,1,a,naming,59,squirrel,1129,correct,NA,Apr  4 2023 11:04:35,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial060_orange.wav,1,a,naming,60,orange,1004,correct,NA,Apr  4 2023 11:04:42,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial061_pineapple.wav,1,a,naming,61,pineapple,839,correct,NA,Apr  4 2023 11:04:53,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial062_dice.wav,1,a,naming,62,dice,973,correct,NA,Apr  4 2023 11:05:00,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial063_bike.wav,1,a,naming,63,bike,1479,correct,NA,Apr  4 2023 11:05:08,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial064_wheelbarrow.wav,1,a,naming,64,wheelbarrow,1043,correct,NA,Apr  4 2023 11:05:15,Agnieszka,1
60cfd,60cfd_session1_lista_naming_trial065_judge.wav,1,a,naming,65,judge,1215,correct,NA,Apr  4 2023 11:05:22,Agnieszka,1
