Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
62ea8,62ea8_session1_lista_naming_trial001_mermaid.wav,1,a,naming,1,mermaid,719,correct,NA,Mar 14 2023 11:46:27,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial002_dice.wav,1,a,naming,2,dice,-1,wrong_word,NA,Mar 14 2023 11:46:33,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial003_heel.wav,1,a,naming,3,heel,718,correct,NA,Mar 14 2023 11:46:49,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial004_crab.wav,1,a,naming,4,crab,775,correct,NA,Mar 14 2023 11:46:59,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial005_bear.wav,1,a,naming,5,bear,759,correct,NA,Mar 14 2023 11:47:09,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial006_circle.wav,1,a,naming,6,circle,696,correct,NA,Mar 14 2023 11:47:17,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial007_pineapple.wav,1,a,naming,7,pineapple,883,correct,NA,Mar 14 2023 11:47:24,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial008_tattoo.wav,1,a,naming,8,tattoo,-1,wrong_word,NA,Mar 14 2023 11:47:31,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial009_lighter.wav,1,a,naming,9,lighter,797,correct,NA,Mar 14 2023 11:47:43,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial010_helicopter.wav,1,a,naming,10,helicopter,772,correct,NA,Mar 14 2023 11:47:54,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial011_drawer.wav,1,a,naming,11,drawer,858,correct,NA,Mar 14 2023 11:48:02,Agnieszka,1
62ea8,62ea8_session1_lista_naming_trial012_orange.wav,1,a,naming,12,orange,931,correct,NA,Mar 14 2023 11:48:21,Agnieszka,1
