Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5664b,5664b_session1_lista_speeded_trial001_robot.wav,1,a,peeded,1,robot,1194,correct,NA,May  1 2023 10:38:06,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial002_tambourine.wav,1,a,peeded,2,tambourine,731,correct,NA,May  1 2023 10:38:15,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial003_compass.wav,1,a,peeded,3,compass,741,correct,NA,May  1 2023 10:38:37,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial004_onion.wav,1,a,peeded,4,onion,727,correct,NA,May  1 2023 10:38:43,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial005_flower.wav,1,a,peeded,5,flower,694,correct,NA,May  1 2023 10:38:58,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial006_bike.wav,1,a,peeded,6,bike,635,correct,NA,May  1 2023 10:39:05,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial007_doughnut.wav,1,a,peeded,7,doughnut,687,correct,NA,May  1 2023 10:39:11,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial008_dress.wav,1,a,peeded,8,dress,658,correct,NA,May  1 2023 10:39:50,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial009_curtain.wav,1,a,peeded,9,curtain,828,correct,NA,May  1 2023 10:40:03,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial010_wheelbarrow.wav,1,a,peeded,10,wheelbarrow,849,correct,NA,May  1 2023 10:40:17,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial011_tomato.wav,1,a,peeded,11,tomato,-1,uncertain,"mato" seems like "to" wasn't said or recorded,May  1 2023 10:41:34,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial012_drawer.wav,1,a,peeded,12,drawer,-1,wrong_word,NA,May  1 2023 10:41:43,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial013_pineapple.wav,1,a,peeded,13,pineapple,1282,correct,NA,May  1 2023 10:41:49,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial014_flag.wav,1,a,peeded,14,flag,789,correct,NA,May  1 2023 10:41:59,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial015_rose.wav,1,a,peeded,15,rose,800,correct,NA,May  1 2023 10:42:17,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial016_fork.wav,1,a,peeded,16,fork,912,correct,NA,May  1 2023 10:42:31,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial017_mouth.wav,1,a,peeded,17,mouth,674,correct,NA,May  1 2023 10:42:37,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial018_teacher.wav,1,a,peeded,18,teacher,1067,correct,NA,May  1 2023 10:42:51,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial019_nest.wav,1,a,peeded,19,nest,1242,correct,NA,May  1 2023 10:43:08,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial020_kangaroo.wav,1,a,peeded,20,kangaroo,829,correct,NA,May  1 2023 10:43:24,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial021_mountain.wav,1,a,peeded,21,mountain,723,correct,NA,May  1 2023 10:43:30,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial022_computer.wav,1,a,peeded,22,computer,764,correct,NA,May  1 2023 10:43:43,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial023_rhino.wav,1,a,peeded,23,rhino,1093,correct,NA,May  1 2023 10:43:52,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial024_tunnel.wav,1,a,peeded,24,tunnel,-1,wrong_word,NA,May  1 2023 10:43:58,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial025_crab.wav,1,a,peeded,25,crab,746,correct,NA,May  1 2023 10:44:12,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial026_bus.wav,1,a,peeded,26,bus,688,correct,NA,May  1 2023 10:44:32,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial027_mermaid.wav,1,a,peeded,27,mermaid,1106,correct,NA,May  1 2023 10:44:47,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial028_carrot.wav,1,a,peeded,28,carrot,802,correct,NA,May  1 2023 10:44:58,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial029_elbow.wav,1,a,peeded,29,elbow,1093,correct,NA,May  1 2023 10:45:03,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial030_tongue.wav,1,a,peeded,30,tongue,890,correct,NA,May  1 2023 10:45:09,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial031_bench.wav,1,a,peeded,31,bench,-1,disfluency,NA,May  1 2023 10:45:28,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial032_beak.wav,1,a,peeded,32,beak,810,correct,NA,May  1 2023 10:45:34,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial033_plumber.wav,1,a,peeded,33,plumber,810,correct,NA,May  1 2023 10:45:40,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial034_snake.wav,1,a,peeded,34,snake,694,correct,NA,May  1 2023 10:45:51,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial035_tap.wav,1,a,peeded,35,tap,1027,correct,NA,May  1 2023 10:47:50,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial036_bone.wav,1,a,peeded,36,bone,1247,correct,NA,May  1 2023 10:47:57,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial037_fridge.wav,1,a,peeded,37,fridge,1079,correct,NA,May  1 2023 10:49:02,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial038_whale.wav,1,a,peeded,38,whale,1194,correct,NA,May  1 2023 10:49:11,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial039_net.wav,1,a,peeded,39,net,1154,correct,NA,May  1 2023 10:49:19,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial040_arm.wav,1,a,peeded,40,arm,1357,correct,NA,May  1 2023 10:49:25,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial041_fox.wav,1,a,peeded,41,fox,-1,no_resp,NA,May  1 2023 10:49:31,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial042_clown.wav,1,a,peeded,42,clown,757,correct,NA,May  1 2023 10:50:04,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial043_windmill.wav,1,a,peeded,43,windmill,996,correct,NA,May  1 2023 10:50:14,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial044_doctor.wav,1,a,peeded,44,doctor,921,correct,NA,May  1 2023 10:51:16,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial045_hat.wav,1,a,peeded,45,hat,782,correct,NA,May  1 2023 10:51:24,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial046_caterpillar.wav,1,a,peeded,46,caterpillar,730,correct,NA,May  1 2023 10:51:40,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial047_tractor.wav,1,a,peeded,47,tractor,1132,correct,NA,May  1 2023 10:51:45,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial048_pear.wav,1,a,peeded,48,pear,1361,correct,NA,May  1 2023 10:51:50,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial049_fireplace.wav,1,a,peeded,49,fireplace,-1,uncertain,cut off after "fi",May  1 2023 10:52:24,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial050_kite.wav,1,a,peeded,50,kite,1242,uncertain,starts with previous word,May  1 2023 10:53:15,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial051_suit.wav,1,a,peeded,51,suit,970,correct,NA,May  1 2023 10:53:38,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial052_avocado.wav,1,a,peeded,52,avocado,1018,correct,NA,May  1 2023 10:53:44,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial053_lighthouse.wav,1,a,peeded,53,lighthouse,1233,correct,NA,May  1 2023 10:53:53,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial054_dummy.wav,1,a,peeded,54,dummy,1049,correct,NA,May  1 2023 10:53:58,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial055_peg.wav,1,a,peeded,55,peg,1063,correct,NA,May  1 2023 10:54:10,Agnieszka,1
5664b,5664b_session1_lista_speeded_trial056_potato.wav,1,a,peeded,56,potato,-1,uncertain,NA,May  1 2023 10:54:38,Agnieszka,1
