Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5ea98,5ea98_session1_lista_speeded_trial001_fireplace.wav,1,a,peeded,1,fireplace,1142,correct,NA,Apr 26 2023 08:22:00,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial002_candle.wav,1,a,peeded,2,candle,645,correct,NA,Apr 26 2023 08:22:17,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial003_donkey.wav,1,a,peeded,3,donkey,699,correct,NA,Apr 26 2023 08:22:40,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial004_teacher.wav,1,a,peeded,4,teacher,780,correct,NA,Apr 26 2023 08:22:59,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial005_doctor.wav,1,a,peeded,5,doctor,668,correct,NA,Apr 26 2023 08:23:16,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial006_bottle.wav,1,a,peeded,6,bottle,676,correct,NA,Apr 26 2023 08:23:29,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial007_pipe.wav,1,a,peeded,7,pipe,646,correct,NA,Apr 26 2023 08:23:43,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial008_wheelbarrow.wav,1,a,peeded,8,wheelbarrow,717,correct,NA,Apr 26 2023 08:23:57,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial009_drawer.wav,1,a,peeded,9,drawer,651,correct,NA,Apr 26 2023 08:24:12,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial010_kitchen.wav,1,a,peeded,10,kitchen,646,correct,NA,Apr 26 2023 08:24:36,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial011_potato.wav,1,a,peeded,11,potato,713,correct,NA,Apr 26 2023 08:24:55,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial012_tiger.wav,1,a,peeded,12,tiger,585,correct,NA,Apr 26 2023 08:25:08,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial013_bracelet.wav,1,a,peeded,13,bracelet,745,correct,NA,Apr 26 2023 08:25:19,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial014_flower.wav,1,a,peeded,14,flower,814,correct,NA,Apr 26 2023 08:25:32,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial015_island.wav,1,a,peeded,15,island,704,correct,NA,Apr 26 2023 08:25:45,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial016_heel.wav,1,a,peeded,16,heel,-1,wrong_word,NA,Apr 26 2023 08:25:52,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial017_knife.wav,1,a,peeded,17,knife,707,correct,NA,Apr 26 2023 08:26:05,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial018_cherry.wav,1,a,peeded,18,cherry,774,correct,NA,Apr 26 2023 08:26:24,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial019_suit.wav,1,a,peeded,19,suit,691,correct,NA,Apr 26 2023 08:26:35,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial020_dress.wav,1,a,peeded,20,dress,623,correct,NA,Apr 26 2023 08:26:48,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial021_tractor.wav,1,a,peeded,21,tractor,641,correct,NA,Apr 26 2023 08:27:00,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial022_tunnel.wav,1,a,peeded,22,tunnel,717,correct,NA,Apr 26 2023 08:27:12,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial023_clown.wav,1,a,peeded,23,clown,619,correct,NA,Apr 26 2023 08:27:31,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial024_judge.wav,1,a,peeded,24,judge,772,correct,NA,Apr 26 2023 08:27:42,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial025_bone.wav,1,a,peeded,25,bone,611,correct,NA,Apr 26 2023 08:27:57,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial026_squirrel.wav,1,a,peeded,26,squirrel,600,correct,NA,Apr 26 2023 08:28:08,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial027_plumber.wav,1,a,peeded,27,plumber,714,correct,NA,Apr 26 2023 08:28:21,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial028_bench.wav,1,a,peeded,28,bench,625,correct,NA,Apr 26 2023 08:28:31,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial029_lighthouse.wav,1,a,peeded,29,lighthouse,631,correct,NA,Apr 26 2023 08:28:44,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial030_dummy.wav,1,a,peeded,30,dummy,666,correct,NA,Apr 26 2023 08:28:56,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial031_shield.wav,1,a,peeded,31,shield,581,correct,NA,Apr 26 2023 08:29:07,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial032_sword.wav,1,a,peeded,32,sword,588,correct,NA,Apr 26 2023 08:29:18,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial033_dice.wav,1,a,peeded,33,dice,572,correct,NA,Apr 26 2023 08:29:31,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial034_compass.wav,1,a,peeded,34,compass,1152,correct,NA,Apr 26 2023 08:30:27,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial035_wave.wav,1,a,peeded,35,wave,687,correct,NA,Apr 26 2023 08:30:38,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial036_arrow.wav,1,a,peeded,36,arrow,697,correct,NA,Apr 26 2023 08:30:55,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial037_boxer.wav,1,a,peeded,37,boxer,627,correct,NA,Apr 26 2023 08:31:07,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial038_sausage.wav,1,a,peeded,38,sausage,595,correct,NA,Apr 26 2023 08:31:21,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial039_tray.wav,1,a,peeded,39,tray,571,correct,NA,Apr 26 2023 08:31:36,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial040_doughnut.wav,1,a,peeded,40,doughnut,615,correct,NA,Apr 26 2023 08:31:50,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial041_tie.wav,1,a,peeded,41,tie,621,correct,NA,Apr 26 2023 08:32:03,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial042_tomato.wav,1,a,peeded,42,tomato,1097,correct,NA,Apr 26 2023 08:33:03,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial043_skirt.wav,1,a,peeded,43,skirt,706,correct,NA,Apr 26 2023 08:33:13,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial044_orange.wav,1,a,peeded,44,orange,679,correct,NA,Apr 26 2023 08:33:24,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial045_kiwi.wav,1,a,peeded,45,kiwi,699,correct,NA,Apr 26 2023 08:33:38,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial046_glove.wav,1,a,peeded,46,glove,636,correct,NA,Apr 26 2023 08:33:52,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial047_coat.wav,1,a,peeded,47,coat,854,correct,NA,Apr 26 2023 08:34:06,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial048_basket.wav,1,a,peeded,48,basket,650,correct,NA,Apr 26 2023 08:34:18,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial049_thumb.wav,1,a,peeded,49,thumb,595,correct,NA,Apr 26 2023 08:34:41,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial050_koala.wav,1,a,peeded,50,koala,779,correct,NA,Apr 26 2023 08:34:52,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial051_wall.wav,1,a,peeded,51,wall,-1,wrong_word,NA,Apr 26 2023 08:35:03,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial052_tambourine.wav,1,a,peeded,52,tambourine,671,correct,NA,Apr 26 2023 08:35:16,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial053_butter.wav,1,a,peeded,53,butter,829,correct,NA,Apr 26 2023 08:35:28,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial054_windmill.wav,1,a,peeded,54,windmill,-1,no_resp,NA,Apr 26 2023 08:35:35,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial055_tree.wav,1,a,peeded,55,tree,684,correct,NA,Apr 26 2023 08:35:57,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial056_queen.wav,1,a,peeded,56,queen,709,correct,NA,Apr 26 2023 08:36:09,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial057_owl.wav,1,a,peeded,57,owl,690,correct,NA,Apr 26 2023 08:36:21,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial058_ear.wav,1,a,peeded,58,ear,702,correct,NA,Apr 26 2023 08:36:33,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial059_star.wav,1,a,peeded,59,star,575,correct,NA,Apr 26 2023 08:36:44,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial060_zebra.wav,1,a,peeded,60,zebra,571,correct,NA,Apr 26 2023 08:36:55,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial061_pineapple.wav,1,a,peeded,61,pineapple,855,correct,NA,Apr 26 2023 08:37:20,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial062_hat.wav,1,a,peeded,62,hat,612,correct,NA,Apr 26 2023 08:37:31,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial063_curtain.wav,1,a,peeded,63,curtain,706,correct,NA,Apr 26 2023 08:37:41,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial064_gym.wav,1,a,peeded,64,gym,831,correct,NA,Apr 26 2023 08:37:53,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial065_limo.wav,1,a,peeded,65,limo,-1,wrong_word,NA,Apr 26 2023 08:38:13,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial066_circle.wav,1,a,peeded,66,circle,-1,no_resp,NA,Apr 26 2023 08:38:18,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial067_arm.wav,1,a,peeded,67,arm,631,correct,NA,Apr 26 2023 08:38:38,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial068_submarine.wav,1,a,peeded,68,submarine,-1,wrong_word,NA,Apr 26 2023 08:38:54,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial069_shower.wav,1,a,peeded,69,shower,888,correct,NA,Apr 26 2023 08:39:06,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial070_triangle.wav,1,a,peeded,70,triangle,557,correct,NA,Apr 26 2023 08:39:17,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial071_olive.wav,1,a,peeded,71,olive,809,correct,NA,Apr 26 2023 08:39:28,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial072_snake.wav,1,a,peeded,72,snake,549,correct,NA,Apr 26 2023 08:39:40,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial073_caterpillar.wav,1,a,peeded,73,caterpillar,619,correct,NA,Apr 26 2023 08:39:52,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial074_train.wav,1,a,peeded,74,train,597,correct,NA,Apr 26 2023 08:40:03,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial075_crab.wav,1,a,peeded,75,crab,621,correct,NA,Apr 26 2023 08:40:15,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial076_elbow.wav,1,a,peeded,76,elbow,737,correct,NA,Apr 26 2023 08:40:26,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial077_battery.wav,1,a,peeded,77,battery,621,correct,NA,Apr 26 2023 08:40:37,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial078_camel.wav,1,a,peeded,78,camel,629,correct,NA,Apr 26 2023 08:40:48,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial079_tap.wav,1,a,peeded,79,tap,631,correct,NA,Apr 26 2023 08:40:59,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial080_onion.wav,1,a,peeded,80,onion,912,correct,NA,Apr 26 2023 08:41:08,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial081_scissors.wav,1,a,peeded,81,scissors,592,correct,NA,Apr 26 2023 08:41:20,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial082_saw.wav,1,a,peeded,82,saw,570,correct,NA,Apr 26 2023 08:41:33,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial083_goat.wav,1,a,peeded,83,goat,685,correct,NA,Apr 26 2023 08:41:46,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial084_nest.wav,1,a,peeded,84,nest,721,correct,NA,Apr 26 2023 08:41:57,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial085_bear.wav,1,a,peeded,85,bear,-1,wrong_word,NA,Apr 26 2023 08:45:13,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial086_soap.wav,1,a,peeded,86,soap,710,correct,NA,Apr 26 2023 08:45:20,Valentina,1
5ea98,5ea98_session1_lista_speeded_trial087_lung.wav,1,a,peeded,87,lung,-1,wrong_word,NA,Apr 26 2023 08:45:25,Valentina,1
