Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5f31a,5f31a_session1_lista_speeded_trial001_gym.wav,1,a,peeded,1,gym,-1,no_resp,NA,Apr 26 2023 11:06:30,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial002_kangaroo.wav,1,a,peeded,2,kangaroo,-1,disfluency,and starts with the previous word,Apr 26 2023 11:06:41,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial003_dress.wav,1,a,peeded,3,dress,784,correct,NA,Apr 26 2023 11:06:53,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial004_battery.wav,1,a,peeded,4,battery,901,correct,NA,Apr 26 2023 11:06:59,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial005_olive.wav,1,a,peeded,5,olive,861,correct,NA,Apr 26 2023 11:07:08,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial006_mountain.wav,1,a,peeded,6,mountain,863,correct,NA,Apr 26 2023 11:07:14,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial007_kitchen.wav,1,a,peeded,7,kitchen,914,correct,NA,Apr 26 2023 11:07:30,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial008_lighter.wav,1,a,peeded,8,lighter,971,correct,NA,Apr 26 2023 11:07:36,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial009_pipe.wav,1,a,peeded,9,pipe,849,correct,NA,Apr 26 2023 11:07:44,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial010_tie.wav,1,a,peeded,10,tie,764,correct,NA,Apr 26 2023 11:07:51,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial011_ear.wav,1,a,peeded,11,ear,713,correct,NA,Apr 26 2023 11:07:59,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial012_fox.wav,1,a,peeded,12,fox,706,correct,NA,Apr 26 2023 11:08:08,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial013_clown.wav,1,a,peeded,13,clown,845,correct,NA,Apr 26 2023 11:08:17,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial014_sausage.wav,1,a,peeded,14,sausage,778,correct,NA,Apr 26 2023 11:09:15,Agnieszka,1
5f31a,5f31a_session1_lista_speeded_trial015_donkey.wav,1,a,peeded,15,donkey,760,correct,NA,Apr 26 2023 11:09:31,Agnieszka,1
