Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
60217,60217_session1_lista_speeded_trial001_star.wav,1,a,peeded,1,star,601,correct,NA,Apr 18 2023 10:30:28,Agnieszka,1
60217,60217_session1_lista_speeded_trial002_drum.wav,1,a,peeded,2,drum,603,correct,NA,Apr 18 2023 10:30:34,Agnieszka,1
60217,60217_session1_lista_speeded_trial003_pepper.wav,1,a,peeded,3,pepper,608,correct,NA,Apr 18 2023 10:30:44,Agnieszka,1
60217,60217_session1_lista_speeded_trial004_olive.wav,1,a,peeded,4,olive,663,correct,NA,Apr 18 2023 10:31:00,Agnieszka,1
60217,60217_session1_lista_speeded_trial005_bottle.wav,1,a,peeded,5,bottle,628,correct,NA,Apr 18 2023 10:31:18,Agnieszka,1
60217,60217_session1_lista_speeded_trial006_hippo.wav,1,a,peeded,6,hippo,-1,wrong_word,NA,Apr 18 2023 10:31:24,Agnieszka,1
60217,60217_session1_lista_speeded_trial007_butterfly.wav,1,a,peeded,7,butterfly,770,correct,NA,Apr 18 2023 10:32:30,Agnieszka,1
60217,60217_session1_lista_speeded_trial008_nest.wav,1,a,peeded,8,nest,800,correct,NA,Apr 18 2023 10:32:38,Agnieszka,1
60217,60217_session1_lista_speeded_trial009_shower.wav,1,a,peeded,9,shower,601,correct,NA,Apr 18 2023 10:32:47,Agnieszka,1
60217,60217_session1_lista_speeded_trial010_robot.wav,1,a,peeded,10,robot,672,correct,NA,Apr 18 2023 10:32:53,Agnieszka,1
60217,60217_session1_lista_speeded_trial011_tambourine.wav,1,a,peeded,11,tambourine,-1,no_resp,NA,Apr 18 2023 10:32:58,Agnieszka,1
60217,60217_session1_lista_speeded_trial012_doctor.wav,1,a,peeded,12,doctor,699,correct,NA,Apr 18 2023 10:33:06,Agnieszka,1
60217,60217_session1_lista_speeded_trial013_bell.wav,1,a,peeded,13,bell,731,correct,NA,Apr 18 2023 10:33:12,Agnieszka,1
60217,60217_session1_lista_speeded_trial014_lighter.wav,1,a,peeded,14,lighter,763,correct,NA,Apr 18 2023 10:33:18,Agnieszka,1
60217,60217_session1_lista_speeded_trial015_potato.wav,1,a,peeded,15,potato,616,correct,NA,Apr 18 2023 10:33:28,Agnieszka,1
60217,60217_session1_lista_speeded_trial016_knife.wav,1,a,peeded,16,knife,601,correct,NA,Apr 18 2023 10:33:35,Agnieszka,1
60217,60217_session1_lista_speeded_trial017_limo.wav,1,a,peeded,17,limo,741,correct,NA,Apr 18 2023 10:33:41,Agnieszka,1
60217,60217_session1_lista_speeded_trial018_book.wav,1,a,peeded,18,book,660,correct,NA,Apr 18 2023 10:33:47,Agnieszka,1
60217,60217_session1_lista_speeded_trial019_sword.wav,1,a,peeded,19,sword,-1,no_resp,NA,Apr 18 2023 10:33:52,Agnieszka,1
60217,60217_session1_lista_speeded_trial020_gym.wav,1,a,peeded,20,gym,891,correct,NA,Apr 18 2023 10:38:14,Agnieszka,1
60217,60217_session1_lista_speeded_trial021_computer.wav,1,a,peeded,21,computer,726,correct,NA,Apr 18 2023 10:38:26,Agnieszka,1
60217,60217_session1_lista_speeded_trial022_snake.wav,1,a,peeded,22,snake,665,correct,NA,Apr 18 2023 10:38:33,Agnieszka,1
60217,60217_session1_lista_speeded_trial023_puppet.wav,1,a,peeded,23,puppet,1102,correct,NA,Apr 18 2023 10:38:39,Agnieszka,1
60217,60217_session1_lista_speeded_trial024_tomato.wav,1,a,peeded,24,tomato,-1,wrong_word,NA,Apr 18 2023 10:38:45,Agnieszka,1
60217,60217_session1_lista_speeded_trial025_compass.wav,1,a,peeded,25,compass,850,correct,NA,Apr 18 2023 10:38:51,Agnieszka,1
60217,60217_session1_lista_speeded_trial026_fox.wav,1,a,peeded,26,fox,707,correct,NA,Apr 18 2023 10:39:01,Agnieszka,1
