Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
60dca,60dca_session1_lista_speeded_trial001_puppet.wav,1,a,peeded,1,puppet,861,correct,NA,Apr 17 2023 18:18:47,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial002_wheelbarrow.wav,1,a,peeded,2,wheelbarrow,1181,correct,last syllable cut off,Apr 17 2023 18:18:56,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial003_circle.wav,1,a,peeded,3,circle,-1,no_resp,NA,Apr 17 2023 18:19:03,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial004_heel.wav,1,a,peeded,4,heel,1196,correct,NA,Apr 17 2023 18:19:13,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial005_fork.wav,1,a,peeded,5,fork,744,correct,NA,Apr 17 2023 18:20:10,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial006_submarine.wav,1,a,peeded,6,submarine,1028,correct,slightly cutoff,Apr 17 2023 18:20:19,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial007_pepper.wav,1,a,peeded,7,pepper,867,correct,NA,Apr 17 2023 18:20:29,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial008_rhino.wav,1,a,peeded,8,rhino,783,correct,NA,Apr 17 2023 18:20:46,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial009_map.wav,1,a,peeded,9,map,845,correct,NA,Apr 17 2023 18:20:53,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial010_pencil.wav,1,a,peeded,10,pencil,736,correct,NA,Apr 17 2023 18:21:00,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial011_kitchen.wav,1,a,peeded,11,kitchen,830,correct,NA,Apr 17 2023 18:21:05,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial012_triangle.wav,1,a,peeded,12,triangle,689,correct,NA,Apr 17 2023 18:21:11,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial013_plumber.wav,1,a,peeded,13,plumber,1301,correct,slightly cut off,Apr 17 2023 18:21:24,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial014_bone.wav,1,a,peeded,14,bone,1024,correct,NA,Apr 17 2023 18:21:29,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial015_owl.wav,1,a,peeded,15,owl,771,correct,NA,Apr 17 2023 18:21:34,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial016_medal.wav,1,a,peeded,16,medal,904,correct,NA,Apr 17 2023 18:21:40,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial017_doughnut.wav,1,a,peeded,17,doughnut,802,correct,NA,Apr 17 2023 18:21:47,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial018_pocket.wav,1,a,peeded,18,pocket,847,correct,NA,Apr 17 2023 18:21:54,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial019_cherry.wav,1,a,peeded,19,cherry,1078,correct,NA,Apr 17 2023 18:22:00,Agnieszka,1
60dca,60dca_session1_lista_speeded_trial020_sun.wav,1,a,peeded,20,sun,898,correct,NA,Apr 17 2023 18:22:06,Agnieszka,1
