Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
62a1f,62a1f_session1_lista_speeded_trial001_dice.wav,1,a,peeded,1,dice,685,correct,NA,Apr 25 2023 16:55:52,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial002_rhino.wav,1,a,peeded,2,rhino,689,correct,NA,Apr 25 2023 16:56:19,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial003_ghost.wav,1,a,peeded,3,ghost,679,correct,NA,Apr 25 2023 16:57:24,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial004_pineapple.wav,1,a,peeded,4,pineapple,578,correct,NA,Apr 25 2023 16:57:48,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial005_book.wav,1,a,peeded,5,book,638,correct,NA,Apr 25 2023 16:58:13,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial006_owl.wav,1,a,peeded,6,owl,726,correct,NA,Apr 25 2023 16:58:41,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial007_heel.wav,1,a,peeded,7,heel,-1,wrong_word,NA,Apr 25 2023 16:58:49,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial008_ear.wav,1,a,peeded,8,ear,608,correct,NA,Apr 25 2023 16:59:15,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial009_swan.wav,1,a,peeded,9,swan,652,correct,NA,Apr 25 2023 16:59:43,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial010_kiwi.wav,1,a,peeded,10,kiwi,807,correct,NA,Apr 25 2023 17:00:02,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial011_tray.wav,1,a,peeded,11,tray,-1,wrong_word,NA,Apr 25 2023 17:00:10,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial012_koala.wav,1,a,peeded,12,koala,860,correct,NA,Apr 25 2023 17:00:27,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial013_pocket.wav,1,a,peeded,13,pocket,-1,wrong_word,NA,Apr 25 2023 17:00:35,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial014_tomato.wav,1,a,peeded,14,tomato,651,correct,NA,Apr 25 2023 17:00:56,Friederike,1
62a1f,62a1f_session1_lista_speeded_trial015_peg.wav,1,a,peeded,15,peg,749,correct,NA,Apr 25 2023 17:01:17,Friederike,1
