Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
62e25,62e25_session1_listb_naming_trial001_road.wav,1,b,naming,1,road,1600,correct,NA,May  6 2023 18:50:39,Doris,1
62e25,62e25_session1_listb_naming_trial002_king.wav,1,b,naming,2,king,1181,correct,NA,May  6 2023 18:51:05,Doris,1
62e25,62e25_session1_listb_naming_trial003_knee.wav,1,b,naming,3,knee,1610,correct,NA,May  6 2023 18:51:28,Doris,1
62e25,62e25_session1_listb_naming_trial004_door.wav,1,b,naming,4,door,922,correct,NA,May  6 2023 18:52:54,Doris,1
62e25,62e25_session1_listb_naming_trial005_elephant.wav,1,b,naming,5,elephant,848,correct,NA,May  6 2023 18:53:17,Doris,1
62e25,62e25_session1_listb_naming_trial006_spoon.wav,1,b,naming,6,spoon,894,correct,NA,May  6 2023 18:53:57,Doris,1
62e25,62e25_session1_listb_naming_trial007_butcher.wav,1,b,naming,7,butcher,1212,correct,NA,May  6 2023 18:54:22,Doris,1
62e25,62e25_session1_listb_naming_trial008_banana.wav,1,b,naming,8,banana,862,correct,NA,May  6 2023 19:13:46,Doris,1
62e25,62e25_session1_listb_naming_trial009_fist.wav,1,b,naming,9,fist,900,correct,NA,May  6 2023 19:14:34,Doris,1
62e25,62e25_session1_listb_naming_trial010_brain.wav,1,b,naming,10,brain,920,correct,NA,May  6 2023 19:15:16,Doris,1
62e25,62e25_session1_listb_naming_trial011_pilot.wav,1,b,naming,11,pilot,1046,correct,NA,May  6 2023 19:15:45,Doris,1
62e25,62e25_session1_listb_naming_trial012_fire.wav,1,b,naming,12,fire,800,correct,NA,May  6 2023 19:16:18,Doris,1
62e25,62e25_session1_listb_naming_trial013_scarf.wav,1,b,naming,13,scarf,786,correct,NA,May  6 2023 19:16:44,Doris,1
62e25,62e25_session1_listb_naming_trial014_cone.wav,1,b,naming,14,cone,-1,wrong_word,NA,May  6 2023 19:16:56,Doris,1
62e25,62e25_session1_listb_naming_trial015_chain.wav,1,b,naming,15,chain,832,correct,NA,May  6 2023 19:17:20,Doris,1
62e25,62e25_session1_listb_naming_trial016_greenhouse.wav,1,b,naming,16,greenhouse,1205,correct,NA,May  6 2023 19:17:48,Doris,1
62e25,62e25_session1_listb_naming_trial017_cage.wav,1,b,naming,17,cage,-1,wrong_word,NA,May  6 2023 19:17:55,Doris,1
62e25,62e25_session1_listb_naming_trial018_nurse.wav,1,b,naming,18,nurse,1381,correct,NA,May  6 2023 19:18:24,Doris,1
62e25,62e25_session1_listb_naming_trial019_dragon.wav,1,b,naming,19,dragon,807,correct,NA,May  6 2023 19:32:26,Doris,1
62e25,62e25_session1_listb_naming_trial020_face.wav,1,b,naming,20,face,801,correct,NA,May  6 2023 19:32:47,Doris,1
62e25,62e25_session1_listb_naming_trial021_cactus.wav,1,b,naming,21,cactus,855,correct,NA,May  6 2023 19:33:34,Doris,1
62e25,62e25_session1_listb_naming_trial022_baby.wav,1,b,naming,22,baby,854,correct,NA,May  6 2023 19:33:58,Doris,1
62e25,62e25_session1_listb_naming_trial023_stapler.wav,1,b,naming,23,stapler,835,correct,NA,May  6 2023 19:34:20,Doris,1
62e25,62e25_session1_listb_naming_trial024_choir.wav,1,b,naming,24,choir,962,correct,NA,May  6 2023 19:34:43,Doris,1
62e25,62e25_session1_listb_naming_trial025_beard.wav,1,b,naming,25,beard,978,correct,NA,May  6 2023 19:35:03,Doris,1
62e25,62e25_session1_listb_naming_trial026_mask.wav,1,b,naming,26,mask,857,correct,NA,May  6 2023 19:35:20,Doris,1
62e25,62e25_session1_listb_naming_trial027_penguin.wav,1,b,naming,27,penguin,768,correct,NA,May  6 2023 19:35:49,Doris,1
62e25,62e25_session1_listb_naming_trial028_back.wav,1,b,naming,28,back,1045,correct,NA,May  6 2023 19:36:09,Doris,1
62e25,62e25_session1_listb_naming_trial029_roof.wav,1,b,naming,29,roof,1248,correct,NA,May  6 2023 19:36:35,Doris,1
62e25,62e25_session1_listb_naming_trial030_cannon.wav,1,b,naming,30,cannon,-1,wrong_word,cannon ball,May  6 2023 19:36:49,Doris,1
62e25,62e25_session1_listb_naming_trial031_strawberry.wav,1,b,naming,31,strawberry,1369,correct,NA,May  6 2023 19:37:10,Doris,1
62e25,62e25_session1_listb_naming_trial032_chair.wav,1,b,naming,32,chair,706,correct,NA,May  6 2023 19:38:13,Doris,1
62e25,62e25_session1_listb_naming_trial033_shark.wav,1,b,naming,33,shark,1138,correct,NA,May  6 2023 19:38:41,Doris,1
62e25,62e25_session1_listb_naming_trial034_shirt.wav,1,b,naming,34,shirt,940,correct,NA,May  6 2023 19:39:01,Doris,1
62e25,62e25_session1_listb_naming_trial035_feather.wav,1,b,naming,35,feather,800,correct,NA,May  6 2023 19:39:21,Doris,1
62e25,62e25_session1_listb_naming_trial036_moustache.wav,1,b,naming,36,moustache,903,correct,NA,May  6 2023 19:39:44,Doris,1
62e25,62e25_session1_listb_naming_trial037_needle.wav,1,b,naming,37,needle,1402,correct,NA,May  6 2023 19:40:05,Doris,1
62e25,62e25_session1_listb_naming_trial038_farm.wav,1,b,naming,38,farm,-1,wrong_word,field,May  6 2023 19:40:18,Doris,1
62e25,62e25_session1_listb_naming_trial039_pool.wav,1,b,naming,39,pool,-1,wrong_word,swimming pool,May  6 2023 19:40:31,Doris,1
