Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
56411,56411_session1_listb_speeded_trial001_ankle.wav,1,b,peeded,1,ankle,844,correct,NA,Apr 26 2023 13:53:13,Pam,1
56411,56411_session1_listb_speeded_trial002_eye.wav,1,b,peeded,2,eye,666,correct,NA,Apr 26 2023 13:53:17,Pam,1
56411,56411_session1_listb_speeded_trial003_beard.wav,1,b,peeded,3,beard,710,correct,NA,Apr 26 2023 13:53:21,Pam,1
56411,56411_session1_listb_speeded_trial004_volcano.wav,1,b,peeded,4,volcano,750,correct,NA,Apr 26 2023 13:53:25,Pam,1
56411,56411_session1_listb_speeded_trial005_giraffe.wav,1,b,peeded,5,giraffe,627,correct,NA,Apr 26 2023 13:53:29,Pam,1
56411,56411_session1_listb_speeded_trial006_honey.wav,1,b,peeded,6,honey,687,correct,NA,Apr 26 2023 13:53:53,Pam,1
56411,56411_session1_listb_speeded_trial007_heart.wav,1,b,peeded,7,heart,669,correct,NA,Apr 26 2023 13:53:59,Pam,1
56411,56411_session1_listb_speeded_trial008_handle.wav,1,b,peeded,8,handle,-1,no_resp,NA,Apr 26 2023 13:54:10,Pam,1
56411,56411_session1_listb_speeded_trial009_torch.wav,1,b,peeded,9,torch,-1,wrong_word,NA,Apr 26 2023 13:54:21,Pam,1
56411,56411_session1_listb_speeded_trial010_skeleton.wav,1,b,peeded,10,skeleton,928,correct,NA,Apr 26 2023 13:54:25,Pam,1
56411,56411_session1_listb_speeded_trial011_cactus.wav,1,b,peeded,11,cactus,822,correct,NA,Apr 26 2023 13:54:45,Pam,1
56411,56411_session1_listb_speeded_trial012_pool.wav,1,b,peeded,12,pool,-1,wrong_word,NA,Apr 26 2023 13:54:55,Pam,1
56411,56411_session1_listb_speeded_trial013_frog.wav,1,b,peeded,13,frog,723,correct,NA,Apr 26 2023 13:54:59,Pam,1
56411,56411_session1_listb_speeded_trial014_screwdriver.wav,1,b,peeded,14,screwdriver,668,correct,NA,Apr 26 2023 13:55:03,Pam,1
56411,56411_session1_listb_speeded_trial015_elephant.wav,1,b,peeded,15,elephant,735,correct,NA,Apr 26 2023 13:55:07,Pam,1
56411,56411_session1_listb_speeded_trial016_crown.wav,1,b,peeded,16,crown,756,correct,NA,Apr 26 2023 13:55:09,Pam,1
56411,56411_session1_listb_speeded_trial017_hair.wav,1,b,peeded,17,hair,777,correct,NA,Apr 26 2023 13:55:13,Pam,1
56411,56411_session1_listb_speeded_trial018_belt.wav,1,b,peeded,18,belt,762,correct,NA,Apr 26 2023 13:55:16,Pam,1
56411,56411_session1_listb_speeded_trial019_stapler.wav,1,b,peeded,19,stapler,720,correct,NA,Apr 26 2023 13:55:19,Pam,1
56411,56411_session1_listb_speeded_trial020_diamond.wav,1,b,peeded,20,diamond,757,correct,NA,Apr 26 2023 13:55:21,Pam,1
56411,56411_session1_listb_speeded_trial021_egg.wav,1,b,peeded,21,egg,720,correct,NA,Apr 26 2023 13:55:24,Pam,1
56411,56411_session1_listb_speeded_trial022_pirate.wav,1,b,peeded,22,pirate,773,correct,NA,Apr 26 2023 13:55:27,Pam,1
56411,56411_session1_listb_speeded_trial023_airport.wav,1,b,peeded,23,airport,1050,correct,NA,Apr 26 2023 13:55:29,Pam,1
56411,56411_session1_listb_speeded_trial024_spider.wav,1,b,peeded,24,spider,681,correct,NA,Apr 26 2023 13:55:32,Pam,1
56411,56411_session1_listb_speeded_trial025_calculator.wav,1,b,peeded,25,calculator,701,correct,NA,Apr 26 2023 13:55:35,Pam,1
56411,56411_session1_listb_speeded_trial026_dentist.wav,1,b,peeded,26,dentist,-1,wrong_word,NA,Apr 26 2023 13:55:44,Pam,1
56411,56411_session1_listb_speeded_trial027_caravan.wav,1,b,peeded,27,caravan,884,correct,NA,Apr 26 2023 13:55:47,Pam,1
56411,56411_session1_listb_speeded_trial028_mirror.wav,1,b,peeded,28,mirror,701,correct,NA,Apr 26 2023 13:55:49,Pam,1
56411,56411_session1_listb_speeded_trial029_snail.wav,1,b,peeded,29,snail,659,correct,NA,Apr 26 2023 13:55:52,Pam,1
56411,56411_session1_listb_speeded_trial030_dolphin.wav,1,b,peeded,30,dolphin,681,correct,NA,Apr 26 2023 13:55:55,Pam,1
56411,56411_session1_listb_speeded_trial031_foot.wav,1,b,peeded,31,foot,619,correct,NA,Apr 26 2023 13:55:57,Pam,1
56411,56411_session1_listb_speeded_trial032_apron.wav,1,b,peeded,32,apron,742,correct,NA,Apr 26 2023 13:56:00,Pam,1
56411,56411_session1_listb_speeded_trial033_sink.wav,1,b,peeded,33,sink,730,correct,NA,Apr 26 2023 13:56:03,Pam,1
56411,56411_session1_listb_speeded_trial034_bed.wav,1,b,peeded,34,bed,760,correct,NA,Apr 26 2023 13:56:07,Pam,1
56411,56411_session1_listb_speeded_trial035_chain.wav,1,b,peeded,35,chain,761,correct,NA,Apr 26 2023 13:56:10,Pam,1
56411,56411_session1_listb_speeded_trial036_roof.wav,1,b,peeded,36,roof,1022,correct,NA,Apr 26 2023 13:56:12,Pam,1
56411,56411_session1_listb_speeded_trial037_nose.wav,1,b,peeded,37,nose,695,correct,NA,Apr 26 2023 13:56:15,Pam,1
56411,56411_session1_listb_speeded_trial038_bible.wav,1,b,peeded,38,bible,786,correct,NA,Apr 26 2023 13:56:17,Pam,1
56411,56411_session1_listb_speeded_trial039_feather.wav,1,b,peeded,39,feather,705,correct,NA,Apr 26 2023 13:56:20,Pam,1
56411,56411_session1_listb_speeded_trial040_asparagus.wav,1,b,peeded,40,asparagus,759,correct,NA,Apr 26 2023 13:56:23,Pam,1
56411,56411_session1_listb_speeded_trial041_cage.wav,1,b,peeded,41,cage,753,correct,NA,Apr 26 2023 13:56:26,Pam,1
56411,56411_session1_listb_speeded_trial042_farm.wav,1,b,peeded,42,farm,793,correct,NA,Apr 26 2023 13:56:28,Pam,1
56411,56411_session1_listb_speeded_trial043_tank.wav,1,b,peeded,43,tank,746,correct,NA,Apr 26 2023 13:56:31,Pam,1
56411,56411_session1_listb_speeded_trial044_camera.wav,1,b,peeded,44,camera,857,correct,NA,Apr 26 2023 13:56:33,Pam,1
56411,56411_session1_listb_speeded_trial045_sheep.wav,1,b,peeded,45,sheep,680,correct,NA,Apr 26 2023 13:56:36,Pam,1
56411,56411_session1_listb_speeded_trial046_shirt.wav,1,b,peeded,46,shirt,758,correct,NA,Apr 26 2023 13:56:39,Pam,1
56411,56411_session1_listb_speeded_trial047_lemon.wav,1,b,peeded,47,lemon,672,correct,NA,Apr 26 2023 13:56:41,Pam,1
56411,56411_session1_listb_speeded_trial048_watch.wav,1,b,peeded,48,watch,676,correct,NA,Apr 26 2023 13:56:44,Pam,1
56411,56411_session1_listb_speeded_trial049_witch.wav,1,b,peeded,49,witch,741,correct,NA,Apr 26 2023 13:56:46,Pam,1
56411,56411_session1_listb_speeded_trial050_lion.wav,1,b,peeded,50,lion,685,correct,NA,Apr 26 2023 13:56:49,Pam,1
56411,56411_session1_listb_speeded_trial051_wallet.wav,1,b,peeded,51,wallet,1049,correct,NA,Apr 26 2023 13:56:52,Pam,1
56411,56411_session1_listb_speeded_trial052_cowboy.wav,1,b,peeded,52,cowboy,984,correct,NA,Apr 26 2023 13:56:54,Pam,1
56411,56411_session1_listb_speeded_trial053_button.wav,1,b,peeded,53,button,801,correct,NA,Apr 26 2023 13:56:57,Pam,1
56411,56411_session1_listb_speeded_trial054_leaf.wav,1,b,peeded,54,leaf,733,correct,NA,Apr 26 2023 13:57:00,Pam,1
56411,56411_session1_listb_speeded_trial055_maze.wav,1,b,peeded,55,maze,809,correct,NA,Apr 26 2023 13:57:03,Pam,1
56411,56411_session1_listb_speeded_trial056_finger.wav,1,b,peeded,56,finger,731,correct,NA,Apr 26 2023 13:57:05,Pam,1
56411,56411_session1_listb_speeded_trial057_cone.wav,1,b,peeded,57,cone,-1,disfluency,NA,Apr 26 2023 13:57:14,Pam,1
56411,56411_session1_listb_speeded_trial058_keyboard.wav,1,b,peeded,58,keyboard,805,correct,NA,Apr 26 2023 13:57:17,Pam,1
56411,56411_session1_listb_speeded_trial059_brain.wav,1,b,peeded,59,brain,745,correct,NA,Apr 26 2023 13:57:19,Pam,1
56411,56411_session1_listb_speeded_trial060_duck.wav,1,b,peeded,60,duck,701,correct,NA,Apr 26 2023 13:57:21,Pam,1
56411,56411_session1_listb_speeded_trial061_devil.wav,1,b,peeded,61,devil,932,correct,NA,Apr 26 2023 13:57:24,Pam,1
56411,56411_session1_listb_speeded_trial062_choir.wav,1,b,peeded,62,choir,824,correct,NA,Apr 26 2023 13:58:09,Pam,1
56411,56411_session1_listb_speeded_trial063_earring.wav,1,b,peeded,63,earring,797,correct,NA,Apr 26 2023 13:58:12,Pam,1
56411,56411_session1_listb_speeded_trial064_fruit.wav,1,b,peeded,64,fruit,882,correct,NA,Apr 26 2023 13:58:15,Pam,1
56411,56411_session1_listb_speeded_trial065_fan.wav,1,b,peeded,65,fan,830,correct,NA,Apr 26 2023 13:58:17,Pam,1
56411,56411_session1_listb_speeded_trial066_condom.wav,1,b,peeded,66,condom,838,correct,NA,Apr 26 2023 13:59:37,Pam,1
56411,56411_session1_listb_speeded_trial067_fire.wav,1,b,peeded,67,fire,658,correct,NA,Apr 26 2023 13:59:45,Pam,1
56411,56411_session1_listb_speeded_trial068_microphone.wav,1,b,peeded,68,microphone,753,correct,NA,Apr 26 2023 13:59:47,Pam,1
56411,56411_session1_listb_speeded_trial069_broom.wav,1,b,peeded,69,broom,804,correct,NA,Apr 26 2023 13:59:49,Pam,1
56411,56411_session1_listb_speeded_trial070_well.wav,1,b,peeded,70,well,-1,disfluency,NA,Apr 26 2023 14:00:22,Pam,1
56411,56411_session1_listb_speeded_trial071_trumpet.wav,1,b,peeded,71,trumpet,-1,wrong_word,NA,Apr 26 2023 14:00:28,Pam,1
56411,56411_session1_listb_speeded_trial072_glasses.wav,1,b,peeded,72,glasses,-1,disfluency,NA,Apr 26 2023 14:00:39,Pam,1
56411,56411_session1_listb_speeded_trial073_banana.wav,1,b,peeded,73,banana,728,correct,NA,Apr 26 2023 14:00:43,Pam,1
