Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5ebcb,5ebcb_session1_listb_speeded_trial001_telephone.wav,1,b,peeded,1,telephone,757,correct,NA,Apr  8 2023 22:12:57,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial002_spider.wav,1,b,peeded,2,spider,640,correct,NA,Apr  8 2023 22:17:55,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial003_bin.wav,1,b,peeded,3,bin,1046,correct,NA,Apr  8 2023 22:20:18,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial004_trumpet.wav,1,b,peeded,4,trumpet,882,correct,NA,Apr  8 2023 22:21:30,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial005_dentist.wav,1,b,peeded,5,dentist,907,correct,NA,Apr  8 2023 22:23:19,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial006_tank.wav,1,b,peeded,6,tank,723,correct,NA,Apr  8 2023 22:26:44,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial007_pizza.wav,1,b,peeded,7,pizza,663,correct,NA,Apr  8 2023 22:28:40,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial008_apron.wav,1,b,peeded,8,apron,-1,no_resp,NA,Apr  8 2023 22:29:10,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial009_tooth.wav,1,b,peeded,9,tooth,803,correct,NA,Apr  8 2023 22:30:39,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial010_printer.wav,1,b,peeded,10,printer,1352,correct,NA,Apr  8 2023 22:35:20,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial011_shirt.wav,1,b,peeded,11,shirt,744,correct,NA,Apr  8 2023 22:37:48,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial012_crown.wav,1,b,peeded,12,crown,961,correct,NA,Apr  8 2023 22:41:19,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial013_witch.wav,1,b,peeded,13,witch,1164,correct,NA,Apr  9 2023 21:46:43,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial014_hair.wav,1,b,peeded,14,hair,762,correct,NA,Apr  9 2023 21:49:19,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial015_ankle.wav,1,b,peeded,15,ankle,905,correct,NA,Apr  9 2023 21:51:53,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial016_well.wav,1,b,peeded,16,well,825,correct,NA,Apr  9 2023 21:57:06,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial017_calendar.wav,1,b,peeded,17,calendar,710,correct,NA,Apr  9 2023 22:00:35,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial018_thermometer.wav,1,b,peeded,18,thermometer,-1,no_resp,NA,Apr  9 2023 22:01:06,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial019_broom.wav,1,b,peeded,19,broom,857,correct,NA,Apr  9 2023 22:05:50,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial020_desert.wav,1,b,peeded,20,desert,941,correct,NA,Apr  9 2023 22:11:59,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial021_swimming.wav,1,b,peeded,21,swimming,951,correct,NA,Apr  9 2023 22:20:23,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial022_cage.wav,1,b,peeded,22,cage,-1,uncertain,NA,Apr  9 2023 22:28:29,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial023_mask.wav,1,b,peeded,23,mask,815,correct,NA,Apr  9 2023 22:29:45,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial024_sheep.wav,1,b,peeded,24,sheep,694,correct,NA,Apr  9 2023 22:30:59,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial025_dragon.wav,1,b,peeded,25,dragon,774,correct,NA,Apr  9 2023 22:46:09,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial026_scarf.wav,1,b,peeded,26,scarf,888,correct,NA,Apr  9 2023 22:48:11,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial027_bra.wav,1,b,peeded,27,bra,821,correct,NA,Apr  9 2023 22:58:54,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial028_ambulance.wav,1,b,peeded,28,ambulance,748,correct,NA,Apr  9 2023 22:59:51,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial029_caravan.wav,1,b,peeded,29,caravan,1014,correct,NA,Apr  9 2023 23:02:55,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial030_eye.wav,1,b,peeded,30,eye,857,correct,NA,Apr  9 2023 23:05:22,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial031_dog.wav,1,b,peeded,31,dog,1001,correct,NA,Apr  9 2023 23:11:53,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial032_scorpion.wav,1,b,peeded,32,scorpion,947,correct,NA,Apr 10 2023 21:25:51,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial033_penguin.wav,1,b,peeded,33,penguin,875,correct,NA,Apr 10 2023 21:27:20,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial034_wallet.wav,1,b,peeded,34,wallet,861,correct,NA,Apr 10 2023 21:28:40,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial035_jar.wav,1,b,peeded,35,jar,736,correct,NA,Apr 10 2023 21:31:21,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial036_knee.wav,1,b,peeded,36,knee,1272,correct,NA,Apr 10 2023 21:31:56,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial037_shark.wav,1,b,peeded,37,shark,800,correct,NA,Apr 10 2023 21:33:04,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial038_earring.wav,1,b,peeded,38,earring,921,correct,NA,Apr 10 2023 21:34:05,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial039_television.wav,1,b,peeded,39,television,1029,correct,NA,Apr 10 2023 21:35:14,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial040_football.wav,1,b,peeded,40,football,928,correct,NA,Apr 10 2023 21:36:54,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial041_feather.wav,1,b,peeded,41,feather,887,correct,NA,Apr 10 2023 21:40:19,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial042_hand.wav,1,b,peeded,42,hand,754,correct,NA,Apr 10 2023 21:41:31,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial043_beard.wav,1,b,peeded,43,beard,833,correct,NA,Apr 10 2023 21:42:42,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial044_mirror.wav,1,b,peeded,44,mirror,-1,wrong_word,NA,Apr 10 2023 22:30:56,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial045_moustache.wav,1,b,peeded,45,moustache,900,correct,NA,Apr 10 2023 22:31:35,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial046_gun.wav,1,b,peeded,46,gun,809,correct,NA,Apr 10 2023 22:32:37,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial047_pool.wav,1,b,peeded,47,pool,-1,wrong_word,NA,Apr 10 2023 22:32:59,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial048_finger.wav,1,b,peeded,48,finger,1374,correct,NA,Apr 10 2023 22:34:07,Radhika,1
5ebcb,5ebcb_session1_listb_speeded_trial049_cloud.wav,1,b,peeded,49,cloud,836,correct,NA,Apr 10 2023 22:35:25,Radhika,1
