Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5efcb,5efcb_session1_listb_speeded_trial001_shirt.wav,1,b,peeded,1,shirt,791,correct,NA,Apr 12 2023 16:19:01,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial002_jar.wav,1,b,peeded,2,jar,768,correct,NA,Apr 12 2023 16:19:15,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial003_gun.wav,1,b,peeded,3,gun,849,correct,NA,Apr 12 2023 16:19:23,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial004_pool.wav,1,b,peeded,4,pool,1039,correct,NA,Apr 12 2023 16:19:33,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial005_sock.wav,1,b,peeded,5,sock,1001,correct,NA,Apr 12 2023 16:19:45,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial006_apron.wav,1,b,peeded,6,apron,842,correct,NA,Apr 12 2023 16:19:56,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial007_tank.wav,1,b,peeded,7,tank,901,correct,NA,Apr 12 2023 16:20:02,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial008_parachute.wav,1,b,peeded,8,parachute,1299,correct,ending cut off,Apr 12 2023 16:20:13,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial009_bin.wav,1,b,peeded,9,bin,1501,correct,ending cut off,Apr 12 2023 16:20:24,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial010_duck.wav,1,b,peeded,10,duck,776,correct,NA,Apr 12 2023 16:20:35,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial011_button.wav,1,b,peeded,11,button,830,correct,NA,Apr 12 2023 16:20:45,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial012_finger.wav,1,b,peeded,12,finger,-1,no_resp,NA,Apr 12 2023 16:21:13,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial013_lion.wav,1,b,peeded,13,lion,845,correct,NA,Apr 12 2023 16:21:26,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial014_nun.wav,1,b,peeded,14,nun,-1,no_resp,NA,Apr 12 2023 16:21:31,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial015_greenhouse.wav,1,b,peeded,15,greenhouse,938,correct,NA,Apr 12 2023 16:21:49,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial016_well.wav,1,b,peeded,16,well,825,correct,NA,Apr 12 2023 16:21:57,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial017_hand.wav,1,b,peeded,17,hand,751,correct,NA,Apr 12 2023 16:22:03,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial018_crown.wav,1,b,peeded,18,crown,-1,no_resp,NA,Apr 12 2023 16:22:07,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial019_dragon.wav,1,b,peeded,19,dragon,850,correct,NA,Apr 12 2023 16:22:18,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial020_fruit.wav,1,b,peeded,20,fruit,775,correct,NA,Apr 12 2023 16:22:27,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial021_maze.wav,1,b,peeded,21,maze,837,correct,NA,Apr 12 2023 16:22:35,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial022_dinosaur.wav,1,b,peeded,22,dinosaur,923,correct,NA,Apr 12 2023 16:22:42,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial023_choir.wav,1,b,peeded,23,choir,945,correct,NA,Apr 12 2023 16:22:58,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial024_glasses.wav,1,b,peeded,24,glasses,736,correct,NA,Apr 12 2023 16:23:15,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial025_hedgehog.wav,1,b,peeded,25,hedgehog,729,correct,NA,Apr 12 2023 16:48:13,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial026_mask.wav,1,b,peeded,26,mask,923,correct,NA,Apr 12 2023 16:48:18,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial027_snail.wav,1,b,peeded,27,snail,807,correct,NA,Apr 12 2023 16:48:25,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial028_penguin.wav,1,b,peeded,28,penguin,790,correct,NA,Apr 12 2023 16:48:32,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial029_airport.wav,1,b,peeded,29,airport,957,correct,NA,Apr 12 2023 16:48:43,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial030_pizza.wav,1,b,peeded,30,pizza,815,correct,NA,Apr 12 2023 17:08:15,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial031_coconut.wav,1,b,peeded,31,coconut,837,correct,NA,Apr 12 2023 17:08:23,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial032_microphone.wav,1,b,peeded,32,microphone,861,correct,NA,Apr 12 2023 17:08:29,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial033_shark.wav,1,b,peeded,33,shark,751,correct,NA,Apr 12 2023 17:08:36,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial034_banana.wav,1,b,peeded,34,banana,786,correct,NA,Apr 12 2023 17:08:48,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial035_sink.wav,1,b,peeded,35,sink,714,correct,NA,Apr 12 2023 17:09:04,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial036_ring.wav,1,b,peeded,36,ring,759,correct,NA,Apr 12 2023 17:09:11,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial037_belt.wav,1,b,peeded,37,belt,805,correct,NA,Apr 12 2023 17:09:18,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial038_knee.wav,1,b,peeded,38,knee,-1,no_resp,NA,Apr 12 2023 17:09:22,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial039_cage.wav,1,b,peeded,39,cage,-1,no_resp,NA,Apr 12 2023 17:09:26,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial040_skull.wav,1,b,peeded,40,skull,780,correct,NA,Apr 12 2023 17:09:33,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial041_ambulance.wav,1,b,peeded,41,ambulance,773,correct,NA,Apr 12 2023 17:09:38,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial042_hair.wav,1,b,peeded,42,hair,852,correct,NA,Apr 12 2023 17:09:45,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial043_heart.wav,1,b,peeded,43,heart,783,correct,NA,Apr 12 2023 17:09:51,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial044_vein.wav,1,b,peeded,44,vein,1046,correct,NA,Apr 12 2023 17:10:15,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial045_broom.wav,1,b,peeded,45,broom,906,correct,NA,Apr 12 2023 17:10:26,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial046_bed.wav,1,b,peeded,46,bed,823,correct,NA,Apr 12 2023 17:10:32,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial047_beard.wav,1,b,peeded,47,beard,850,correct,NA,Apr 12 2023 17:10:41,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial048_foot.wav,1,b,peeded,48,foot,716,correct,NA,Apr 12 2023 17:11:24,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial049_scorpion.wav,1,b,peeded,49,scorpion,820,correct,NA,Apr 12 2023 17:11:29,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial050_pumpkin.wav,1,b,peeded,50,pumpkin,835,correct,NA,Apr 12 2023 17:18:17,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial051_coffin.wav,1,b,peeded,51,coffin,839,correct,NA,Apr 12 2023 17:18:35,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial052_lemon.wav,1,b,peeded,52,lemon,889,correct,NA,Apr 12 2023 17:18:45,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial053_devil.wav,1,b,peeded,53,devil,1049,correct,NA,Apr 12 2023 17:18:51,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial054_needle.wav,1,b,peeded,54,needle,1216,correct,NA,Apr 12 2023 17:53:41,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial055_coffee.wav,1,b,peeded,55,coffee,886,correct,NA,Apr 12 2023 17:58:52,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial056_skeleton.wav,1,b,peeded,56,skeleton,776,correct,NA,Apr 12 2023 17:58:58,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial057_cone.wav,1,b,peeded,57,cone,1173,correct,NA,Apr 12 2023 17:59:09,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial058_balloon.wav,1,b,peeded,58,balloon,844,correct,NA,Apr 12 2023 17:59:21,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial059_fan.wav,1,b,peeded,59,fan,818,correct,NA,Apr 12 2023 17:59:27,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial060_back.wav,1,b,peeded,60,back,906,correct,NA,Apr 12 2023 17:59:34,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial061_bat.wav,1,b,peeded,61,bat,904,correct,NA,Apr 12 2023 17:59:40,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial062_bra.wav,1,b,peeded,62,bra,837,correct,NA,Apr 12 2023 17:59:47,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial063_torch.wav,1,b,peeded,63,torch,1245,correct,slightly cut off,Apr 12 2023 18:00:04,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial064_glass.wav,1,b,peeded,64,glass,-1,no_resp,NA,Apr 12 2023 18:00:09,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial065_roof.wav,1,b,peeded,65,roof,1102,correct,NA,Apr 12 2023 18:00:14,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial066_asparagus.wav,1,b,peeded,66,asparagus,926,correct,NA,Apr 12 2023 18:00:23,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial067_calendar.wav,1,b,peeded,67,calendar,807,correct,NA,Apr 12 2023 18:00:30,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial068_mirror.wav,1,b,peeded,68,mirror,749,correct,NA,Apr 12 2023 18:00:35,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial069_camera.wav,1,b,peeded,69,camera,-1,no_resp,NA,Apr 12 2023 18:00:41,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial070_fire.wav,1,b,peeded,70,fire,884,correct,NA,Apr 12 2023 18:00:51,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial071_broccoli.wav,1,b,peeded,71,broccoli,1046,correct,NA,Apr 12 2023 18:00:58,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial072_swimming.wav,1,b,peeded,72,swimming,-1,wrong_word,NA,Apr 12 2023 18:01:04,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial073_lab.wav,1,b,peeded,73,lab,-1,no_resp,NA,Apr 12 2023 18:01:08,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial074_egg.wav,1,b,peeded,74,egg,1366,correct,NA,Apr 12 2023 18:01:18,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial075_trumpet.wav,1,b,peeded,75,trumpet,-1,no_resp,NA,Apr 12 2023 18:01:25,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial076_honey.wav,1,b,peeded,76,honey,-1,no_resp,NA,Apr 12 2023 18:01:31,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial077_baby.wav,1,b,peeded,77,baby,770,correct,NA,Apr 12 2023 18:01:37,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial078_bible.wav,1,b,peeded,78,bible,974,correct,NA,Apr 12 2023 18:01:44,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial079_pirate.wav,1,b,peeded,79,pirate,-1,no_resp,NA,Apr 12 2023 18:01:49,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial080_football.wav,1,b,peeded,80,football,751,correct,NA,Apr 12 2023 18:01:58,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial081_road.wav,1,b,peeded,81,road,889,correct,NA,Apr 12 2023 18:02:04,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial082_screwdriver.wav,1,b,peeded,82,screwdriver,1053,correct,NA,Apr 12 2023 18:02:10,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial083_volcano.wav,1,b,peeded,83,volcano,1122,correct,NA,Apr 12 2023 18:02:17,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial084_cloud.wav,1,b,peeded,84,cloud,872,correct,NA,Apr 12 2023 18:02:26,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial085_shadow.wav,1,b,peeded,85,shadow,933,correct,NA,Apr 12 2023 18:02:31,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial086_parrot.wav,1,b,peeded,86,parrot,845,correct,NA,Apr 12 2023 18:02:37,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial087_spoon.wav,1,b,peeded,87,spoon,707,correct,NA,Apr 12 2023 18:02:44,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial088_waiter.wav,1,b,peeded,88,waiter,901,correct,NA,Apr 12 2023 18:02:49,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial089_brain.wav,1,b,peeded,89,brain,871,correct,NA,Apr 12 2023 18:02:56,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial090_sheep.wav,1,b,peeded,90,sheep,810,correct,NA,Apr 12 2023 18:03:00,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial091_wallet.wav,1,b,peeded,91,wallet,883,correct,NA,Apr 12 2023 18:03:06,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial092_ankle.wav,1,b,peeded,92,ankle,-1,no_resp,NA,Apr 12 2023 18:03:12,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial093_car.wav,1,b,peeded,93,car,763,correct,NA,Apr 12 2023 18:03:19,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial094_iron.wav,1,b,peeded,94,iron,1432,uncertain,cut off after i,Apr 12 2023 18:03:41,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial095_boomerang.wav,1,b,peeded,95,boomerang,1048,correct,NA,Apr 12 2023 18:03:50,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial096_earring.wav,1,b,peeded,96,earring,1102,correct,NA,Apr 12 2023 18:04:24,Agnieszka,1
5efcb,5efcb_session1_listb_speeded_trial097_cactus.wav,1,b,peeded,97,cactus,829,correct,NA,Apr 12 2023 18:04:31,Agnieszka,1
