Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5efde,5efde_session1_listb_speeded_trial001_shadow.wav,1,b,peeded,1,shadow,1115,correct,NA,Apr 14 2023 17:19:49,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial002_pilot.wav,1,b,peeded,2,pilot,879,correct,NA,Apr 14 2023 17:19:59,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial003_football.wav,1,b,peeded,3,football,-1,wrong_word,NA,Apr 14 2023 17:20:06,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial004_torch.wav,1,b,peeded,4,torch,763,correct,NA,Apr 14 2023 17:20:19,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial005_bed.wav,1,b,peeded,5,bed,734,correct,NA,Apr 14 2023 17:20:30,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial006_foot.wav,1,b,peeded,6,foot,670,correct,NA,Apr 14 2023 17:20:54,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial007_volcano.wav,1,b,peeded,7,volcano,776,correct,NA,Apr 14 2023 17:21:13,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial008_roof.wav,1,b,peeded,8,roof,898,correct,NA,Apr 14 2023 17:21:19,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial009_honey.wav,1,b,peeded,9,honey,714,correct,NA,Apr 14 2023 17:21:29,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial010_vein.wav,1,b,peeded,10,vein,839,correct,NA,Apr 14 2023 17:21:36,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial011_lemon.wav,1,b,peeded,11,lemon,770,correct,NA,Apr 14 2023 17:21:49,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial012_bedroom.wav,1,b,peeded,12,bedroom,1398,correct,ending cut off,Apr 14 2023 17:21:59,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial013_glasses.wav,1,b,peeded,13,glasses,754,correct,NA,Apr 14 2023 17:22:13,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial014_baby.wav,1,b,peeded,14,baby,709,correct,NA,Apr 14 2023 17:22:18,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial015_finger.wav,1,b,peeded,15,finger,901,correct,NA,Apr 14 2023 17:22:29,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial016_door.wav,1,b,peeded,16,door,741,correct,NA,Apr 14 2023 17:22:36,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial017_witch.wav,1,b,peeded,17,witch,768,correct,NA,Apr 14 2023 17:22:42,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial018_nurse.wav,1,b,peeded,18,nurse,930,correct,NA,Apr 14 2023 17:22:52,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial019_fire.wav,1,b,peeded,19,fire,916,correct,NA,Apr 14 2023 17:23:01,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial020_coffee.wav,1,b,peeded,20,coffee,906,correct,NA,Apr 14 2023 17:23:17,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial021_heart.wav,1,b,peeded,21,heart,732,correct,NA,Apr 14 2023 17:23:27,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial022_well.wav,1,b,peeded,22,well,930,correct,NA,Apr 14 2023 17:23:35,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial023_ankle.wav,1,b,peeded,23,ankle,909,correct,NA,Apr 14 2023 17:23:43,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial024_lion.wav,1,b,peeded,24,lion,783,correct,NA,Apr 14 2023 17:23:48,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial025_beard.wav,1,b,peeded,25,beard,817,correct,NA,Apr 14 2023 17:23:54,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial026_dentist.wav,1,b,peeded,26,dentist,1038,correct,ending cut off,Apr 14 2023 17:24:04,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial027_glass.wav,1,b,peeded,27,glass,871,correct,NA,Apr 14 2023 17:24:10,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial028_stapler.wav,1,b,peeded,28,stapler,754,correct,NA,Apr 14 2023 17:24:17,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial029_nun.wav,1,b,peeded,29,nun,1039,correct,NA,Apr 14 2023 17:24:25,Agnieszka,1
5efde,5efde_session1_listb_speeded_trial030_farm.wav,1,b,peeded,30,farm,950,correct,NA,Apr 14 2023 17:24:32,Agnieszka,1
