Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5f262,5f262_session1_listb_speeded_trial001_bat.wav,1,b,peeded,1,bat,1039,correct,NA,Apr 17 2023 16:47:12,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial002_bra.wav,1,b,peeded,2,bra,795,correct,NA,Apr 17 2023 16:47:18,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial003_sheep.wav,1,b,peeded,3,sheep,719,correct,NA,Apr 17 2023 16:47:24,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial004_broom.wav,1,b,peeded,4,broom,791,correct,NA,Apr 17 2023 16:47:30,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial005_coffin.wav,1,b,peeded,5,coffin,827,correct,NA,Apr 17 2023 16:47:42,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial006_nun.wav,1,b,peeded,6,nun,1049,correct,NA,Apr 17 2023 16:47:52,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial007_nose.wav,1,b,peeded,7,nose,741,correct,NA,Apr 17 2023 16:48:01,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial008_chair.wav,1,b,peeded,8,chair,702,correct,NA,Apr 17 2023 16:48:20,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial009_ambulance.wav,1,b,peeded,9,ambulance,1053,correct,NA,Apr 17 2023 16:48:27,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial010_umbrella.wav,1,b,peeded,10,umbrella,802,correct,NA,Apr 17 2023 16:48:33,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial011_baby.wav,1,b,peeded,11,baby,761,correct,NA,Apr 17 2023 16:48:40,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial012_back.wav,1,b,peeded,12,back,825,correct,NA,Apr 17 2023 16:51:01,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial013_stapler.wav,1,b,peeded,13,stapler,753,correct,NA,Apr 17 2023 16:51:11,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial014_nurse.wav,1,b,peeded,14,nurse,726,correct,NA,Apr 17 2023 16:51:23,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial015_fruit.wav,1,b,peeded,15,fruit,751,correct,NA,Apr 17 2023 16:51:29,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial016_dentist.wav,1,b,peeded,16,dentist,1033,correct,NA,Apr 17 2023 16:51:36,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial017_cage.wav,1,b,peeded,17,cage,842,correct,NA,Apr 17 2023 16:51:42,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial018_honey.wav,1,b,peeded,18,honey,749,correct,NA,Apr 17 2023 16:51:51,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial019_spider.wav,1,b,peeded,19,spider,677,correct,NA,Apr 17 2023 16:52:07,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial020_wallet.wav,1,b,peeded,20,wallet,770,correct,NA,Apr 17 2023 16:52:12,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial021_face.wav,1,b,peeded,21,face,822,correct,NA,Apr 17 2023 16:52:22,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial022_girl.wav,1,b,peeded,22,girl,800,correct,NA,Apr 17 2023 16:52:29,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial023_skateboard.wav,1,b,peeded,23,skateboard,702,correct,NA,Apr 17 2023 16:52:37,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial024_earring.wav,1,b,peeded,24,earring,974,correct,NA,Apr 17 2023 16:52:45,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial025_swimming.wav,1,b,peeded,25,swimming,-1,uncertain,It's probably 'swimmer'? but I'm not entirely sure,Apr 17 2023 16:53:21,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial026_road.wav,1,b,peeded,26,road,935,correct,NA,Apr 17 2023 16:53:43,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial027_pumpkin.wav,1,b,peeded,27,pumpkin,783,correct,NA,Apr 17 2023 16:53:56,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial028_waiter.wav,1,b,peeded,28,waiter,844,correct,NA,Apr 17 2023 16:54:11,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial029_bible.wav,1,b,peeded,29,bible,768,correct,NA,Apr 17 2023 16:54:17,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial030_well.wav,1,b,peeded,30,well,977,correct,NA,Apr 17 2023 16:54:24,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial031_trumpet.wav,1,b,peeded,31,trumpet,778,correct,NA,Apr 17 2023 16:54:30,Agnieszka,1
5f262,5f262_session1_listb_speeded_trial032_scarf.wav,1,b,peeded,32,scarf,884,correct,NA,Apr 17 2023 16:54:35,Agnieszka,1
