Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
60d3d,60d3d_session1_listb_speeded_trial001_cowboy.wav,1,b,peeded,1,cowboy,1044,correct,NA,Apr 27 2023 09:13:51,Pam,1
60d3d,60d3d_session1_listb_speeded_trial002_tooth.wav,1,b,peeded,2,tooth,1154,correct,NA,Apr 27 2023 09:13:54,Pam,1
60d3d,60d3d_session1_listb_speeded_trial003_pizza.wav,1,b,peeded,3,pizza,877,correct,NA,Apr 27 2023 09:13:57,Pam,1
60d3d,60d3d_session1_listb_speeded_trial004_witch.wav,1,b,peeded,4,witch,802,correct,NA,Apr 27 2023 09:13:59,Pam,1
60d3d,60d3d_session1_listb_speeded_trial005_leaf.wav,1,b,peeded,5,leaf,872,correct,NA,Apr 27 2023 09:14:02,Pam,1
60d3d,60d3d_session1_listb_speeded_trial006_farm.wav,1,b,peeded,6,farm,934,correct,NA,Apr 27 2023 09:14:05,Pam,1
60d3d,60d3d_session1_listb_speeded_trial007_pumpkin.wav,1,b,peeded,7,pumpkin,793,correct,NA,Apr 27 2023 09:14:08,Pam,1
60d3d,60d3d_session1_listb_speeded_trial008_bed.wav,1,b,peeded,8,bed,872,correct,NA,Apr 27 2023 09:14:10,Pam,1
60d3d,60d3d_session1_listb_speeded_trial009_feather.wav,1,b,peeded,9,feather,844,correct,NA,Apr 27 2023 09:14:20,Pam,1
60d3d,60d3d_session1_listb_speeded_trial010_fruit.wav,1,b,peeded,10,fruit,859,correct,NA,Apr 27 2023 09:14:25,Pam,1
60d3d,60d3d_session1_listb_speeded_trial011_bin.wav,1,b,peeded,11,bin,890,correct,NA,Apr 27 2023 09:14:47,Pam,1
60d3d,60d3d_session1_listb_speeded_trial012_earring.wav,1,b,peeded,12,earring,877,correct,NA,Apr 27 2023 09:14:50,Pam,1
60d3d,60d3d_session1_listb_speeded_trial013_screwdriver.wav,1,b,peeded,13,screwdriver,806,correct,NA,Apr 27 2023 09:14:54,Pam,1
60d3d,60d3d_session1_listb_speeded_trial014_broom.wav,1,b,peeded,14,broom,850,correct,NA,Apr 27 2023 09:14:57,Pam,1
60d3d,60d3d_session1_listb_speeded_trial015_finger.wav,1,b,peeded,15,finger,912,correct,NA,Apr 27 2023 09:15:00,Pam,1
60d3d,60d3d_session1_listb_speeded_trial016_pilot.wav,1,b,peeded,16,pilot,872,correct,NA,Apr 27 2023 09:15:04,Pam,1
60d3d,60d3d_session1_listb_speeded_trial017_bat.wav,1,b,peeded,17,bat,784,correct,NA,Apr 27 2023 09:15:07,Pam,1
60d3d,60d3d_session1_listb_speeded_trial018_football.wav,1,b,peeded,18,football,731,correct,NA,Apr 27 2023 09:15:25,Pam,1
60d3d,60d3d_session1_listb_speeded_trial019_banana.wav,1,b,peeded,19,banana,758,correct,NA,Apr 27 2023 09:15:29,Pam,1
60d3d,60d3d_session1_listb_speeded_trial020_coffin.wav,1,b,peeded,20,coffin,745,correct,NA,Apr 27 2023 09:15:43,Pam,1
60d3d,60d3d_session1_listb_speeded_trial021_apron.wav,1,b,peeded,21,apron,811,correct,NA,Apr 27 2023 09:15:46,Pam,1
60d3d,60d3d_session1_listb_speeded_trial022_spider.wav,1,b,peeded,22,spider,718,correct,NA,Apr 27 2023 09:15:59,Pam,1
60d3d,60d3d_session1_listb_speeded_trial023_gun.wav,1,b,peeded,23,gun,775,correct,NA,Apr 27 2023 09:16:02,Pam,1
60d3d,60d3d_session1_listb_speeded_trial024_devil.wav,1,b,peeded,24,devil,832,correct,NA,Apr 27 2023 09:16:11,Pam,1
60d3d,60d3d_session1_listb_speeded_trial025_iron.wav,1,b,peeded,25,iron,938,correct,NA,Apr 27 2023 09:16:13,Pam,1
60d3d,60d3d_session1_listb_speeded_trial026_honey.wav,1,b,peeded,26,honey,788,correct,NA,Apr 27 2023 09:16:27,Pam,1
60d3d,60d3d_session1_listb_speeded_trial027_parachute.wav,1,b,peeded,27,parachute,1035,correct,NA,Apr 27 2023 09:16:30,Pam,1
60d3d,60d3d_session1_listb_speeded_trial028_pool.wav,1,b,peeded,28,pool,925,correct,NA,Apr 27 2023 09:16:32,Pam,1
60d3d,60d3d_session1_listb_speeded_trial029_torch.wav,1,b,peeded,29,torch,815,correct,NA,Apr 27 2023 09:16:35,Pam,1
60d3d,60d3d_session1_listb_speeded_trial030_dragon.wav,1,b,peeded,30,dragon,815,correct,NA,Apr 27 2023 09:16:38,Pam,1
60d3d,60d3d_session1_listb_speeded_trial031_cannon.wav,1,b,peeded,31,cannon,1031,correct,NA,Apr 27 2023 09:16:41,Pam,1
60d3d,60d3d_session1_listb_speeded_trial032_penguin.wav,1,b,peeded,32,penguin,961,correct,NA,Apr 27 2023 09:16:43,Pam,1
60d3d,60d3d_session1_listb_speeded_trial033_cage.wav,1,b,peeded,33,cage,877,correct,NA,Apr 27 2023 09:16:46,Pam,1
60d3d,60d3d_session1_listb_speeded_trial034_heart.wav,1,b,peeded,34,heart,758,correct,NA,Apr 27 2023 09:16:55,Pam,1
60d3d,60d3d_session1_listb_speeded_trial035_beard.wav,1,b,peeded,35,beard,855,correct,NA,Apr 27 2023 09:16:58,Pam,1
60d3d,60d3d_session1_listb_speeded_trial036_lemon.wav,1,b,peeded,36,lemon,897,correct,NA,Apr 27 2023 09:18:13,Pam,1
60d3d,60d3d_session1_listb_speeded_trial037_skull.wav,1,b,peeded,37,skull,779,correct,NA,Apr 27 2023 09:18:40,Pam,1
60d3d,60d3d_session1_listb_speeded_trial038_snail.wav,1,b,peeded,38,snail,714,correct,NA,Apr 27 2023 09:18:44,Pam,1
