Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5ae9c,5ae9c_session2_lista_naming_trial001_comb.wav,2,a,naming,1,comb,998,correct,NA,Apr  6 2023 14:00:19,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial002_lamp.wav,2,a,naming,2,lamp,928,correct,NA,Apr  6 2023 14:00:26,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial003_zebra.wav,2,a,naming,3,zebra,810,correct,NA,Apr  6 2023 14:01:03,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial004_train.wav,2,a,naming,4,train,866,correct,NA,Apr  6 2023 14:01:09,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial005_doctor.wav,2,a,naming,5,doctor,915,correct,NA,Apr  6 2023 14:01:24,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial006_gym.wav,2,a,naming,6,gym,1212,correct,NA,Apr  6 2023 14:01:31,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial007_judge.wav,2,a,naming,7,judge,1060,correct,NA,Apr  6 2023 14:01:40,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial008_lighter.wav,2,a,naming,8,lighter,985,correct,NA,Apr  6 2023 14:01:47,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial009_ghost.wav,2,a,naming,9,ghost,826,correct,NA,Apr  6 2023 14:01:55,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial010_arrow.wav,2,a,naming,10,arrow,925,correct,NA,Apr  6 2023 14:02:02,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial011_rhino.wav,2,a,naming,11,rhino,899,correct,NA,Apr  6 2023 14:02:10,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial012_scissors.wav,2,a,naming,12,scissors,954,correct,NA,Apr  6 2023 14:02:19,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial013_shoe.wav,2,a,naming,13,shoe,925,correct,NA,Apr  6 2023 14:02:33,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial014_fence.wav,2,a,naming,14,fence,907,correct,NA,Apr  6 2023 14:02:43,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial015_puppet.wav,2,a,naming,15,puppet,1119,correct,NA,Apr  6 2023 14:02:54,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial016_sword.wav,2,a,naming,16,sword,877,correct,NA,Apr  6 2023 14:03:09,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial017_butter.wav,2,a,naming,17,butter,1038,correct,NA,Apr  6 2023 14:03:16,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial018_tunnel.wav,2,a,naming,18,tunnel,979,correct,NA,Apr  6 2023 14:03:27,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial019_camel.wav,2,a,naming,19,camel,966,correct,NA,Apr  6 2023 14:03:34,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial020_hat.wav,2,a,naming,20,hat,844,correct,NA,Apr  6 2023 14:03:42,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial021_saw.wav,2,a,naming,21,saw,995,correct,NA,Apr  6 2023 14:03:52,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial022_limo.wav,2,a,naming,22,limo,890,correct,NA,Apr  6 2023 14:04:01,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial023_cherry.wav,2,a,naming,23,cherry,897,correct,NA,Apr  6 2023 14:04:08,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial024_tattoo.wav,2,a,naming,24,tattoo,1415,correct,NA,Apr  6 2023 14:04:14,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial025_kite.wav,2,a,naming,25,kite,1154,correct,NA,Apr  6 2023 14:04:22,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial026_flag.wav,2,a,naming,26,flag,947,correct,NA,Apr  6 2023 14:04:39,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial027_apple.wav,2,a,naming,27,apple,1485,correct,NA,Apr  6 2023 14:04:46,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial028_fridge.wav,2,a,naming,28,fridge,985,correct,NA,Apr  6 2023 14:04:54,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial029_ruler.wav,2,a,naming,29,ruler,1135,correct,NA,Apr  6 2023 14:05:01,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial030_flipper.wav,2,a,naming,30,flipper,1066,correct,NA,Apr  6 2023 14:05:24,Agnieszka,1
5ae9c,5ae9c_session2_lista_naming_trial031_mountain.wav,2,a,naming,31,mountain,1011,correct,NA,Apr  6 2023 14:05:32,Agnieszka,1
