Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5ebcb,5ebcb_session2_lista_naming_trial001_island.wav,2,a,naming,1,island,1113,correct,NA,Apr 11 2023 19:55:26,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial002_tunnel.wav,2,a,naming,2,tunnel,1381,correct,NA,Apr 11 2023 19:57:01,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial003_lawnmower.wav,2,a,naming,3,lawnmower,872,correct,NA,Apr 11 2023 19:57:51,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial004_tiger.wav,2,a,naming,4,tiger,757,correct,NA,Apr 11 2023 19:58:55,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial005_flipper.wav,2,a,naming,5,flipper,1902,correct,NA,Apr 11 2023 19:59:58,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial006_butterfly.wav,2,a,naming,6,butterfly,1361,correct,NA,Apr 11 2023 20:01:28,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial007_potato.wav,2,a,naming,7,potato,1127,correct,NA,Apr 11 2023 20:02:45,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial008_tractor.wav,2,a,naming,8,tractor,1413,correct,NA,Apr 11 2023 20:12:30,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial009_shower.wav,2,a,naming,9,shower,880,correct,NA,Apr 11 2023 20:13:40,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial010_circle.wav,2,a,naming,10,circle,894,correct,NA,Apr 11 2023 20:14:20,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial011_fridge.wav,2,a,naming,11,fridge,837,correct,NA,Apr 11 2023 20:16:05,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial012_lighter.wav,2,a,naming,12,lighter,927,correct,NA,Apr 11 2023 20:18:08,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial013_hippo.wav,2,a,naming,13,hippo,991,correct,NA,Apr 11 2023 20:19:12,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial014_tomato.wav,2,a,naming,14,tomato,1065,correct,NA,Apr 11 2023 20:21:03,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial015_star.wav,2,a,naming,15,star,804,correct,NA,Apr 11 2023 20:21:48,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial016_snake.wav,2,a,naming,16,snake,779,correct,NA,Apr 11 2023 20:23:36,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial017_compass.wav,2,a,naming,17,compass,924,correct,NA,Apr 11 2023 20:24:39,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial018_cherry.wav,2,a,naming,18,cherry,1123,correct,NA,Apr 11 2023 20:25:48,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial019_wall.wav,2,a,naming,19,wall,-1,correct,NA,Apr 11 2023 20:26:34,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial020_cork.wav,2,a,naming,20,cork,1410,correct,NA,Apr 11 2023 20:27:58,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial021_tie.wav,2,a,naming,21,tie,1566,correct,NA,Apr 11 2023 20:28:57,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial022_ghost.wav,2,a,naming,22,ghost,1115,correct,NA,Apr 11 2023 20:33:14,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial023_drum.wav,2,a,naming,23,drum,1527,correct,NA,Apr 11 2023 20:34:57,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial024_fireplace.wav,2,a,naming,24,fireplace,1142,correct,NA,Apr 11 2023 20:36:32,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial025_lung.wav,2,a,naming,25,lung,1664,correct,NA,Apr 11 2023 20:37:38,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial026_pear.wav,2,a,naming,26,pear,921,correct,NA,Apr 11 2023 20:38:38,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial027_robot.wav,2,a,naming,27,robot,974,correct,NA,Apr 11 2023 20:39:19,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial028_limo.wav,2,a,naming,28,limo,868,correct,NA,Apr 11 2023 20:39:50,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial029_onion.wav,2,a,naming,29,onion,1002,correct,NA,Apr 11 2023 20:40:35,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial030_computer.wav,2,a,naming,30,computer,911,correct,NA,Apr 11 2023 20:42:04,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial031_tray.wav,2,a,naming,31,tray,2280,correct,NA,Apr 11 2023 20:42:49,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial032_rhino.wav,2,a,naming,32,rhino,1360,correct,NA,Apr 11 2023 20:44:02,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial033_castle.wav,2,a,naming,33,castle,1315,correct,NA,Apr 11 2023 20:44:58,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial034_wing.wav,2,a,naming,34,wing,1058,correct,NA,Apr 11 2023 20:45:39,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial035_sweet.wav,2,a,naming,35,sweet,1200,correct,NA,Apr 11 2023 20:46:31,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial036_drawer.wav,2,a,naming,36,drawer,1150,correct,NA,Apr 11 2023 20:56:06,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial037_helicopter.wav,2,a,naming,37,helicopter,984,correct,NA,Apr 11 2023 20:56:58,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial038_apple.wav,2,a,naming,38,apple,1930,correct,NA,Apr 11 2023 20:58:05,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial039_kitchen.wav,2,a,naming,39,kitchen,1053,correct,NA,Apr 11 2023 20:59:12,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial040_fence.wav,2,a,naming,40,fence,1204,correct,NA,Apr 11 2023 21:00:03,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial041_bus.wav,2,a,naming,41,bus,1233,correct,NA,Apr 11 2023 21:06:44,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial042_tongue.wav,2,a,naming,42,tongue,1526,correct,NA,Apr 11 2023 21:12:53,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial043_pineapple.wav,2,a,naming,43,pineapple,871,correct,NA,Apr 11 2023 21:13:44,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial044_jellyfish.wav,2,a,naming,44,jellyfish,1190,correct,NA,Apr 11 2023 21:14:29,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial045_sword.wav,2,a,naming,45,sword,1421,correct,NA,Apr 11 2023 21:15:14,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial046_butter.wav,2,a,naming,46,butter,1547,correct,NA,Apr 11 2023 21:15:53,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial047_kite.wav,2,a,naming,47,kite,1571,correct,NA,Apr 11 2023 21:16:31,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial048_carrot.wav,2,a,naming,48,carrot,1037,correct,NA,Apr 11 2023 21:17:23,Radhika,1
5ebcb,5ebcb_session2_lista_naming_trial049_tap.wav,2,a,naming,49,tap,-1,wrong_word,NA,Apr 11 2023 21:17:37,Radhika,1
