Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5efcb,5efcb_session2_lista_naming_trial001_olive.wav,2,a,naming,1,olive,855,correct,NA,Apr 13 2023 10:05:31,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial002_castle.wav,2,a,naming,2,castle,848,correct,NA,Apr 13 2023 10:22:51,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial003_drawer.wav,2,a,naming,3,drawer,1212,correct,NA,Apr 13 2023 10:23:05,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial004_tie.wav,2,a,naming,4,tie,877,correct,NA,Apr 13 2023 10:23:14,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial005_tattoo.wav,2,a,naming,5,tattoo,-1,disfluency,NA,Apr 13 2023 10:23:21,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial006_glove.wav,2,a,naming,6,glove,-1,wrong_word,NA,Apr 13 2023 10:23:29,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial007_ghost.wav,2,a,naming,7,ghost,871,correct,NA,Apr 13 2023 10:23:39,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial008_comb.wav,2,a,naming,8,comb,-1,wrong_word,NA,Apr 13 2023 10:23:45,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial009_onion.wav,2,a,naming,9,onion,1020,correct,NA,Apr 13 2023 10:23:52,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial010_tree.wav,2,a,naming,10,tree,915,correct,NA,Apr 13 2023 10:24:01,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial011_nest.wav,2,a,naming,11,nest,944,correct,NA,Apr 13 2023 10:24:11,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial012_kiwi.wav,2,a,naming,12,kiwi,-1,disfluency,NA,Apr 13 2023 10:24:18,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial013_boxer.wav,2,a,naming,13,boxer,893,correct,NA,Apr 13 2023 10:24:36,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial014_snake.wav,2,a,naming,14,snake,785,correct,NA,Apr 13 2023 10:24:45,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial015_bear.wav,2,a,naming,15,bear,928,correct,NA,Apr 13 2023 10:29:35,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial016_island.wav,2,a,naming,16,island,874,correct,NA,Apr 13 2023 10:29:49,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial017_candle.wav,2,a,naming,17,candle,841,correct,NA,Apr 13 2023 10:30:03,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial018_carrot.wav,2,a,naming,18,carrot,756,correct,NA,Apr 13 2023 10:31:25,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial019_compass.wav,2,a,naming,19,compass,1380,correct,NA,Apr 13 2023 10:31:32,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial020_triangle.wav,2,a,naming,20,triangle,832,correct,NA,Apr 13 2023 10:31:38,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial021_judge.wav,2,a,naming,21,judge,976,correct,NA,Apr 13 2023 10:31:45,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial022_beak.wav,2,a,naming,22,beak,1024,correct,NA,Apr 13 2023 10:31:51,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial023_flower.wav,2,a,naming,23,flower,885,correct,NA,Apr 13 2023 10:32:03,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial024_squirrel.wav,2,a,naming,24,squirrel,801,correct,NA,Apr 13 2023 10:32:12,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial025_lighter.wav,2,a,naming,25,lighter,880,correct,NA,Apr 13 2023 10:32:24,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial026_tambourine.wav,2,a,naming,26,tambourine,1175,correct,NA,Apr 13 2023 10:32:32,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial027_book.wav,2,a,naming,27,book,915,correct,NA,Apr 13 2023 10:32:43,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial028_koala.wav,2,a,naming,28,koala,-1,disfluency,NA,Apr 13 2023 10:32:47,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial029_butter.wav,2,a,naming,29,butter,2071,correct,NA,Apr 13 2023 10:32:54,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial030_pepper.wav,2,a,naming,30,pepper,-1,no_resp,NA,Apr 13 2023 10:33:00,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial031_coat.wav,2,a,naming,31,coat,1180,correct,NA,Apr 13 2023 10:33:48,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial032_train.wav,2,a,naming,32,train,903,correct,NA,Apr 13 2023 10:33:55,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial033_dice.wav,2,a,naming,33,dice,947,correct,NA,Apr 13 2023 10:34:02,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial034_basket.wav,2,a,naming,34,basket,979,correct,NA,Apr 13 2023 10:34:12,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial035_mouth.wav,2,a,naming,35,mouth,1269,correct,NA,Apr 13 2023 10:34:18,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial036_bottle.wav,2,a,naming,36,bottle,931,correct,NA,Apr 13 2023 10:34:28,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial037_bench.wav,2,a,naming,37,bench,1176,correct,NA,Apr 13 2023 10:34:42,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial038_heel.wav,2,a,naming,38,heel,998,correct,NA,Apr 13 2023 10:34:50,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial039_fork.wav,2,a,naming,39,fork,1428,correct,NA,Apr 13 2023 10:35:00,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial040_tomato.wav,2,a,naming,40,tomato,1489,correct,NA,Apr 13 2023 10:35:10,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial041_peg.wav,2,a,naming,41,peg,1040,correct,NA,Apr 13 2023 10:35:20,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial042_dress.wav,2,a,naming,42,dress,804,correct,NA,Apr 13 2023 10:35:31,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial043_kitchen.wav,2,a,naming,43,kitchen,871,correct,NA,Apr 13 2023 10:35:52,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial044_mountain.wav,2,a,naming,44,mountain,794,correct,NA,Apr 13 2023 10:36:00,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial045_whale.wav,2,a,naming,45,whale,985,correct,NA,Apr 13 2023 10:36:18,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial046_fence.wav,2,a,naming,46,fence,1374,correct,NA,Apr 13 2023 10:36:46,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial047_skirt.wav,2,a,naming,47,skirt,1966,correct,NA,Apr 13 2023 10:36:51,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial048_hat.wav,2,a,naming,48,hat,864,correct,NA,Apr 13 2023 10:36:58,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial049_windmill.wav,2,a,naming,49,windmill,998,correct,NA,Apr 13 2023 10:37:06,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial050_lawnmower.wav,2,a,naming,50,lawnmower,966,correct,NA,Apr 13 2023 10:37:13,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial051_ear.wav,2,a,naming,51,ear,864,correct,NA,Apr 13 2023 10:37:23,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial052_map.wav,2,a,naming,52,map,842,correct,NA,Apr 13 2023 10:37:31,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial053_wall.wav,2,a,naming,53,wall,-1,disfluency,NA,Apr 13 2023 10:37:57,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial054_bull.wav,2,a,naming,54,bull,-1,no_resp,and 'uh',Apr 13 2023 10:38:09,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial055_drum.wav,2,a,naming,55,drum,1670,correct,NA,Apr 13 2023 10:38:16,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial056_arm.wav,2,a,naming,56,arm,2342,correct,NA,Apr 13 2023 10:38:22,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial057_tunnel.wav,2,a,naming,57,tunnel,1460,correct,NA,Apr 13 2023 10:38:29,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial058_limo.wav,2,a,naming,58,limo,1090,correct,NA,Apr 13 2023 10:38:37,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial059_cherry.wav,2,a,naming,59,cherry,1090,correct,NA,Apr 13 2023 10:38:51,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial060_swan.wav,2,a,naming,60,swan,836,correct,NA,Apr 13 2023 10:38:59,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial061_rabbit.wav,2,a,naming,61,rabbit,823,correct,NA,Apr 13 2023 10:49:22,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial062_bike.wav,2,a,naming,62,bike,1828,correct,NA,Apr 13 2023 10:49:31,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial063_camel.wav,2,a,naming,63,camel,1514,correct,NA,Apr 13 2023 10:49:37,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial064_doughnut.wav,2,a,naming,64,doughnut,950,correct,NA,Apr 13 2023 10:49:46,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial065_bracelet.wav,2,a,naming,65,bracelet,1170,correct,NA,Apr 13 2023 10:49:55,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial066_suit.wav,2,a,naming,66,suit,-1,disfluency,NA,Apr 13 2023 10:50:05,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial067_arrow.wav,2,a,naming,67,arrow,906,correct,NA,Apr 13 2023 10:50:14,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial068_medal.wav,2,a,naming,68,medal,880,correct,NA,Apr 13 2023 10:50:37,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial069_sword.wav,2,a,naming,69,sword,1082,correct,NA,Apr 13 2023 10:50:44,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial070_wheelbarrow.wav,2,a,naming,70,wheelbarrow,842,correct,NA,Apr 13 2023 10:50:50,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial071_teacher.wav,2,a,naming,71,teacher,817,correct,NA,Apr 13 2023 10:50:57,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial072_kite.wav,2,a,naming,72,kite,925,correct,NA,Apr 13 2023 10:51:03,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial073_pear.wav,2,a,naming,73,pear,1173,correct,NA,Apr 13 2023 10:51:11,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial074_butterfly.wav,2,a,naming,74,butterfly,1075,correct,NA,Apr 13 2023 10:51:24,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial075_shoe.wav,2,a,naming,75,shoe,912,correct,NA,Apr 13 2023 10:51:32,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial076_wing.wav,2,a,naming,76,wing,1100,correct,NA,Apr 13 2023 10:51:39,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial077_saw.wav,2,a,naming,77,saw,1132,correct,NA,Apr 13 2023 10:51:46,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial078_bus.wav,2,a,naming,78,bus,934,correct,NA,Apr 13 2023 10:51:53,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial079_orange.wav,2,a,naming,79,orange,1084,correct,NA,Apr 13 2023 10:52:05,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial080_pocket.wav,2,a,naming,80,pocket,1035,correct,NA,Apr 13 2023 10:52:16,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial081_lighthouse.wav,2,a,naming,81,lighthouse,836,correct,NA,Apr 13 2023 10:52:24,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial082_shield.wav,2,a,naming,82,shield,973,correct,NA,Apr 13 2023 10:52:32,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial083_knife.wav,2,a,naming,83,knife,890,correct,NA,Apr 13 2023 10:52:41,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial084_bullet.wav,2,a,naming,84,bullet,1282,correct,NA,Apr 13 2023 10:52:49,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial085_plumber.wav,2,a,naming,85,plumber,1269,correct,NA,Apr 13 2023 10:52:59,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial086_hippo.wav,2,a,naming,86,hippo,1106,correct,NA,Apr 13 2023 10:53:06,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial087_scissors.wav,2,a,naming,87,scissors,791,correct,NA,Apr 13 2023 10:53:13,Agnieszka,1
5efcb,5efcb_session2_lista_naming_trial088_soap.wav,2,a,naming,88,soap,1062,correct,NA,Apr 13 2023 10:53:21,Agnieszka,1
