Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5efde,5efde_session2_lista_naming_trial001_tattoo.wav,2,a,naming,1,tattoo,954,correct,NA,Apr 14 2023 17:55:53,Agnieszka,1
5efde,5efde_session2_lista_naming_trial002_tap.wav,2,a,naming,2,tap,941,correct,NA,Apr 14 2023 17:56:03,Agnieszka,1
5efde,5efde_session2_lista_naming_trial003_potato.wav,2,a,naming,3,potato,724,correct,NA,Apr 14 2023 17:56:17,Agnieszka,1
5efde,5efde_session2_lista_naming_trial004_shoe.wav,2,a,naming,4,shoe,1011,correct,NA,Apr 14 2023 17:56:31,Agnieszka,1
5efde,5efde_session2_lista_naming_trial005_net.wav,2,a,naming,5,net,1024,correct,NA,Apr 14 2023 17:56:43,Agnieszka,1
5efde,5efde_session2_lista_naming_trial006_lighthouse.wav,2,a,naming,6,lighthouse,820,correct,NA,Apr 14 2023 17:57:05,Agnieszka,1
5efde,5efde_session2_lista_naming_trial007_pocket.wav,2,a,naming,7,pocket,1017,correct,NA,Apr 14 2023 17:57:28,Agnieszka,1
5efde,5efde_session2_lista_naming_trial008_bracelet.wav,2,a,naming,8,bracelet,1183,correct,NA,Apr 14 2023 17:57:35,Agnieszka,1
5efde,5efde_session2_lista_naming_trial009_zebra.wav,2,a,naming,9,zebra,874,correct,NA,Apr 14 2023 17:57:49,Agnieszka,1
5efde,5efde_session2_lista_naming_trial010_key.wav,2,a,naming,10,key,826,correct,NA,Apr 14 2023 17:58:01,Agnieszka,1
5efde,5efde_session2_lista_naming_trial011_kiwi.wav,2,a,naming,11,kiwi,810,correct,NA,Apr 14 2023 17:58:15,Agnieszka,1
5efde,5efde_session2_lista_naming_trial012_tomato.wav,2,a,naming,12,tomato,743,correct,NA,Apr 14 2023 17:59:36,Agnieszka,1
5efde,5efde_session2_lista_naming_trial013_doctor.wav,2,a,naming,13,doctor,848,correct,NA,Apr 14 2023 17:59:45,Agnieszka,1
