Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5eff6,5eff6_session2_lista_naming_trial001_pineapple.wav,2,a,naming,1,pineapple,654,correct,NA,Apr 15 2023 11:00:20,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial002_drawer.wav,2,a,naming,2,drawer,804,correct,NA,Apr 15 2023 11:00:27,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial003_onion.wav,2,a,naming,3,onion,718,correct,NA,Apr 15 2023 11:00:39,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial004_mermaid.wav,2,a,naming,4,mermaid,788,correct,NA,Apr 15 2023 11:00:45,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial005_fork.wav,2,a,naming,5,fork,673,correct,NA,Apr 15 2023 11:00:53,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial006_triangle.wav,2,a,naming,6,triangle,619,correct,NA,Apr 15 2023 11:01:03,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial007_kiwi.wav,2,a,naming,7,kiwi,648,correct,NA,Apr 15 2023 11:01:12,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial008_bull.wav,2,a,naming,8,bull,1040,correct,NA,Apr 15 2023 11:01:18,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial009_whale.wav,2,a,naming,9,whale,711,correct,NA,Apr 15 2023 11:01:26,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial010_dress.wav,2,a,naming,10,dress,848,correct,NA,Apr 15 2023 11:01:36,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial011_drum.wav,2,a,naming,11,drum,788,correct,NA,Apr 15 2023 11:01:44,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial012_snake.wav,2,a,naming,12,snake,619,correct,NA,Apr 15 2023 11:01:50,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial013_island.wav,2,a,naming,13,island,941,correct,NA,Apr 15 2023 11:04:14,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial014_crab.wav,2,a,naming,14,crab,692,correct,NA,Apr 15 2023 11:04:31,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial015_scissors.wav,2,a,naming,15,scissors,791,correct,NA,Apr 15 2023 11:04:40,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial016_arrow.wav,2,a,naming,16,arrow,782,correct,NA,Apr 15 2023 11:04:49,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial017_coat.wav,2,a,naming,17,coat,829,correct,NA,Apr 15 2023 11:04:57,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial018_medal.wav,2,a,naming,18,medal,676,correct,NA,Apr 15 2023 11:05:04,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial019_beak.wav,2,a,naming,19,beak,855,correct,NA,Apr 15 2023 11:05:11,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial020_knife.wav,2,a,naming,20,knife,670,correct,NA,Apr 15 2023 11:05:18,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial021_fridge.wav,2,a,naming,21,fridge,-1,wrong_word,NA,Apr 15 2023 11:05:24,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial022_donkey.wav,2,a,naming,22,donkey,750,correct,NA,Apr 15 2023 11:05:32,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial023_dice.wav,2,a,naming,23,dice,762,correct,NA,Apr 15 2023 11:05:38,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial024_pear.wav,2,a,naming,24,pear,778,correct,NA,Apr 15 2023 11:05:45,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial025_cherry.wav,2,a,naming,25,cherry,842,correct,NA,Apr 15 2023 11:05:52,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial026_comb.wav,2,a,naming,26,comb,832,correct,NA,Apr 15 2023 11:06:00,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial027_tray.wav,2,a,naming,27,tray,724,correct,NA,Apr 15 2023 11:06:07,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial028_circle.wav,2,a,naming,28,circle,721,correct,NA,Apr 15 2023 11:06:14,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial029_rocket.wav,2,a,naming,29,rocket,801,correct,NA,Apr 15 2023 11:06:21,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial030_koala.wav,2,a,naming,30,koala,772,correct,NA,Apr 15 2023 11:06:31,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial031_tie.wav,2,a,naming,31,tie,794,correct,NA,Apr 15 2023 11:06:39,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial032_owl.wav,2,a,naming,32,owl,845,correct,NA,Apr 15 2023 11:06:48,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial033_magnet.wav,2,a,naming,33,magnet,832,correct,NA,Apr 15 2023 11:06:58,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial034_helicopter.wav,2,a,naming,34,helicopter,750,correct,NA,Apr 15 2023 11:07:06,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial035_ear.wav,2,a,naming,35,ear,667,correct,NA,Apr 15 2023 11:07:13,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial036_pocket.wav,2,a,naming,36,pocket,995,correct,NA,Apr 15 2023 11:07:28,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial037_bone.wav,2,a,naming,37,bone,759,correct,NA,Apr 15 2023 11:21:29,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial038_basket.wav,2,a,naming,38,basket,778,correct,NA,Apr 15 2023 11:21:37,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial039_bear.wav,2,a,naming,39,bear,782,correct,NA,Apr 15 2023 11:21:44,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial040_queen.wav,2,a,naming,40,queen,877,correct,NA,Apr 15 2023 11:21:52,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial041_lighthouse.wav,2,a,naming,41,lighthouse,915,correct,NA,Apr 15 2023 11:22:00,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial042_bottle.wav,2,a,naming,42,bottle,775,correct,NA,Apr 15 2023 11:22:06,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial043_avocado.wav,2,a,naming,43,avocado,836,correct,NA,Apr 15 2023 11:22:13,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial044_doughnut.wav,2,a,naming,44,doughnut,874,correct,NA,Apr 15 2023 11:22:20,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial045_tap.wav,2,a,naming,45,tap,711,correct,NA,Apr 15 2023 11:22:28,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial046_butterfly.wav,2,a,naming,46,butterfly,661,correct,NA,Apr 15 2023 11:22:36,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial047_tomato.wav,2,a,naming,47,tomato,648,correct,NA,Apr 15 2023 11:22:45,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial048_nest.wav,2,a,naming,48,nest,804,correct,NA,Apr 15 2023 11:22:52,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial049_skirt.wav,2,a,naming,49,skirt,-1,disfluency,NA,Apr 15 2023 11:23:00,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial050_arm.wav,2,a,naming,50,arm,1438,correct,NA,Apr 15 2023 11:23:06,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial051_kangaroo.wav,2,a,naming,51,kangaroo,670,correct,NA,Apr 15 2023 11:23:12,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial052_shield.wav,2,a,naming,52,shield,931,correct,NA,Apr 15 2023 11:23:20,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial053_battery.wav,2,a,naming,53,battery,715,correct,NA,Apr 15 2023 11:23:26,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial054_suit.wav,2,a,naming,54,suit,782,correct,NA,Apr 15 2023 11:23:33,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial055_lamp.wav,2,a,naming,55,lamp,797,correct,NA,Apr 15 2023 11:23:42,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial056_goat.wav,2,a,naming,56,goat,711,correct,NA,Apr 15 2023 11:23:49,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial057_clown.wav,2,a,naming,57,clown,858,correct,NA,Apr 15 2023 11:23:59,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial058_gym.wav,2,a,naming,58,gym,877,correct,NA,Apr 15 2023 11:24:13,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial059_boxer.wav,2,a,naming,59,boxer,1278,correct,NA,Apr 15 2023 11:24:24,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial060_rabbit.wav,2,a,naming,60,rabbit,791,correct,NA,Apr 15 2023 11:24:36,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial061_pencil.wav,2,a,naming,61,pencil,657,correct,NA,Apr 15 2023 11:24:43,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial062_jellyfish.wav,2,a,naming,62,jellyfish,848,correct,NA,Apr 15 2023 11:24:50,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial063_ghost.wav,2,a,naming,63,ghost,715,correct,NA,Apr 15 2023 11:24:59,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial064_pipe.wav,2,a,naming,64,pipe,807,correct,NA,Apr 15 2023 11:25:08,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial065_pepper.wav,2,a,naming,65,pepper,724,correct,NA,Apr 15 2023 11:25:15,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial066_glove.wav,2,a,naming,66,glove,791,correct,NA,Apr 15 2023 11:25:23,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial067_thumb.wav,2,a,naming,67,thumb,657,correct,NA,Apr 15 2023 11:25:38,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial068_hat.wav,2,a,naming,68,hat,683,correct,NA,Apr 15 2023 11:25:45,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial069_bell.wav,2,a,naming,69,bell,1247,correct,NA,Apr 15 2023 11:25:52,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial070_heel.wav,2,a,naming,70,heel,775,correct,NA,Apr 15 2023 11:25:58,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial071_castle.wav,2,a,naming,71,castle,807,correct,NA,Apr 15 2023 11:26:05,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial072_rose.wav,2,a,naming,72,rose,699,correct,NA,Apr 15 2023 11:26:12,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial073_sweet.wav,2,a,naming,73,sweet,1196,correct,NA,Apr 15 2023 11:26:20,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial074_ruler.wav,2,a,naming,74,ruler,797,correct,NA,Apr 15 2023 11:26:28,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial075_wheelbarrow.wav,2,a,naming,75,wheelbarrow,1313,correct,NA,Apr 15 2023 11:26:35,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial076_shoe.wav,2,a,naming,76,shoe,1192,correct,NA,Apr 15 2023 11:26:44,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial077_mouth.wav,2,a,naming,77,mouth,797,correct,NA,Apr 15 2023 11:26:52,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial078_mountain.wav,2,a,naming,78,mountain,928,correct,NA,Apr 15 2023 11:26:59,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial079_carrot.wav,2,a,naming,79,carrot,699,correct,NA,Apr 15 2023 11:27:06,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial080_plumber.wav,2,a,naming,80,plumber,969,correct,NA,Apr 15 2023 11:27:15,Agnieszka,1
5eff6,5eff6_session2_lista_naming_trial081_butter.wav,2,a,naming,81,butter,941,correct,NA,Apr 15 2023 11:27:22,Agnieszka,1
