Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5e432,5e432_session2_lista_speeded_trial001_castle.wav,2,a,peeded,1,castle,653,correct,NA,May 04 2023 14:49:40,Friederike,1
5e432,5e432_session2_lista_speeded_trial002_doctor.wav,2,a,peeded,2,doctor,781,correct,NA,May 04 2023 14:49:57,Friederike,1
5e432,5e432_session2_lista_speeded_trial003_robot.wav,2,a,peeded,3,robot,875,correct,NA,May 04 2023 14:50:32,Friederike,1
5e432,5e432_session2_lista_speeded_trial004_tractor.wav,2,a,peeded,4,tractor,641,correct,NA,May 04 2023 14:50:48,Friederike,1
5e432,5e432_session2_lista_speeded_trial005_cherry.wav,2,a,peeded,5,cherry,633,correct,NA,May 04 2023 14:51:02,Friederike,1
5e432,5e432_session2_lista_speeded_trial006_pepper.wav,2,a,peeded,6,pepper,769,correct,NA,May 04 2023 14:51:20,Friederike,1
5e432,5e432_session2_lista_speeded_trial007_ruler.wav,2,a,peeded,7,ruler,663,correct,NA,May 04 2023 14:52:06,Friederike,1
5e432,5e432_session2_lista_speeded_trial008_bell.wav,2,a,peeded,8,bell,711,correct,NA,May 04 2023 14:52:23,Friederike,1
5e432,5e432_session2_lista_speeded_trial009_magnet.wav,2,a,peeded,9,magnet,810,correct,NA,May 04 2023 14:52:45,Friederike,1
5e432,5e432_session2_lista_speeded_trial010_shower.wav,2,a,peeded,10,shower,-1,wrong_word,NA,May 04 2023 14:53:09,Friederike,1
5e432,5e432_session2_lista_speeded_trial011_bus.wav,2,a,peeded,11,bus,718,correct,NA,May 04 2023 14:53:24,Friederike,1
5e432,5e432_session2_lista_speeded_trial012_tap.wav,2,a,peeded,12,tap,719,correct,NA,May 04 2023 14:53:42,Friederike,1
5e432,5e432_session2_lista_speeded_trial013_tunnel.wav,2,a,peeded,13,tunnel,731,correct,NA,May 04 2023 14:54:03,Friederike,1
5e432,5e432_session2_lista_speeded_trial014_dress.wav,2,a,peeded,14,dress,-1,disfluency,NA,May 04 2023 14:54:14,Friederike,1
5e432,5e432_session2_lista_speeded_trial015_sweet.wav,2,a,peeded,15,sweet,610,correct,NA,May 04 2023 14:54:33,Friederike,1
5e432,5e432_session2_lista_speeded_trial016_camel.wav,2,a,peeded,16,camel,701,correct,NA,May 04 2023 14:54:51,Friederike,1
5e432,5e432_session2_lista_speeded_trial017_crab.wav,2,a,peeded,17,crab,656,correct,NA,May 04 2023 14:55:13,Friederike,1
5e432,5e432_session2_lista_speeded_trial018_scissors.wav,2,a,peeded,18,scissors,647,correct,NA,May 04 2023 14:55:30,Friederike,1
5e432,5e432_session2_lista_speeded_trial019_rocket.wav,2,a,peeded,19,rocket,717,correct,NA,May 04 2023 14:55:52,Friederike,1
5e432,5e432_session2_lista_speeded_trial020_lighthouse.wav,2,a,peeded,20,lighthouse,884,correct,NA,May 04 2023 14:56:26,Friederike,1
5e432,5e432_session2_lista_speeded_trial021_fox.wav,2,a,peeded,21,fox,770,correct,NA,May 04 2023 14:56:42,Friederike,1
5e432,5e432_session2_lista_speeded_trial022_dummy.wav,2,a,peeded,22,dummy,666,correct,NA,May 04 2023 14:56:57,Friederike,1
5e432,5e432_session2_lista_speeded_trial023_tiger.wav,2,a,peeded,23,tiger,869,correct,NA,May 04 2023 14:57:20,Friederike,1
5e432,5e432_session2_lista_speeded_trial024_compass.wav,2,a,peeded,24,compass,851,correct,NA,May 04 2023 14:57:42,Friederike,1
5e432,5e432_session2_lista_speeded_trial025_lawnmower.wav,2,a,peeded,25,lawnmower,802,correct,NA,May 04 2023 14:57:58,Friederike,1
5e432,5e432_session2_lista_speeded_trial026_candle.wav,2,a,peeded,26,candle,722,correct,NA,May 04 2023 16:04:15,Friederike,1
5e432,5e432_session2_lista_speeded_trial027_doughnut.wav,2,a,peeded,27,doughnut,657,correct,NA,May 04 2023 16:04:30,Friederike,1
5e432,5e432_session2_lista_speeded_trial028_pineapple.wav,2,a,peeded,28,pineapple,658,correct,NA,May 04 2023 16:04:47,Friederike,1
5e432,5e432_session2_lista_speeded_trial029_medal.wav,2,a,peeded,29,medal,-1,disfluency,NA,May 04 2023 16:04:55,Friederike,1
5e432,5e432_session2_lista_speeded_trial030_book.wav,2,a,peeded,30,book,727,correct,NA,May 04 2023 16:05:18,Friederike,1
5e432,5e432_session2_lista_speeded_trial031_knife.wav,2,a,peeded,31,knife,740,correct,NA,May 04 2023 16:05:35,Friederike,1
